Time,Detroit,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. J. Collins (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:43.0,I. Livers makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),2-0, ,,1,2,0,2,17.0
11:43.0,Shooting foul by S. Fontecchio (drawn by I. Livers),2-0, ,,1,2,0,2,17.0
11:43.0,I. Livers makes free throw 1 of 1,3-0, ,,1,3,0,3,17.0
11:27.0, ,3-0,Shooting foul by I. Livers (drawn by C. Sexton),,1,3,0,3,33.0
11:27.0, ,3-1,C. Sexton makes free throw 1 of 2,,1,3,1,2,33.0
11:27.0, ,3-2,C. Sexton makes free throw 2 of 2,,1,3,2,1,33.0
11:16.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by J. Duren),6-2, ,,1,6,2,4,44.0
10:53.0, ,6-4,J. Collins makes 2-pt layup from 2 ft,,1,6,4,2,67.0
10:44.0,I. Livers makes 3-pt jump shot from 23 ft (assist by C. Cunningham),9-4, ,,1,9,4,5,76.0
10:26.0, ,9-4,K. Dunn misses 2-pt layup from 2 ft,,1,9,4,5,94.0
10:25.0,Defensive rebound by I. Livers,9-4, ,,1,9,4,5,95.0
10:18.0,J. Ivey makes 2-pt layup from 4 ft (assist by C. Cunningham),11-4, ,,1,11,4,7,102.0
10:18.0, ,11-4,Utah full timeout,,1,11,4,7,102.0
10:12.0, ,11-4,Personal foul by I. Livers (drawn by L. Markkanen),,1,11,4,7,108.0
10:05.0, ,11-6,S. Fontecchio makes 2-pt layup from 2 ft (assist by J. Collins),,1,11,6,5,115.0
9:45.0,Turnover by J. Ivey (lost ball; steal by S. Fontecchio),11-6, ,,1,11,6,5,135.0
9:45.0, ,11-6,Personal foul by J. Ivey (drawn by S. Fontecchio),,1,11,6,5,135.0
9:45.0,K. Knox enters the game for I. Livers,11-6, ,,1,11,6,5,135.0
9:39.0, ,11-6,L. Markkanen misses 3-pt jump shot from 25 ft,,1,11,6,5,141.0
9:36.0,Defensive rebound by J. Duren,11-6, ,,1,11,6,5,144.0
9:26.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Cunningham),14-6, ,,1,14,6,8,154.0
9:09.0, ,14-6,C. Sexton misses 2-pt jump shot from 9 ft,,1,14,6,8,171.0
9:06.0, ,14-6,Offensive rebound by J. Collins,,1,14,6,8,174.0
9:06.0, ,14-8,J. Collins makes 2-pt layup at rim,,1,14,8,6,174.0
8:58.0,B. Bogdanović misses 3-pt jump shot from 26 ft,14-8, ,,1,14,8,6,182.0
8:55.0, ,14-8,Defensive rebound by L. Markkanen,,1,14,8,6,185.0
8:50.0, ,14-11,S. Fontecchio makes 3-pt jump shot from 25 ft (assist by K. Dunn),,1,14,11,3,190.0
8:38.0,Personal foul by S. Fontecchio (drawn by B. Bogdanović),14-11, ,,1,14,11,3,202.0
8:30.0,J. Ivey makes 2-pt layup from 4 ft (assist by J. Duren),16-11, ,,1,16,11,5,210.0
8:22.0, ,16-11,Turnover by J. Collins (traveling),,1,16,11,5,218.0
8:22.0, ,16-11,W. Kessler enters the game for J. Collins,,1,16,11,5,218.0
8:02.0,J. Duren makes 2-pt dunk from 3 ft (assist by K. Knox),18-11, ,,1,18,11,7,238.0
7:48.0, ,18-11,S. Fontecchio misses 3-pt jump shot from 26 ft,,1,18,11,7,252.0
7:46.0,Defensive rebound by J. Duren,18-11, ,,1,18,11,7,254.0
7:37.0,C. Cunningham misses 2-pt hook shot from 7 ft,18-11, ,,1,18,11,7,263.0
7:34.0,Offensive rebound by J. Duren,18-11, ,,1,18,11,7,266.0
7:29.0,C. Cunningham misses 2-pt layup from 8 ft (block by W. Kessler),18-11, ,,1,18,11,7,271.0
7:29.0,Offensive rebound by Team,18-11, ,,1,18,11,7,271.0
7:28.0,Turnover by B. Bogdanović (out of bounds lost ball),18-11, ,,1,18,11,7,272.0
7:18.0, ,18-13,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),,1,18,13,5,282.0
7:04.0,Def 3 sec tech foul by Team,18-13, ,,1,18,13,5,296.0
7:04.0,C. Cunningham misses technical free throw,18-13, ,,1,18,13,5,296.0
7:04.0,Offensive rebound by Team,18-13, ,,1,18,13,5,296.0
6:59.0,C. Cunningham misses 2-pt jump shot from 16 ft,18-13, ,,1,18,13,5,301.0
6:56.0, ,18-13,Defensive rebound by K. Dunn,,1,18,13,5,304.0
6:50.0, ,18-13,K. Dunn misses 2-pt layup from 5 ft (block by J. Duren),,1,18,13,5,310.0
6:47.0,Defensive rebound by C. Cunningham,18-13, ,,1,18,13,5,313.0
6:38.0,K. Knox misses 3-pt jump shot from 26 ft,18-13, ,,1,18,13,5,322.0
6:36.0, ,18-13,Defensive rebound by L. Markkanen,,1,18,13,5,324.0
6:26.0, ,18-13,Shooting foul by C. Cunningham (drawn by C. Sexton),,1,18,13,5,334.0
6:26.0, ,18-14,C. Sexton makes free throw 1 of 2,,1,18,14,4,334.0
6:26.0, ,18-14,J. Clarkson enters the game for K. Dunn,,1,18,14,4,334.0
6:26.0, ,18-15,C. Sexton makes free throw 2 of 2,,1,18,15,3,334.0
6:11.0,C. Cunningham makes 2-pt jump shot from 8 ft,20-15, ,,1,20,15,5,349.0
5:55.0, ,20-15,C. Sexton misses 3-pt jump shot from 26 ft,,1,20,15,5,365.0
5:53.0,Defensive rebound by J. Duren,20-15, ,,1,20,15,5,367.0
5:45.0,J. Duren makes 2-pt layup from 4 ft (assist by C. Cunningham),22-15, ,,1,22,15,7,375.0
5:45.0,Shooting foul by L. Markkanen (drawn by J. Duren),22-15, ,,1,22,15,7,375.0
5:45.0, ,22-15,K. George enters the game for C. Sexton,,1,22,15,7,375.0
5:45.0,J. Duren makes free throw 1 of 1,23-15, ,,1,23,15,8,375.0
5:35.0, ,23-15,K. George misses 3-pt jump shot from 25 ft,,1,23,15,8,385.0
5:32.0,Defensive rebound by J. Ivey,23-15, ,,1,23,15,8,388.0
