Time,Sacramento,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Sabonis vs. J. Duren (D. Fox gains possession),0-0,,,1,0,0,0,0.0
11:48.0,K. Murray misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,12.0
11:44.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,16.0
11:30.0, ,0-0,J. Ivey misses 3-pt jump shot from 24 ft,,1,0,0,0,30.0
11:28.0,Defensive rebound by K. Murray,0-0, ,,1,0,0,0,32.0
11:20.0,D. Fox misses 2-pt jump shot from 7 ft,0-0, ,,1,0,0,0,40.0
11:18.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,42.0
11:10.0, ,0-0,Personal foul by D. Fox (drawn by J. Duren),,1,0,0,0,50.0
10:58.0, ,0-2,J. Duren makes 2-pt layup from 4 ft,,1,2,0,2,62.0
10:50.0,Shooting foul by B. Bogdanović (drawn by H. Barnes),0-2, ,,1,2,0,2,70.0
10:50.0,H. Barnes misses free throw 1 of 2,0-2, ,,1,2,0,2,70.0
10:50.0,Offensive rebound by Team,0-2, ,,1,2,0,2,70.0
10:50.0,H. Barnes misses free throw 2 of 2,0-2, ,,1,2,0,2,70.0
10:47.0, ,0-2,Defensive rebound by J. Duren,,1,2,0,2,73.0
10:41.0, ,0-4,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by J. Duren),,1,4,0,4,79.0
10:28.0,K. Murray makes 2-pt layup from 4 ft (assist by D. Sabonis),2-4, ,,1,4,2,2,92.0
10:15.0, ,2-6,J. Duren makes 2-pt layup from 3 ft (assist by K. Hayes),,1,6,2,4,105.0
10:09.0,D. Sabonis makes 2-pt dunk from 3 ft (assist by D. Fox),4-6, ,,1,6,4,2,111.0
9:58.0, ,4-6,Personal foul by K. Murray (drawn by B. Bogdanović),,1,6,4,2,122.0
9:49.0, ,4-8,J. Ivey makes 2-pt jump shot from 6 ft,,1,8,4,4,131.0
9:31.0,K. Huerter misses 2-pt jump shot from 5 ft,4-8, ,,1,8,4,4,149.0
9:29.0,Offensive rebound by D. Sabonis,4-8, ,,1,8,4,4,151.0
9:29.0,D. Sabonis makes 2-pt layup from 2 ft,6-8, ,,1,8,6,2,151.0
9:09.0, ,6-8,I. Livers misses 3-pt jump shot from 27 ft,,1,8,6,2,171.0
9:06.0,Defensive rebound by K. Huerter,6-8, ,,1,8,6,2,174.0
8:42.0,D. Fox misses 3-pt jump shot from 33 ft,6-8, ,,1,8,6,2,198.0
8:38.0,Offensive rebound by D. Sabonis,6-8, ,,1,8,6,2,202.0
8:38.0,D. Sabonis misses 2-pt layup from 4 ft,6-8, ,,1,8,6,2,202.0
8:36.0, ,6-8,Defensive rebound by J. Duren,,1,8,6,2,204.0
8:32.0, ,6-10,J. Duren makes 2-pt jump shot from 4 ft,,1,10,6,4,208.0
8:20.0,D. Sabonis makes 2-pt hook shot from 3 ft,8-10, ,,1,10,8,2,220.0
8:04.0, ,8-13,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Ivey),,1,13,8,5,236.0
7:57.0,D. Fox makes 2-pt layup from 3 ft,10-13, ,,1,13,10,3,243.0
7:57.0,Shooting foul by J. Ivey (drawn by D. Fox),10-13, ,,1,13,10,3,243.0
7:57.0,D. Fox makes free throw 1 of 1,11-13, ,,1,13,11,2,243.0
7:50.0, ,11-13,Offensive foul by K. Hayes (drawn by D. Fox),,1,13,11,2,250.0
7:50.0, ,11-13,Turnover by K. Hayes (offensive foul),,1,13,11,2,250.0
7:31.0,Turnover by D. Sabonis (bad pass; steal by B. Bogdanović),11-13, ,,1,13,11,2,269.0
7:28.0, ,11-15,J. Duren makes 2-pt dunk from 6 ft (assist by B. Bogdanović),,1,15,11,4,272.0
7:20.0,Personal foul by J. Duren (drawn by D. Sabonis),11-15, ,,1,15,11,4,280.0
7:08.0,K. Huerter misses 3-pt jump shot from 28 ft,11-15, ,,1,15,11,4,292.0
7:06.0, ,11-15,Defensive rebound by B. Bogdanović,,1,15,11,4,294.0
6:59.0, ,11-17,B. Bogdanović makes 2-pt jump shot from 12 ft,,1,17,11,6,301.0
6:50.0,D. Fox makes 2-pt layup from 3 ft,13-17, ,,1,17,13,4,310.0
6:33.0, ,13-20,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by K. Hayes),,1,20,13,7,327.0
6:32.0,Sacramento full timeout,13-20, ,,1,20,13,7,328.0
6:24.0,Turnover by D. Fox (bad pass),13-20, ,,1,20,13,7,336.0
6:04.0, ,13-20,J. Ivey misses 2-pt jump shot from 6 ft,,1,20,13,7,356.0
6:03.0, ,13-20,Offensive rebound by J. Ivey,,1,20,13,7,357.0
6:03.0, ,13-22,J. Ivey makes 2-pt layup at rim,,1,22,13,9,357.0
5:48.0,D. Sabonis makes 2-pt dunk from 3 ft,15-22, ,,1,22,15,7,372.0
5:37.0, ,15-24,J. Duren makes 2-pt jump shot from 7 ft,,1,24,15,9,383.0
5:25.0,D. Fox misses 2-pt layup from 4 ft,15-24, ,,1,24,15,9,395.0
5:23.0, ,15-24,Defensive rebound by J. Duren,,1,24,15,9,397.0
5:18.0, ,15-27,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by I. Livers),,1,27,15,12,402.0
5:09.0,K. Huerter misses 3-pt jump shot from 28 ft,15-27, ,,1,27,15,12,411.0
5:06.0, ,15-27,Defensive rebound by J. Duren,,1,27,15,12,414.0
4:57.0, ,15-30,I. Livers makes 3-pt jump shot from 24 ft (assist by J. Duren),,1,30,15,15,423.0
4:44.0,D. Sabonis makes 2-pt hook shot from 3 ft (assist by D. Fox),17-30, ,,1,30,17,13,436.0
4:33.0, ,17-32,J. Ivey makes 2-pt layup from 3 ft (assist by K. Hayes),,1,32,17,15,447.0
4:17.0,D. Sabonis makes 2-pt layup from 2 ft (assist by H. Barnes),19-32, ,,1,32,19,13,463.0
3:59.0, ,19-35,J. Ivey makes 3-pt jump shot from 27 ft (assist by K. Hayes),,1,35,19,16,481.0
3:50.0,Turnover by D. Fox (bad pass),19-35, ,,1,35,19,16,490.0
3:50.0,K. Ellis enters the game for H. Barnes,19-35, ,,1,35,19,16,490.0
3:50.0,T. Lyles enters the game for D. Fox,19-35, ,,1,35,19,16,490.0
3:50.0,M. Monk enters the game for K. Huerter,19-35, ,,1,35,19,16,490.0
3:50.0, ,19-35,A. Burks enters the game for B. Bogdanović,,1,35,19,16,490.0
3:50.0, ,19-35,K. Knox enters the game for J. Duren,,1,35,19,16,490.0
3:50.0, ,19-35,M. Sasser enters the game for K. Hayes,,1,35,19,16,490.0
3:50.0, ,19-35,A. Thompson enters the game for J. Ivey,,1,35,19,16,490.0
3:50.0, ,19-35,J. Wiseman enters the game for I. Livers,,1,35,19,16,490.0
3:38.0, ,19-35,M. Sasser misses 3-pt jump shot from 27 ft,,1,35,19,16,502.0
3:36.0, ,19-35,Offensive rebound by J. Wiseman,,1,35,19,16,504.0
3:30.0, ,19-37,J. Wiseman makes 2-pt layup from 2 ft,,1,37,19,18,510.0
3:23.0,D. Sabonis makes 2-pt layup from 3 ft (assist by M. Monk),21-37, ,,1,37,21,16,517.0
3:23.0,Shooting foul by A. Thompson (drawn by D. Sabonis),21-37, ,,1,37,21,16,517.0
3:23.0,J. Toscano-Anderson enters the game for K. Murray,21-37, ,,1,37,21,16,517.0
3:23.0,D. Sabonis makes free throw 1 of 1,22-37, ,,1,37,22,15,517.0
3:09.0, ,22-37,Personal foul by M. Monk (drawn by A. Burks),,1,37,22,15,531.0
2:59.0, ,22-37,Turnover by K. Knox (bad pass; steal by D. Sabonis),,1,37,22,15,541.0
2:55.0,M. Monk makes 2-pt layup from 3 ft (assist by D. Sabonis),24-37, ,,1,37,24,13,545.0
2:36.0, ,24-40,K. Knox makes 3-pt jump shot from 28 ft (assist by J. Wiseman),,1,40,24,16,564.0
2:24.0,M. Monk makes 2-pt jump shot from 6 ft (assist by D. Sabonis),26-40, ,,1,40,26,14,576.0
2:14.0, ,26-43,A. Burks makes 3-pt jump shot from 28 ft,,1,43,26,17,586.0
2:03.0,Personal foul by A. Thompson (drawn by T. Lyles),26-43, ,,1,43,26,17,597.0
2:03.0, ,26-43,Detroit full timeout,,1,43,26,17,597.0
2:03.0,A. Len enters the game for D. Sabonis,26-43, ,,1,43,26,17,597.0
2:03.0,T. Lyles misses free throw 1 of 2,26-43, ,,1,43,26,17,597.0
2:03.0,Offensive rebound by Team,26-43, ,,1,43,26,17,597.0
2:03.0,T. Lyles makes free throw 2 of 2,27-43, ,,1,43,27,16,597.0
1:51.0, ,27-43,Shooting foul by M. Monk (drawn by A. Burks),,1,43,27,16,609.0
1:51.0, ,27-44,A. Burks makes free throw 1 of 2,,1,44,27,17,609.0
1:51.0, ,27-44,A. Burks misses free throw 2 of 2,,1,44,27,17,609.0
1:48.0,Defensive rebound by T. Lyles,27-44, ,,1,44,27,17,612.0
1:30.0,M. Monk misses 3-pt jump shot from 25 ft,27-44, ,,1,44,27,17,630.0
1:27.0, ,27-44,Defensive rebound by M. Sasser,,1,44,27,17,633.0
1:21.0, ,27-46,K. Knox makes 2-pt layup from 4 ft (assist by A. Burks),,1,46,27,19,639.0
1:21.0, ,27-46,Shooting foul by A. Len (drawn by K. Knox),,1,46,27,19,639.0
1:21.0,D. Fox enters the game for K. Ellis,27-46, ,,1,46,27,19,639.0
1:21.0, ,27-47,K. Knox makes free throw 1 of 1,,1,47,27,20,639.0
1:07.0,Turnover by D. Fox (lost ball; steal by A. Thompson),27-47, ,,1,47,27,20,653.0
1:01.0, ,27-47,A. Burks misses 2-pt layup from 4 ft,,1,47,27,20,659.0
0:58.0,Defensive rebound by T. Lyles,27-47, ,,1,47,27,20,662.0
0:53.0,A. Len makes 2-pt dunk from 2 ft (assist by M. Monk),29-47, ,,1,47,29,18,667.0
0:36.0,Jump ball: D. Fox vs. A. Burks (T. Lyles gains possession),29-47,,,1,47,29,18,684.0
0:36.0, ,29-47,Turnover by A. Burks (lost ball; steal by D. Fox),,1,47,29,18,684.0
0:29.0,D. Fox misses 3-pt jump shot from 27 ft,29-47, ,,1,47,29,18,691.0
0:27.0, ,29-47,Defensive rebound by A. Burks,,1,47,29,18,693.0
0:07.0, ,29-47,M. Sasser misses 2-pt jump shot from 21 ft,,1,47,29,18,713.0
0:05.0,Defensive rebound by D. Fox,29-47, ,,1,47,29,18,715.0
0:01.0,Turnover by D. Fox (traveling),29-47, ,,1,47,29,18,719.0
0:00.0,End of 1st quarter,29-47,,,1,47,29,18,720.0
12:00.0,Start of 2nd quarter,29-47,,,2,47,29,18,720.0
11:42.0, ,29-47,A. Burks misses 3-pt jump shot from 26 ft,,2,47,29,18,738.0
11:42.0, ,29-47,Offensive rebound by Team,,2,47,29,18,738.0
11:42.0,Loose ball foul by T. Lyles (drawn by K. Knox),29-47, ,,2,47,29,18,738.0
11:32.0, ,29-47,Personal foul by J. Toscano-Anderson (drawn by A. Burks),,2,47,29,18,748.0
11:20.0, ,29-47,A. Thompson misses 2-pt jump shot from 7 ft,,2,47,29,18,760.0
11:18.0,Defensive rebound by J. Toscano-Anderson,29-47, ,,2,47,29,18,762.0
11:08.0,A. Len makes 2-pt layup from 1 ft (assist by T. Lyles),31-47, ,,2,47,31,16,772.0
11:08.0,Shooting foul by A. Thompson (drawn by A. Len),31-47, ,,2,47,31,16,772.0
11:08.0, ,31-47,B. Bogdanović enters the game for M. Sasser,,2,47,31,16,772.0
11:08.0, ,31-47,K. Hayes enters the game for A. Thompson,,2,47,31,16,772.0
11:08.0,A. Len misses free throw 1 of 1,31-47, ,,2,47,31,16,772.0
11:07.0,Offensive rebound by Team,31-47, ,,2,47,31,16,773.0
11:00.0,Turnover by M. Monk (out of bounds lost ball),31-47, ,,2,47,31,16,780.0
10:41.0, ,31-47,K. Knox misses 2-pt jump shot from 19 ft,,2,47,31,16,799.0
10:39.0,Defensive rebound by A. Len,31-47, ,,2,47,31,16,801.0
10:35.0,M. Monk makes 2-pt layup from 3 ft,33-47, ,,2,47,33,14,805.0
10:19.0, ,33-47,B. Bogdanović misses 2-pt jump shot from 10 ft (block by M. Monk),,2,47,33,14,821.0
10:19.0, ,33-47,Offensive rebound by B. Bogdanović,,2,47,33,14,821.0
10:15.0, ,33-49,B. Bogdanović makes 2-pt layup from 5 ft (assist by K. Hayes),,2,49,33,16,825.0
10:15.0, ,33-49,Shooting foul by J. Toscano-Anderson (drawn by B. Bogdanović),,2,49,33,16,825.0
10:15.0, ,33-49,J. Ivey enters the game for A. Burks,,2,49,33,16,825.0
10:15.0, ,33-49,B. Bogdanović misses free throw 1 of 1,,2,49,33,16,825.0
10:11.0,Defensive rebound by T. Lyles,33-49, ,,2,49,33,16,829.0
9:55.0,Turnover by M. Monk (bad pass; steal by K. Knox),33-49, ,,2,49,33,16,845.0
9:48.0, ,33-52,J. Ivey makes 3-pt jump shot from 24 ft (assist by K. Hayes),,2,52,33,19,852.0
9:39.0,D. Fox makes 3-pt jump shot from 27 ft (assist by T. Lyles),36-52, ,,2,52,36,16,861.0
9:29.0, ,36-52,Personal foul by J. Toscano-Anderson (drawn by J. Wiseman),,2,52,36,16,871.0
9:21.0, ,36-52,K. Knox misses 3-pt jump shot from 27 ft,,2,52,36,16,879.0
9:19.0, ,36-52,Offensive rebound by K. Hayes,,2,52,36,16,881.0
9:17.0, ,36-52,K. Knox misses 3-pt jump shot from 24 ft,,2,52,36,16,883.0
9:14.0,Defensive rebound by M. Monk,36-52, ,,2,52,36,16,886.0
9:04.0,Turnover by A. Len (bad pass; steal by B. Bogdanović),36-52, ,,2,52,36,16,896.0
9:00.0, ,36-54,B. Bogdanović makes 2-pt layup from 3 ft (assist by K. Knox),,2,54,36,18,900.0
9:00.0,Sacramento full timeout,36-54, ,,2,54,36,18,900.0
9:00.0,K. Huerter enters the game for A. Len,36-54, ,,2,54,36,18,900.0
9:00.0,D. Sabonis enters the game for M. Monk,36-54, ,,2,54,36,18,900.0
8:44.0,D. Sabonis makes 2-pt layup from 2 ft (assist by K. Huerter),38-54, ,,2,54,38,16,916.0
8:25.0, ,38-54,J. Ivey misses 2-pt layup from 2 ft (block by K. Huerter),,2,54,38,16,935.0
8:21.0,Defensive rebound by J. Toscano-Anderson,38-54, ,,2,54,38,16,939.0
8:14.0,K. Huerter makes 2-pt layup from 2 ft (assist by D. Sabonis),40-54, ,,2,54,40,14,946.0
7:56.0, ,40-57,B. Bogdanović makes 3-pt jump shot from 27 ft,,2,57,40,17,964.0
7:44.0,J. Toscano-Anderson misses 3-pt jump shot from 23 ft,40-57, ,,2,57,40,17,976.0
7:41.0, ,40-57,Defensive rebound by J. Wiseman,,2,57,40,17,979.0
7:40.0, ,40-57,Personal foul by D. Fox (drawn by K. Hayes),,2,57,40,17,980.0
7:40.0, ,40-58,K. Hayes makes free throw 1 of 2,,2,58,40,18,980.0
7:40.0,M. Monk enters the game for D. Fox,40-58, ,,2,58,40,18,980.0
7:40.0,K. Murray enters the game for J. Toscano-Anderson,40-58, ,,2,58,40,18,980.0
7:40.0, ,40-58,J. Duren enters the game for K. Knox,,2,58,40,18,980.0
7:40.0, ,40-58,I. Livers enters the game for J. Wiseman,,2,58,40,18,980.0
7:40.0, ,40-59,K. Hayes makes free throw 2 of 2,,2,59,40,19,980.0
7:33.0,Personal foul by J. Duren (drawn by K. Huerter),40-59, ,,2,59,40,19,987.0
7:23.0,Shooting foul by J. Ivey (drawn by T. Lyles),40-59, ,,2,59,40,19,997.0
7:23.0,T. Lyles makes free throw 1 of 2,41-59, ,,2,59,41,18,997.0
7:23.0,T. Lyles makes free throw 2 of 2,42-59, ,,2,59,42,17,997.0
7:15.0, ,42-59,Personal foul by K. Murray (drawn by B. Bogdanović),,2,59,42,17,1005.0
