Time,San Antonio,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: V. Wembanyama vs. J. Duren (J. Champagnie gains possession),0-0,,,1,0,0,0,0.0
11:43.0,T. Jones makes 2-pt layup from 3 ft (assist by V. Wembanyama),2-0, ,,1,0,2,-2,17.0
11:25.0, ,2-0,B. Bogdanović misses 2-pt jump shot from 11 ft,,1,0,2,-2,35.0
11:22.0,Defensive rebound by V. Wembanyama,2-0, ,,1,0,2,-2,38.0
11:15.0,T. Jones makes 2-pt layup from 2 ft (assist by V. Wembanyama),4-0, ,,1,0,4,-4,45.0
11:03.0, ,4-0,J. Ivey misses 3-pt jump shot from 26 ft,,1,0,4,-4,57.0
10:59.0,Defensive rebound by J. Sochan,4-0, ,,1,0,4,-4,61.0
10:53.0,D. Vassell misses 3-pt jump shot from 27 ft,4-0, ,,1,0,4,-4,67.0
10:51.0, ,4-0,Defensive rebound by J. Ivey,,1,0,4,-4,69.0
10:45.0, ,4-2,J. Ivey makes 2-pt layup from 2 ft,,1,2,4,-2,75.0
10:35.0,V. Wembanyama makes 2-pt layup from 4 ft (assist by T. Jones),6-2, ,,1,2,6,-4,85.0
10:22.0, ,6-2,J. Ivey misses 2-pt jump shot from 11 ft,,1,2,6,-4,98.0
10:19.0,Defensive rebound by J. Champagnie,6-2, ,,1,2,6,-4,101.0
10:02.0,D. Vassell misses 3-pt jump shot from 28 ft,6-2, ,,1,2,6,-4,118.0
9:58.0, ,6-2,Defensive rebound by J. Ivey,,1,2,6,-4,122.0
9:58.0, ,6-2,Shooting foul by T. Jones (drawn by J. Ivey),,1,2,6,-4,122.0
9:58.0, ,6-2,J. Ivey misses free throw 1 of 2,,1,2,6,-4,122.0
9:58.0, ,6-2,Offensive rebound by Team,,1,2,6,-4,122.0
9:58.0, ,6-3,J. Ivey makes free throw 2 of 2,,1,3,6,-3,122.0
9:43.0,V. Wembanyama makes 2-pt layup from 4 ft (assist by D. Vassell),8-3, ,,1,3,8,-5,137.0
9:28.0, ,8-6,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Ivey),,1,6,8,-2,152.0
9:16.0,V. Wembanyama misses 3-pt jump shot from 26 ft,8-6, ,,1,6,8,-2,164.0
9:13.0, ,8-6,Defensive rebound by J. Ivey,,1,6,8,-2,167.0
9:08.0, ,8-8,K. Hayes makes 2-pt jump shot from 6 ft (assist by J. Ivey),Tie,1,8,8,0,172.0
8:50.0,Turnover by T. Jones (out of bounds lost ball),8-8, ,,1,8,8,0,190.0
8:32.0, ,8-8,K. Hayes misses 2-pt jump shot from 8 ft,,1,8,8,0,208.0
8:30.0,Defensive rebound by J. Champagnie,8-8, ,,1,8,8,0,210.0
8:25.0,Turnover by J. Sochan (bad pass; steal by I. Livers),8-8, ,,1,8,8,0,215.0
8:13.0, ,8-8,J. Ivey misses 3-pt jump shot from 28 ft,,1,8,8,0,227.0
8:10.0,Defensive rebound by D. Vassell,8-8, ,,1,8,8,0,230.0
8:03.0,V. Wembanyama misses 2-pt jump shot from 6 ft,8-8, ,,1,8,8,0,237.0
8:00.0, ,8-8,Defensive rebound by J. Duren,,1,8,8,0,240.0
7:57.0, ,8-10,J. Duren makes 2-pt dunk from 3 ft,Lead change,1,10,8,2,243.0
7:56.0,San Antonio full timeout,8-10, ,,1,10,8,2,244.0
