Time,Minnesota,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: R. Gobert vs. J. Duren (J. Duren gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,J. Duren misses 2-pt jump shot from 10 ft,,1,0,0,0,17.0
11:42.0,Defensive rebound by K. Towns,0-0, ,,1,0,0,0,18.0
11:40.0,Turnover by A. Edwards (lost ball; steal by J. Ivey),0-0, ,,1,0,0,0,20.0
11:34.0, ,0-2,B. Bogdanović makes 2-pt layup from 3 ft (assist by J. Ivey),,1,2,0,2,26.0
11:18.0,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Towns),2-2, ,Tie,1,2,2,0,42.0
11:01.0, ,2-4,J. Duren makes 2-pt layup from 3 ft (assist by B. Bogdanović),,1,4,2,2,59.0
10:47.0,M. Conley misses 3-pt jump shot from 25 ft,2-4, ,,1,4,2,2,73.0
10:45.0,Offensive rebound by J. McDaniels,2-4, ,,1,4,2,2,75.0
10:43.0,J. McDaniels makes 2-pt hook shot from 6 ft,4-4, ,Tie,1,4,4,0,77.0
10:26.0, ,4-6,J. Ivey makes 2-pt jump shot from 15 ft,,1,6,4,2,94.0
10:11.0,J. McDaniels misses 3-pt jump shot from 23 ft,4-6, ,,1,6,4,2,109.0
10:10.0, ,4-6,Defensive rebound by I. Stewart,,1,6,4,2,110.0
9:54.0, ,4-6,I. Stewart misses 3-pt jump shot from 25 ft,,1,6,4,2,126.0
9:52.0,Defensive rebound by R. Gobert,4-6, ,,1,6,4,2,128.0
9:39.0,J. McDaniels makes 2-pt jump shot from 4 ft (assist by A. Edwards),6-6, ,Tie,1,6,6,0,141.0
9:21.0, ,6-6,I. Stewart misses 3-pt jump shot from 24 ft,,1,6,6,0,159.0
9:18.0,Defensive rebound by A. Edwards,6-6, ,,1,6,6,0,162.0
9:06.0,A. Edwards misses 2-pt layup from 1 ft,6-6, ,,1,6,6,0,174.0
9:02.0,Offensive rebound by R. Gobert,6-6, ,,1,6,6,0,178.0
9:01.0,R. Gobert makes 2-pt layup from 2 ft,8-6, ,Lead change,1,6,8,-2,179.0
8:47.0, ,8-8,K. Hayes makes 2-pt jump shot from 10 ft,Tie,1,8,8,0,193.0
8:34.0,K. Towns misses 2-pt jump shot from 6 ft (block by I. Stewart),8-8, ,,1,8,8,0,206.0
8:32.0, ,8-8,Defensive rebound by J. Duren,,1,8,8,0,208.0
8:24.0, ,8-10,J. Duren makes 2-pt layup from 3 ft (assist by K. Hayes),Lead change,1,10,8,2,216.0
8:12.0,A. Edwards makes 2-pt layup from 2 ft,10-10, ,Tie,1,10,10,0,228.0
8:00.0, ,10-10,J. Ivey misses 2-pt jump shot from 11 ft,,1,10,10,0,240.0
7:58.0,Defensive rebound by R. Gobert,10-10, ,,1,10,10,0,242.0
7:49.0,A. Edwards makes 2-pt jump shot from 9 ft,12-10, ,Lead change,1,10,12,-2,251.0
7:49.0,Shooting foul by K. Hayes (drawn by A. Edwards),12-10, ,,1,10,12,-2,251.0
7:49.0,A. Edwards makes free throw 1 of 1,13-10, ,,1,10,13,-3,251.0
7:41.0, ,13-13,I. Stewart makes 3-pt jump shot from 28 ft (assist by K. Hayes),Tie,1,13,13,0,259.0
7:27.0,Shooting foul by J. Ivey (drawn by R. Gobert),13-13, ,,1,13,13,0,273.0
7:27.0,R. Gobert makes free throw 1 of 2,14-13, ,,1,13,14,-1,273.0
7:27.0,R. Gobert makes free throw 2 of 2,15-13, ,,1,13,15,-2,273.0
7:16.0, ,15-15,K. Hayes makes 2-pt jump shot from 13 ft (assist by I. Stewart),Tie,1,15,15,0,284.0
7:02.0,R. Gobert misses 2-pt layup from 3 ft,15-15, ,,1,15,15,0,298.0
7:01.0,Offensive rebound by R. Gobert,15-15, ,,1,15,15,0,299.0
7:00.0,R. Gobert makes 2-pt dunk from 1 ft,17-15, ,,1,15,17,-2,300.0
6:52.0, ,17-17,J. Ivey makes 2-pt layup from 3 ft (assist by K. Hayes),Tie,1,17,17,0,308.0
