Time,Milwaukee,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. J. Duren (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:51.0,M. Beasley misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,9.0
11:44.0, ,0-0,Defensive rebound by K. Knox,,1,0,0,0,16.0
11:33.0, ,0-2,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by K. Hayes),,1,2,0,2,27.0
11:18.0,Shooting foul by J. Duren (drawn by G. Antetokounmpo),0-2, ,,1,2,0,2,42.0
11:18.0,G. Antetokounmpo makes free throw 1 of 2,1-2, ,,1,2,1,1,42.0
11:18.0,G. Antetokounmpo misses free throw 2 of 2,1-2, ,,1,2,1,1,42.0
11:15.0, ,1-2,Defensive rebound by J. Ivey,,1,2,1,1,45.0
10:57.0, ,1-2,J. Ivey misses 2-pt layup from 6 ft,,1,2,1,1,63.0
10:54.0,Defensive rebound by K. Middleton,1-2, ,,1,2,1,1,66.0
10:49.0,K. Middleton misses 2-pt layup from 6 ft,1-2, ,,1,2,1,1,71.0
10:46.0, ,1-2,Defensive rebound by K. Hayes,,1,2,1,1,74.0
10:37.0, ,1-2,B. Bogdanović misses 2-pt jump shot from 14 ft,,1,2,1,1,83.0
10:33.0,Defensive rebound by B. Lopez,1-2, ,,1,2,1,1,87.0
10:21.0,M. Beasley misses 2-pt jump shot from 17 ft,1-2, ,,1,2,1,1,99.0
10:18.0, ,1-2,Defensive rebound by J. Duren,,1,2,1,1,102.0
10:00.0, ,1-2,J. Duren misses 2-pt jump shot from 15 ft,,1,2,1,1,120.0
9:57.0,Defensive rebound by K. Middleton,1-2, ,,1,2,1,1,123.0
9:51.0,Shooting foul by K. Hayes (drawn by K. Middleton),1-2, ,,1,2,1,1,129.0
9:51.0,K. Middleton misses free throw 1 of 2,1-2, ,,1,2,1,1,129.0
9:51.0,Offensive rebound by Team,1-2, ,,1,2,1,1,129.0
9:51.0,K. Middleton makes free throw 2 of 2,2-2, ,Tie,1,2,2,0,129.0
9:40.0, ,2-4,J. Duren makes 2-pt dunk from 1 ft (assist by K. Hayes),,1,4,2,2,140.0
9:28.0,K. Middleton makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),5-4, ,Lead change,1,4,5,-1,152.0
9:16.0, ,5-4,K. Hayes misses 2-pt jump shot from 4 ft,,1,4,5,-1,164.0
9:13.0,Defensive rebound by B. Lopez,5-4, ,,1,4,5,-1,167.0
9:10.0,M. Beasley makes 2-pt layup from 4 ft (assist by B. Lopez),7-4, ,,1,4,7,-3,170.0
8:59.0, ,7-4,B. Bogdanović misses 2-pt layup from 2 ft (block by B. Lopez),,1,4,7,-3,181.0
8:55.0,Defensive rebound by K. Middleton,7-4, ,,1,4,7,-3,185.0
8:45.0,K. Middleton misses 2-pt jump shot from 18 ft,7-4, ,,1,4,7,-3,195.0
8:40.0, ,7-4,Defensive rebound by J. Duren,,1,4,7,-3,200.0
8:36.0, ,7-4,Shooting foul by G. Antetokounmpo (drawn by B. Bogdanović),,1,4,7,-3,204.0
8:36.0, ,7-5,B. Bogdanović makes free throw 1 of 2,,1,5,7,-2,204.0
8:36.0, ,7-6,B. Bogdanović makes free throw 2 of 2,,1,6,7,-1,204.0
8:24.0,D. Lillard misses 2-pt jump shot from 18 ft,7-6, ,,1,6,7,-1,216.0
8:20.0, ,7-6,Defensive rebound by J. Duren,,1,6,7,-1,220.0
8:14.0, ,7-8,K. Hayes makes 2-pt jump shot from 7 ft,Lead change,1,8,7,1,226.0
8:00.0,G. Antetokounmpo misses 2-pt layup from 7 ft,7-8, ,,1,8,7,1,240.0
7:58.0, ,7-8,Defensive rebound by J. Duren,,1,8,7,1,242.0
7:58.0, ,7-8,Turnover by J. Duren (bad pass),,1,8,7,1,242.0
7:53.0,Personal foul by K. Hayes (drawn by D. Lillard),7-8, ,,1,8,7,1,247.0
7:46.0,B. Lopez makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),9-8, ,Lead change,1,8,9,-1,254.0
7:26.0, ,9-8,B. Bogdanović misses 2-pt layup from 10 ft (block by K. Middleton),,1,8,9,-1,274.0
7:26.0,Defensive rebound by Team,9-8, ,,1,8,9,-1,274.0
7:26.0, ,9-8,A. Thompson enters the game for K. Hayes,,1,8,9,-1,274.0
7:18.0,D. Lillard makes 2-pt layup from 5 ft,11-8, ,,1,8,11,-3,282.0
7:08.0, ,11-8,J. Ivey misses 2-pt layup from 7 ft,,1,8,11,-3,292.0
7:08.0, ,11-8,Offensive rebound by A. Thompson,,1,8,11,-3,292.0
7:07.0, ,11-10,A. Thompson makes 2-pt dunk at rim,,1,10,11,-1,293.0
6:55.0,Personal foul by A. Thompson (drawn by B. Lopez),11-10, ,,1,10,11,-1,305.0
6:55.0, ,11-10,Detroit full timeout,,1,10,11,-1,305.0
6:55.0,B. Portis enters the game for G. Antetokounmpo,11-10, ,,1,10,11,-1,305.0
6:40.0,D. Lillard misses 2-pt jump shot from 20 ft,11-10, ,,1,10,11,-1,320.0
6:37.0, ,11-10,Defensive rebound by A. Thompson,,1,10,11,-1,323.0
6:33.0, ,11-10,A. Thompson misses 2-pt layup from 5 ft,,1,10,11,-1,327.0
6:31.0, ,11-10,Offensive rebound by J. Duren,,1,10,11,-1,329.0
6:30.0, ,11-12,J. Duren makes 2-pt layup at rim,Lead change,1,12,11,1,330.0
6:18.0,B. Lopez makes 2-pt layup from 5 ft (assist by D. Lillard),13-12, ,Lead change,1,12,13,-1,342.0
6:03.0, ,13-12,K. Knox misses 3-pt jump shot from 26 ft,,1,12,13,-1,357.0
5:59.0,Defensive rebound by K. Middleton,13-12, ,,1,12,13,-1,361.0
5:47.0,D. Lillard misses 2-pt layup from 7 ft,13-12, ,,1,12,13,-1,373.0
5:44.0, ,13-12,Defensive rebound by A. Thompson,,1,12,13,-1,376.0
5:40.0, ,13-12,J. Ivey misses 3-pt jump shot from 23 ft,,1,12,13,-1,380.0
5:37.0,Defensive rebound by B. Portis,13-12, ,,1,12,13,-1,383.0
5:27.0,B. Portis makes 2-pt hook shot from 7 ft (assist by K. Middleton),15-12, ,,1,12,15,-3,393.0
5:04.0, ,15-12,K. Knox misses 2-pt layup from 4 ft (block by B. Lopez),,1,12,15,-3,416.0
5:01.0,Defensive rebound by B. Lopez,15-12, ,,1,12,15,-3,419.0
4:58.0,Personal foul by J. Duren (drawn by D. Lillard),15-12, ,,1,12,15,-3,422.0
4:58.0,D. Lillard makes free throw 1 of 2,16-12, ,,1,12,16,-4,422.0
4:58.0,J. Crowder enters the game for K. Middleton,16-12, ,,1,12,16,-4,422.0
4:58.0, ,16-12,D. Gallinari enters the game for J. Duren,,1,12,16,-4,422.0
4:58.0, ,16-12,M. Muscala enters the game for K. Knox,,1,12,16,-4,422.0
4:58.0,D. Lillard makes free throw 2 of 2,17-12, ,,1,12,17,-5,422.0
4:41.0, ,17-15,M. Muscala makes 3-pt jump shot from 22 ft (assist by A. Thompson),,1,15,17,-2,439.0
4:28.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by D. Lillard),20-15, ,,1,15,20,-5,452.0
4:28.0, ,20-15,Detroit full timeout,,1,15,20,-5,452.0
4:28.0, ,20-15,A. Burks enters the game for B. Bogdanović,,1,15,20,-5,452.0
4:08.0, ,20-18,M. Muscala makes 3-pt jump shot from 23 ft (assist by A. Burks),,1,18,20,-2,472.0
3:48.0,B. Lopez makes 2-pt hook shot from 6 ft (assist by D. Lillard),22-18, ,,1,18,22,-4,492.0
