Time,Charlotte,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Richards vs. J. Duren (B. Miller gains possession),0-0,,,1,0,0,0,0.0
11:40.0,C. Martin misses 2-pt jump shot from 16 ft,0-0, ,,1,0,0,0,20.0
11:36.0, ,0-0,Defensive rebound by I. Stewart,,1,0,0,0,24.0
11:15.0, ,0-2,J. Ivey makes 2-pt layup from 4 ft,,1,2,0,2,45.0
11:03.0,N. Richards makes 2-pt hook shot from 4 ft (assist by L. Ball),2-2, ,Tie,1,2,2,0,57.0
10:47.0, ,2-5,J. Ivey makes 3-pt jump shot from 24 ft (assist by I. Stewart),,1,5,2,3,73.0
10:31.0,B. Miller makes 3-pt jump shot from 28 ft (assist by C. Martin),5-5, ,Tie,1,5,5,0,89.0
10:16.0, ,5-7,K. Hayes makes 2-pt jump shot from 5 ft (assist by J. Duren),,1,7,5,2,104.0
10:16.0, ,5-7,Shooting foul by L. Ball (drawn by K. Hayes),,1,7,5,2,104.0
10:16.0, ,5-7,K. Hayes misses free throw 1 of 1,,1,7,5,2,104.0
10:12.0,Defensive rebound by M. Bridges,5-7, ,,1,7,5,2,108.0
10:02.0,L. Ball misses 3-pt jump shot from 27 ft,5-7, ,,1,7,5,2,118.0
9:58.0, ,5-7,Defensive rebound by I. Stewart,,1,7,5,2,122.0
9:43.0, ,5-7,J. Duren misses 2-pt jump shot from 5 ft,,1,7,5,2,137.0
9:40.0,Defensive rebound by B. Miller,5-7, ,,1,7,5,2,140.0
9:34.0,B. Miller misses 3-pt jump shot from 30 ft,5-7, ,,1,7,5,2,146.0
9:31.0, ,5-7,Defensive rebound by J. Duren,,1,7,5,2,149.0
9:18.0, ,5-7,B. Bogdanović misses 3-pt jump shot from 30 ft,,1,7,5,2,162.0
9:15.0,Defensive rebound by M. Bridges,5-7, ,,1,7,5,2,165.0
9:11.0,L. Ball makes 2-pt jump shot from 6 ft,7-7, ,Tie,1,7,7,0,169.0
9:11.0,Shooting foul by J. Duren (drawn by L. Ball),7-7, ,,1,7,7,0,169.0
9:11.0,L. Ball makes free throw 1 of 1,8-7, ,Lead change,1,7,8,-1,169.0
8:55.0, ,8-10,I. Stewart makes 3-pt jump shot from 23 ft (assist by J. Ivey),Lead change,1,10,8,2,185.0
8:28.0,B. Miller misses 2-pt jump shot from 12 ft,8-10, ,,1,10,8,2,212.0
8:26.0,Offensive rebound by B. Miller,8-10, ,,1,10,8,2,214.0
8:25.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by B. Miller),11-10, ,Lead change,1,10,11,-1,215.0
8:09.0, ,11-10,J. Duren misses 2-pt hook shot from 4 ft (block by N. Richards),,1,10,11,-1,231.0
8:04.0,Defensive rebound by B. Miller,11-10, ,,1,10,11,-1,236.0
7:52.0,B. Miller misses 3-pt jump shot from 27 ft,11-10, ,,1,10,11,-1,248.0
7:50.0, ,11-10,Defensive rebound by K. Hayes,,1,10,11,-1,250.0
7:48.0, ,11-12,J. Duren makes 2-pt dunk from 2 ft (assist by K. Hayes),Lead change,1,12,11,1,252.0
7:35.0,Personal foul by J. Ivey (drawn by L. Ball),11-12, ,,1,12,11,1,265.0
7:27.0,B. Miller misses 2-pt layup from 5 ft,11-12, ,,1,12,11,1,273.0
7:24.0, ,11-12,Defensive rebound by I. Stewart,,1,12,11,1,276.0
7:15.0, ,11-12,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,12,11,1,285.0
7:13.0,Defensive rebound by N. Richards,11-12, ,,1,12,11,1,287.0
7:00.0,N. Richards makes 2-pt dunk from 3 ft (assist by L. Ball),13-12, ,Lead change,1,12,13,-1,300.0
7:00.0, ,13-12,Detroit full timeout,,1,12,13,-1,300.0
6:53.0, ,13-12,Offensive foul by J. Duren (drawn by L. Ball),,1,12,13,-1,307.0
6:53.0, ,13-12,Turnover by J. Duren (offensive foul),,1,12,13,-1,307.0
6:41.0,M. Bridges makes 2-pt jump shot from 22 ft,15-12, ,,1,12,15,-3,319.0
6:22.0, ,15-14,B. Bogdanović makes 2-pt layup from 4 ft,,1,14,15,-1,338.0
6:22.0,I. Smith enters the game for L. Ball,15-14, ,,1,14,15,-1,338.0
6:22.0,P. Washington enters the game for C. Martin,15-14, ,,1,14,15,-1,338.0
6:22.0, ,15-14,M. Muscala enters the game for J. Duren,,1,14,15,-1,338.0
5:59.0,I. Smith makes 2-pt jump shot from 17 ft (assist by B. Miller),17-14, ,,1,14,17,-3,361.0
5:42.0, ,17-16,B. Bogdanović makes 2-pt layup from 2 ft,,1,16,17,-1,378.0
