Time,LA Clippers,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. J. Duren (J. Harden gains possession),0-0,,,1,0,0,0,0.0
11:42.0,P. George makes 2-pt jump shot from 16 ft,2-0, ,,1,0,2,-2,18.0
11:20.0, ,2-2,B. Bogdanović makes 2-pt jump shot from 14 ft,Tie,1,2,2,0,40.0
10:58.0,P. George misses 2-pt jump shot from 15 ft,2-2, ,,1,2,2,0,62.0
10:55.0, ,2-2,Defensive rebound by J. Duren,,1,2,2,0,65.0
10:47.0, ,2-4,C. Cunningham makes 2-pt jump shot from 15 ft,Lead change,1,4,2,2,73.0
10:29.0,Shooting foul by K. Knox (drawn by K. Leonard),2-4, ,,1,4,2,2,91.0
10:29.0,K. Leonard makes free throw 1 of 2,3-4, ,,1,4,3,1,91.0
10:29.0,K. Leonard makes free throw 2 of 2,4-4, ,Tie,1,4,4,0,91.0
10:17.0, ,4-4,C. Cunningham misses 2-pt jump shot from 17 ft,,1,4,4,0,103.0
10:15.0, ,4-4,Offensive rebound by J. Duren,,1,4,4,0,105.0
10:14.0, ,4-6,J. Duren makes 2-pt layup at rim,,1,6,4,2,106.0
10:14.0, ,4-6,Shooting foul by K. Leonard (drawn by J. Duren),,1,6,4,2,106.0
10:14.0, ,4-7,J. Duren makes free throw 1 of 1,,1,7,4,3,106.0
10:02.0,P. George misses 3-pt jump shot from 23 ft,4-7, ,,1,7,4,3,118.0
9:58.0, ,4-7,Defensive rebound by J. Duren,,1,7,4,3,122.0
9:50.0, ,4-7,Turnover by B. Bogdanović (bad pass; steal by P. George),,1,7,4,3,130.0
9:39.0,T. Mann makes 2-pt layup from 2 ft (assist by P. George),6-7, ,,1,7,6,1,141.0
9:24.0, ,6-10,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,1,10,6,4,156.0
9:04.0,K. Leonard misses 2-pt jump shot from 8 ft,6-10, ,,1,10,6,4,176.0
9:00.0, ,6-10,Defensive rebound by J. Duren,,1,10,6,4,180.0
8:57.0, ,6-10,C. Cunningham misses 3-pt jump shot from 25 ft,,1,10,6,4,183.0
8:55.0, ,6-10,Offensive rebound by J. Ivey,,1,10,6,4,185.0
8:54.0, ,6-10,J. Ivey misses 2-pt layup at rim,,1,10,6,4,186.0
8:53.0,Defensive rebound by K. Leonard,6-10, ,,1,10,6,4,187.0
8:37.0,Turnover by J. Harden (bad pass; steal by C. Cunningham),6-10, ,,1,10,6,4,203.0
8:32.0, ,6-12,J. Ivey makes 2-pt layup from 1 ft (assist by C. Cunningham),,1,12,6,6,208.0
8:14.0,K. Leonard misses 2-pt jump shot from 16 ft,6-12, ,,1,12,6,6,226.0
8:11.0, ,6-12,Defensive rebound by J. Ivey,,1,12,6,6,229.0
8:04.0, ,6-12,Turnover by K. Knox (traveling),,1,12,6,6,236.0
7:53.0,Personal foul by J. Ivey (drawn by K. Leonard),6-12, ,,1,12,6,6,247.0
7:44.0,J. Harden misses 2-pt jump shot from 2 ft,6-12, ,,1,12,6,6,256.0
7:42.0,Offensive rebound by M. Plumlee,6-12, ,,1,12,6,6,258.0
7:42.0,M. Plumlee misses 2-pt layup at rim,6-12, ,,1,12,6,6,258.0
7:40.0,Offensive rebound by J. Harden,6-12, ,,1,12,6,6,260.0
7:37.0,P. George misses 3-pt jump shot from 26 ft,6-12, ,,1,12,6,6,263.0
7:35.0, ,6-12,Defensive rebound by J. Duren,,1,12,6,6,265.0
7:28.0, ,6-15,J. Ivey makes 3-pt jump shot from 24 ft,,1,15,6,9,272.0
7:27.0,LA Clippers full timeout,6-15, ,,1,15,6,9,273.0
7:06.0,J. Harden misses 3-pt jump shot from 27 ft,6-15, ,,1,15,6,9,294.0
7:01.0, ,6-15,Defensive rebound by J. Duren,,1,15,6,9,299.0
6:55.0, ,6-18,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,1,18,6,12,305.0
6:28.0,J. Harden misses 3-pt jump shot from 25 ft,6-18, ,,1,18,6,12,332.0
6:27.0,Offensive rebound by Team,6-18, ,,1,18,6,12,333.0
6:27.0,Turnover by Team (shot clock),6-18, ,,1,18,6,12,333.0
6:13.0, ,6-20,J. Duren makes 2-pt hook shot from 4 ft,,1,20,6,14,347.0
5:52.0,P. George misses 2-pt layup from 2 ft,6-20, ,,1,20,6,14,368.0
5:50.0,Offensive rebound by M. Plumlee,6-20, ,,1,20,6,14,370.0
5:42.0,Personal foul by K. Knox (drawn by K. Leonard),6-20, ,,1,20,6,14,378.0
5:42.0,R. Westbrook enters the game for T. Mann,6-20, ,,1,20,6,14,378.0
5:42.0, ,6-20,A. Thompson enters the game for K. Knox,,1,20,6,14,378.0
5:27.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by R. Westbrook),8-20, ,,1,20,8,12,393.0
5:10.0, ,8-22,J. Ivey makes 2-pt jump shot from 9 ft,,1,22,8,14,410.0
5:10.0,A. Coffey enters the game for P. George,8-22, ,,1,22,8,14,410.0
5:10.0,N. Powell enters the game for J. Harden,8-22, ,,1,22,8,14,410.0
4:48.0,R. Westbrook misses 3-pt jump shot from 23 ft,8-22, ,,1,22,8,14,432.0
4:46.0,Offensive rebound by Team,8-22, ,,1,22,8,14,434.0
4:46.0,D. Theis enters the game for M. Plumlee,8-22, ,,1,22,8,14,434.0
4:44.0,K. Leonard makes 2-pt layup from 4 ft (assist by R. Westbrook),10-22, ,,1,22,10,12,436.0
4:44.0,Shooting foul by J. Ivey (drawn by K. Leonard),10-22, ,,1,22,10,12,436.0
4:44.0, ,10-22,A. Burks enters the game for J. Ivey,,1,22,10,12,436.0
4:44.0,K. Leonard makes free throw 1 of 1,11-22, ,,1,22,11,11,436.0
4:34.0, ,11-22,C. Cunningham misses 2-pt layup from 4 ft (block by D. Theis),,1,22,11,11,446.0
4:33.0,Defensive rebound by N. Powell,11-22, ,,1,22,11,11,447.0
4:26.0,N. Powell misses 2-pt jump shot from 16 ft,11-22, ,,1,22,11,11,454.0
4:24.0, ,11-22,Defensive rebound by J. Duren,,1,22,11,11,456.0
4:06.0, ,11-24,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by C. Cunningham),,1,24,11,13,474.0
3:52.0,K. Leonard makes 3-pt jump shot from 28 ft,14-24, ,,1,24,14,10,488.0
3:36.0, ,14-26,C. Cunningham makes 2-pt jump shot from 7 ft,,1,26,14,12,504.0
3:22.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by K. Leonard),17-26, ,,1,26,17,9,518.0
3:20.0, ,17-26,Detroit full timeout,,1,26,17,9,520.0
3:20.0, ,17-26,D. Gallinari enters the game for C. Cunningham,,1,26,17,9,520.0
3:20.0, ,17-26,M. Morris enters the game for J. Duren,,1,26,17,9,520.0
3:04.0, ,17-26,A. Burks misses 3-pt jump shot from 23 ft,,1,26,17,9,536.0
3:02.0,Defensive rebound by A. Coffey,17-26, ,,1,26,17,9,538.0
2:53.0,A. Coffey makes 2-pt jump shot from 12 ft (assist by R. Westbrook),19-26, ,,1,26,19,7,547.0
2:39.0, ,19-26,Shooting foul by D. Theis (drawn by D. Gallinari),,1,26,19,7,561.0
2:39.0, ,19-27,D. Gallinari makes free throw 1 of 2,,1,27,19,8,561.0
2:39.0, ,19-27,M. Sasser enters the game for B. Bogdanović,,1,27,19,8,561.0
2:39.0, ,19-28,D. Gallinari makes free throw 2 of 2,,1,28,19,9,561.0
2:21.0,K. Leonard makes 2-pt jump shot from 17 ft (assist by R. Westbrook),21-28, ,,1,28,21,7,579.0
2:07.0, ,21-28,M. Morris misses 3-pt jump shot from 25 ft,,1,28,21,7,593.0
2:05.0,Defensive rebound by Team,21-28, ,,1,28,21,7,595.0
1:55.0,R. Westbrook makes 2-pt layup from 2 ft,23-28, ,,1,28,23,5,605.0
1:40.0, ,23-28,A. Burks misses 2-pt jump shot from 10 ft,,1,28,23,5,620.0
1:38.0, ,23-28,Offensive rebound by A. Burks,,1,28,23,5,622.0
1:36.0, ,23-28,Turnover by A. Burks (bad pass; steal by R. Westbrook),,1,28,23,5,624.0
1:30.0,K. Leonard makes 2-pt jump shot from 6 ft,25-28, ,,1,28,25,3,630.0
1:16.0, ,25-28,A. Burks misses 3-pt jump shot from 25 ft,,1,28,25,3,644.0
1:12.0,Defensive rebound by D. Theis,25-28, ,,1,28,25,3,648.0
1:12.0,Turnover by D. Theis (bad pass; steal by A. Burks),25-28, ,,1,28,25,3,648.0
1:08.0, ,25-31,D. Gallinari makes 3-pt jump shot from 23 ft (assist by A. Burks),,1,31,25,6,652.0
0:51.0,Offensive foul by D. Theis (drawn by M. Sasser),25-31, ,,1,31,25,6,669.0
0:51.0,Turnover by D. Theis (offensive foul),25-31, ,,1,31,25,6,669.0
