Time,Orlando,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. J. Duren (K. Knox gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,0,0,0,16.0
11:42.0,Defensive rebound by P. Banchero,0-0, ,,1,0,0,0,18.0
11:25.0,J. Suggs makes 2-pt jump shot from 20 ft,2-0, ,,1,0,2,-2,35.0
11:05.0, ,2-2,C. Cunningham makes 2-pt layup from 4 ft (assist by J. Ivey),Tie,1,2,2,0,55.0
10:48.0,Personal foul by K. Knox (drawn by F. Wagner),2-2, ,,1,2,2,0,72.0
10:42.0,Turnover by W. Carter (bad pass),2-2, ,,1,2,2,0,78.0
10:27.0, ,2-2,K. Knox misses 3-pt jump shot from 25 ft,,1,2,2,0,93.0
10:22.0,Defensive rebound by W. Carter,2-2, ,,1,2,2,0,98.0
10:21.0,Turnover by W. Carter (bad pass; steal by J. Ivey),2-2, ,,1,2,2,0,99.0
10:19.0, ,2-4,J. Ivey makes 2-pt layup from 1 ft,Lead change,1,4,2,2,101.0
9:54.0,M. Fultz misses 2-pt jump shot from 16 ft,2-4, ,,1,4,2,2,126.0
9:52.0, ,2-4,Defensive rebound by J. Ivey,,1,4,2,2,128.0
9:47.0, ,2-7,J. Ivey makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,1,7,2,5,133.0
9:27.0,P. Banchero misses 2-pt layup from 4 ft (block by J. Ivey),2-7, ,,1,7,2,5,153.0
9:27.0,Offensive rebound by Team,2-7, ,,1,7,2,5,153.0
9:25.0,W. Carter misses 3-pt jump shot from 24 ft,2-7, ,,1,7,2,5,155.0
9:21.0, ,2-7,Defensive rebound by K. Knox,,1,7,2,5,159.0
9:06.0, ,2-9,J. Duren makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,9,2,7,174.0
9:06.0, ,2-9,Shooting foul by F. Wagner (drawn by J. Duren),,1,9,2,7,174.0
9:06.0, ,2-10,J. Duren makes free throw 1 of 1,,1,10,2,8,174.0
8:48.0,J. Suggs misses 2-pt jump shot from 16 ft,2-10, ,,1,10,2,8,192.0
