Time,Detroit,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. D. Sabonis (K. Hayes gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-3,K. Huerter makes 3-pt jump shot from 27 ft (assist by D. Sabonis),,1,0,3,-3,17.0
11:22.0,Turnover by J. Duren (bad pass; steal by D. Fox),0-3, ,,1,0,3,-3,38.0
11:18.0, ,0-3,Turnover by D. Fox (lost ball; steal by A. Thompson),,1,0,3,-3,42.0
11:10.0,K. Hayes makes 3-pt jump shot from 26 ft (assist by A. Thompson),3-3, ,Tie,1,3,3,0,50.0
10:49.0, ,3-5,D. Sabonis makes 2-pt layup from 2 ft (assist by K. Murray),,1,3,5,-2,71.0
10:34.0,A. Thompson makes 2-pt layup from 2 ft (assist by J. Duren),5-5, ,Tie,1,5,5,0,86.0
10:20.0, ,5-5,Turnover by D. Fox (lost ball; steal by A. Thompson),,1,5,5,0,100.0
10:17.0,Personal foul by K. Murray (drawn by J. Ivey),5-5, ,,1,5,5,0,103.0
10:06.0,Turnover by A. Thompson (lost ball; steal by D. Fox),5-5, ,,1,5,5,0,114.0
9:59.0, ,5-8,K. Huerter makes 3-pt jump shot from 22 ft (assist by K. Murray),,1,5,8,-3,121.0
9:42.0,J. Ivey misses 3-pt jump shot from 25 ft,5-8, ,,1,5,8,-3,138.0
9:38.0, ,5-8,Defensive rebound by D. Sabonis,,1,5,8,-3,142.0
9:35.0, ,5-8,Personal foul by J. Duren (drawn by D. Sabonis),,1,5,8,-3,145.0
9:21.0, ,5-8,Turnover by K. Murray (traveling),,1,5,8,-3,159.0
9:10.0,J. Ivey misses 2-pt jump shot from 11 ft,5-8, ,,1,5,8,-3,170.0
9:08.0,Offensive rebound by A. Thompson,5-8, ,,1,5,8,-3,172.0
9:05.0,Turnover by A. Thompson (bad pass; steal by K. Murray),5-8, ,,1,5,8,-3,175.0
8:57.0, ,5-11,D. Fox makes 3-pt jump shot from 27 ft (assist by K. Murray),,1,5,11,-6,183.0
8:57.0,Detroit full timeout,5-11, ,,1,5,11,-6,183.0
8:43.0,J. Ivey misses 2-pt layup from 3 ft,5-11, ,,1,5,11,-6,197.0
8:42.0,Offensive rebound by J. Duren,5-11, ,,1,5,11,-6,198.0
8:42.0,J. Duren misses 2-pt layup at rim,5-11, ,,1,5,11,-6,198.0
8:41.0, ,5-11,Defensive rebound by H. Barnes,,1,5,11,-6,199.0
8:24.0, ,5-14,K. Huerter makes 3-pt jump shot from 26 ft (assist by D. Fox),,1,5,14,-9,216.0
8:15.0,J. Duren misses 2-pt jump shot from 1 ft,5-14, ,,1,5,14,-9,225.0
8:12.0, ,5-14,Defensive rebound by H. Barnes,,1,5,14,-9,228.0
8:05.0, ,5-14,H. Barnes misses 3-pt jump shot from 26 ft,,1,5,14,-9,235.0
8:02.0,Defensive rebound by J. Ivey,5-14, ,,1,5,14,-9,238.0
7:58.0,M. Muscala misses 3-pt jump shot from 25 ft,5-14, ,,1,5,14,-9,242.0
