Time,Detroit,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. J. Walker (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:34.0,C. Cunningham misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,26.0
11:33.0,Offensive rebound by A. Thompson,0-0, ,,1,0,0,0,27.0
11:29.0,A. Thompson misses 2-pt jump shot from 5 ft,0-0, ,,1,0,0,0,31.0
11:25.0,Offensive rebound by J. Duren,0-0, ,,1,0,0,0,35.0
11:25.0,J. Duren misses 2-pt layup at rim,0-0, ,,1,0,0,0,35.0
11:25.0, ,0-0,Defensive rebound by J. Grant,,1,0,0,0,35.0
11:19.0, ,0-0,T. Camara misses 2-pt layup from 6 ft,,1,0,0,0,41.0
11:18.0,Defensive rebound by J. Duren,0-0, ,,1,0,0,0,42.0
11:07.0,Turnover by J. Ivey (lost ball; steal by T. Camara),0-0, ,,1,0,0,0,53.0
10:58.0, ,0-0,J. Grant misses 2-pt hook shot from 9 ft,,1,0,0,0,62.0
10:57.0,Defensive rebound by J. Ivey,0-0, ,,1,0,0,0,63.0
10:49.0,J. Ivey misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,71.0
10:47.0, ,0-0,Defensive rebound by T. Camara,,1,0,0,0,73.0
10:39.0, ,0-0,A. Simons misses 3-pt jump shot from 30 ft,,1,0,0,0,81.0
10:37.0,Defensive rebound by J. Duren,0-0, ,,1,0,0,0,83.0
10:33.0,Turnover by J. Duren (lost ball; steal by M. Thybulle),0-0, ,,1,0,0,0,87.0
10:20.0, ,0-0,J. Grant misses 2-pt layup from 5 ft,,1,0,0,0,100.0
10:19.0, ,0-0,Offensive rebound by J. Grant,,1,0,0,0,101.0
10:19.0, ,0-0,Shooting foul by A. Thompson (drawn by J. Grant),,1,0,0,0,101.0
10:19.0, ,0-1,J. Grant makes free throw 1 of 2,,1,0,1,-1,101.0
10:19.0, ,0-2,J. Grant makes free throw 2 of 2,,1,0,2,-2,101.0
10:09.0,C. Cunningham misses 2-pt layup from 2 ft,0-2, ,,1,0,2,-2,111.0
10:06.0,Offensive rebound by Team,0-2, ,,1,0,2,-2,114.0
9:58.0,Shooting foul by M. Thybulle (drawn by J. Duren),0-2, ,,1,0,2,-2,122.0
9:58.0,J. Duren makes free throw 1 of 2,1-2, ,,1,1,2,-1,122.0
9:58.0,J. Duren makes free throw 2 of 2,2-2, ,Tie,1,2,2,0,122.0
9:44.0, ,2-4,J. Walker makes 2-pt layup from 1 ft (assist by M. Thybulle),,1,2,4,-2,136.0
9:23.0,A. Thompson misses 2-pt hook shot from 4 ft (block by J. Walker),2-4, ,,1,2,4,-2,157.0
9:22.0,Offensive rebound by Team,2-4, ,,1,2,4,-2,158.0
9:20.0,C. Cunningham misses 2-pt jump shot from 17 ft,2-4, ,,1,2,4,-2,160.0
9:16.0, ,2-4,Defensive rebound by J. Grant,,1,2,4,-2,164.0
9:14.0, ,2-6,J. Grant makes 2-pt dunk at rim,,1,2,6,-4,166.0
8:51.0,M. Muscala misses 2-pt jump shot from 19 ft,2-6, ,,1,2,6,-4,189.0
