Time,Detroit,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. I. Zubac (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:48.0,J. Duren misses 2-pt layup from 3 ft (block by I. Zubac),0-0, ,,1,0,0,0,12.0
11:47.0,Offensive rebound by Team,0-0, ,,1,0,0,0,13.0
11:46.0,J. Ivey misses 2-pt jump shot from 16 ft,0-0, ,,1,0,0,0,14.0
11:44.0, ,0-0,Defensive rebound by Team,,1,0,0,0,16.0
11:33.0, ,0-2,P. George makes 2-pt dunk from 3 ft (assist by J. Harden),,1,0,2,-2,27.0
11:16.0,J. Duren makes 2-pt layup from 1 ft (assist by A. Thompson),2-2, ,Tie,1,2,2,0,44.0
10:50.0, ,2-2,J. Harden misses 3-pt jump shot from 27 ft,,1,2,2,0,70.0
10:45.0,Defensive rebound by C. Cunningham,2-2, ,,1,2,2,0,75.0
10:34.0,A. Thompson misses 2-pt hook shot from 5 ft,2-2, ,,1,2,2,0,86.0
10:34.0, ,2-2,Defensive rebound by J. Harden,,1,2,2,0,86.0
10:16.0, ,2-4,P. George makes 2-pt jump shot from 22 ft,,1,2,4,-2,104.0
10:04.0,C. Cunningham misses 2-pt jump shot from 12 ft,2-4, ,,1,2,4,-2,116.0
10:01.0, ,2-4,Defensive rebound by I. Zubac,,1,2,4,-2,119.0
9:50.0, ,2-6,I. Zubac makes 2-pt hook shot from 2 ft (assist by J. Harden),,1,2,6,-4,130.0
9:34.0,Turnover by J. Ivey (step out of bounds),2-6, ,,1,2,6,-4,146.0
9:21.0, ,2-6,T. Mann misses 3-pt jump shot from 26 ft,,1,2,6,-4,159.0
9:17.0,Defensive rebound by J. Duren,2-6, ,,1,2,6,-4,163.0
9:15.0,Turnover by J. Duren (bad pass),2-6, ,,1,2,6,-4,165.0
9:04.0, ,2-9,J. Harden makes 3-pt jump shot from 28 ft (assist by K. Leonard),,1,2,9,-7,176.0
8:49.0,J. Ivey misses 2-pt jump shot from 7 ft,2-9, ,,1,2,9,-7,191.0
8:49.0, ,2-9,Defensive rebound by T. Mann,,1,2,9,-7,191.0
8:41.0, ,2-12,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Mann),,1,2,12,-10,199.0
8:40.0,Detroit full timeout,2-12, ,,1,2,12,-10,200.0
8:22.0,M. Muscala misses 3-pt jump shot from 25 ft,2-12, ,,1,2,12,-10,218.0
8:21.0,Offensive rebound by J. Ivey,2-12, ,,1,2,12,-10,219.0
8:20.0,A. Thompson misses 2-pt jump shot from 1 ft,2-12, ,,1,2,12,-10,220.0
8:20.0,Offensive rebound by A. Thompson,2-12, ,,1,2,12,-10,220.0
8:16.0,A. Thompson misses 2-pt jump shot from 2 ft,2-12, ,,1,2,12,-10,224.0
8:16.0,Offensive rebound by A. Thompson,2-12, ,,1,2,12,-10,224.0
8:14.0,A. Thompson makes 2-pt layup from 1 ft,4-12, ,,1,4,12,-8,226.0
7:44.0, ,4-12,J. Harden misses 3-pt jump shot from 28 ft,,1,4,12,-8,256.0
7:44.0,Defensive rebound by Team,4-12, ,,1,4,12,-8,256.0
7:32.0,J. Ivey makes 2-pt layup from 3 ft (assist by J. Duren),6-12, ,,1,6,12,-6,268.0
7:11.0,Violation by Team (kicked ball),6-12, ,,1,6,12,-6,289.0
7:11.0,S. Fontecchio enters the game for M. Muscala,6-12, ,,1,6,12,-6,289.0
7:11.0, ,6-12,R. Westbrook enters the game for J. Harden,,1,6,12,-6,289.0
7:06.0, ,6-12,P. George misses 3-pt jump shot from 26 ft,,1,6,12,-6,294.0
7:00.0,Defensive rebound by J. Duren,6-12, ,,1,6,12,-6,300.0
6:55.0,Turnover by S. Fontecchio (lost ball; steal by R. Westbrook),6-12, ,,1,6,12,-6,305.0
6:49.0, ,6-12,P. George misses 3-pt jump shot from 25 ft,,1,6,12,-6,311.0
6:45.0,Defensive rebound by J. Ivey,6-12, ,,1,6,12,-6,315.0
6:36.0,J. Ivey makes 3-pt jump shot from 26 ft,9-12, ,,1,9,12,-3,324.0
6:25.0, ,9-12,K. Leonard misses 3-pt jump shot from 26 ft,,1,9,12,-3,335.0
6:22.0,Defensive rebound by J. Ivey,9-12, ,,1,9,12,-3,338.0
6:19.0,S. Fontecchio misses 3-pt jump shot from 25 ft,9-12, ,,1,9,12,-3,341.0
6:14.0, ,9-12,Defensive rebound by K. Leonard,,1,9,12,-3,346.0
6:05.0, ,9-14,I. Zubac makes 2-pt hook shot from 3 ft (assist by K. Leonard),,1,9,14,-5,355.0
5:49.0,J. Duren makes 2-pt jump shot from 5 ft (assist by C. Cunningham),11-14, ,,1,11,14,-3,371.0
5:36.0, ,11-14,Turnover by R. Westbrook (bad pass; steal by J. Duren),,1,11,14,-3,384.0
5:30.0,C. Cunningham misses 2-pt layup from 3 ft,11-14, ,,1,11,14,-3,390.0
5:24.0, ,11-14,Defensive rebound by P. George,,1,11,14,-3,396.0
5:16.0, ,11-14,R. Westbrook misses 3-pt jump shot from 27 ft,,1,11,14,-3,404.0
5:13.0,Defensive rebound by C. Cunningham,11-14, ,,1,11,14,-3,407.0
5:08.0,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by C. Cunningham),14-14, ,Tie,1,14,14,0,412.0
5:08.0, ,14-14,LA Clippers full timeout,,1,14,14,0,412.0
5:08.0,T. Brown enters the game for A. Thompson,14-14, ,,1,14,14,0,412.0
5:08.0, ,14-14,M. Plumlee enters the game for P. George,,1,14,14,0,412.0
5:08.0, ,14-14,N. Powell enters the game for I. Zubac,,1,14,14,0,412.0
4:57.0, ,14-16,K. Leonard makes 2-pt jump shot from 17 ft,,1,14,16,-2,423.0
4:38.0,S. Fontecchio misses 3-pt jump shot from 26 ft,14-16, ,,1,14,16,-2,442.0
4:37.0, ,14-16,Defensive rebound by Team,,1,14,16,-2,443.0
4:26.0, ,14-16,Def 3 sec tech foul by Team,,1,14,16,-2,454.0
4:26.0, ,14-17,K. Leonard makes technical free throw,,1,14,17,-3,454.0
4:26.0, ,14-17,A. Coffey enters the game for T. Mann,,1,14,17,-3,454.0
4:20.0, ,14-17,K. Leonard misses 2-pt jump shot from 18 ft,,1,14,17,-3,460.0
4:17.0,Defensive rebound by S. Fontecchio,14-17, ,,1,14,17,-3,463.0
4:04.0,T. Brown makes 3-pt jump shot from 24 ft (assist by C. Cunningham),17-17, ,Tie,1,17,17,0,476.0
3:49.0, ,17-19,R. Westbrook makes 2-pt layup from 2 ft,,1,17,19,-2,491.0
3:32.0,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),19-19, ,Tie,1,19,19,0,508.0
3:22.0, ,19-22,R. Westbrook makes 3-pt jump shot from 27 ft (assist by K. Leonard),,1,19,22,-3,518.0
3:07.0,J. Ivey makes 2-pt layup at rim,21-22, ,,1,21,22,-1,533.0
3:07.0,Shooting foul by K. Leonard (drawn by J. Ivey),21-22, ,,1,21,22,-1,533.0
3:07.0,M. Sasser enters the game for C. Cunningham,21-22, ,,1,21,22,-1,533.0
3:07.0,J. Ivey makes free throw 1 of 1,22-22, ,Tie,1,22,22,0,533.0
2:56.0, ,22-22,N. Powell misses 2-pt hook shot from 5 ft,,1,22,22,0,544.0
2:53.0,Defensive rebound by S. Fontecchio,22-22, ,,1,22,22,0,547.0
2:47.0,J. Ivey misses 3-pt jump shot from 27 ft,22-22, ,,1,22,22,0,553.0
2:42.0,Offensive rebound by J. Duren,22-22, ,,1,22,22,0,558.0
2:40.0,J. Duren misses 2-pt layup from 2 ft,22-22, ,,1,22,22,0,560.0
2:37.0, ,22-22,Defensive rebound by M. Plumlee,,1,22,22,0,563.0
2:37.0, ,22-22,Shooting foul by M. Sasser (drawn by M. Plumlee),,1,22,22,0,563.0
2:37.0, ,22-23,M. Plumlee makes free throw 1 of 2,,1,22,23,-1,563.0
2:37.0,S. Milton enters the game for J. Duren,22-23, ,,1,22,23,-1,563.0
2:37.0,J. Wiseman enters the game for J. Ivey,22-23, ,,1,22,23,-1,563.0
2:37.0, ,22-24,M. Plumlee makes free throw 2 of 2,,1,22,24,-2,563.0
2:11.0,S. Fontecchio misses 2-pt jump shot from 5 ft,22-24, ,,1,22,24,-2,589.0
2:08.0,Offensive rebound by S. Fontecchio,22-24, ,,1,22,24,-2,592.0
2:08.0,S. Fontecchio misses 2-pt layup at rim,22-24, ,,1,22,24,-2,592.0
2:08.0,Offensive rebound by J. Wiseman,22-24, ,,1,22,24,-2,592.0
2:05.0,J. Wiseman misses 2-pt layup from 6 ft (block by M. Plumlee),22-24, ,,1,22,24,-2,595.0
2:02.0,Offensive rebound by S. Milton,22-24, ,,1,22,24,-2,598.0
2:00.0,S. Milton misses 2-pt jump shot from 4 ft,22-24, ,,1,22,24,-2,600.0
1:58.0,Offensive rebound by J. Wiseman,22-24, ,,1,22,24,-2,602.0
1:57.0,J. Wiseman makes 2-pt layup from 1 ft,24-24, ,Tie,1,24,24,0,603.0
1:47.0, ,24-24,K. Leonard misses 2-pt jump shot from 12 ft,,1,24,24,0,613.0
1:45.0,Defensive rebound by J. Wiseman,24-24, ,,1,24,24,0,615.0
1:36.0,Turnover by M. Sasser (bad pass; steal by K. Leonard),24-24, ,,1,24,24,0,624.0
1:32.0, ,24-26,K. Leonard makes 2-pt dunk from 4 ft,,1,24,26,-2,628.0
1:19.0,T. Brown makes 3-pt jump shot from 26 ft (assist by J. Wiseman),27-26, ,Lead change,1,27,26,1,641.0
1:05.0, ,27-28,R. Westbrook makes 2-pt jump shot from 12 ft,Lead change,1,27,28,-1,655.0
0:38.0,S. Fontecchio misses 3-pt jump shot from 24 ft,27-28, ,,1,27,28,-1,682.0
0:35.0, ,27-28,Defensive rebound by M. Plumlee,,1,27,28,-1,685.0
0:31.0, ,27-31,K. Leonard makes 3-pt jump shot from 27 ft,,1,27,31,-4,689.0
0:11.0,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by M. Sasser),30-31, ,,1,30,31,-1,709.0
0:02.0, ,30-31,A. Coffey misses 3-pt jump shot from 25 ft,,1,30,31,-1,718.0
0:00.0,Defensive rebound by T. Brown,30-31, ,,1,30,31,-1,720.0
0:00.0,End of 1st quarter,30-31,,,1,30,31,-1,720.0
12:00.0,Start of 2nd quarter,30-31,,,2,30,31,-1,720.0
11:49.0, ,30-31,Offensive foul by M. Plumlee (drawn by S. Milton),,2,30,31,-1,731.0
11:49.0, ,30-31,Turnover by M. Plumlee (offensive foul),,2,30,31,-1,731.0
11:29.0,Turnover by M. Sasser (bad pass; steal by A. Coffey),30-31, ,,2,30,31,-1,751.0
11:26.0, ,30-31,Turnover by J. Harden (bad pass; steal by S. Milton),,2,30,31,-1,754.0
11:20.0,S. Milton makes 2-pt jump shot from 15 ft (assist by T. Brown),32-31, ,Lead change,2,32,31,1,760.0
11:01.0, ,32-33,A. Coffey makes 2-pt jump shot from 16 ft (assist by J. Harden),Lead change,2,32,33,-1,779.0
10:46.0,S. Fontecchio misses 2-pt layup from 2 ft,32-33, ,,2,32,33,-1,794.0
10:41.0,Offensive rebound by S. Fontecchio,32-33, ,,2,32,33,-1,799.0
10:41.0,S. Fontecchio makes 2-pt layup at rim,34-33, ,Lead change,2,34,33,1,799.0
10:26.0, ,34-33,M. Plumlee misses 2-pt hook shot from 5 ft,,2,34,33,1,814.0
10:24.0,Defensive rebound by M. Sasser,34-33, ,,2,34,33,1,816.0
10:20.0,S. Fontecchio makes 2-pt dunk from 2 ft (assist by M. Sasser),36-33, ,,2,36,33,3,820.0
10:01.0, ,36-35,M. Plumlee makes 2-pt dunk from 4 ft (assist by R. Westbrook),,2,36,35,1,839.0
9:53.0,Personal foul by N. Powell (drawn by S. Fontecchio),36-35, ,,2,36,35,1,847.0
9:53.0,A. Thompson enters the game for T. Brown,36-35, ,,2,36,35,1,847.0
9:53.0, ,36-35,P. George enters the game for R. Westbrook,,2,36,35,1,847.0
9:42.0,A. Thompson misses 3-pt jump shot from 24 ft,36-35, ,,2,36,35,1,858.0
9:39.0, ,36-35,Defensive rebound by N. Powell,,2,36,35,1,861.0
9:24.0, ,36-35,Turnover by J. Harden (lost ball; steal by M. Sasser),,2,36,35,1,876.0
9:20.0,M. Sasser makes 2-pt layup from 1 ft,38-35, ,,2,38,35,3,880.0
9:03.0, ,38-35,P. George misses 3-pt jump shot from 25 ft,,2,38,35,3,897.0
9:00.0,Defensive rebound by S. Milton,38-35, ,,2,38,35,3,900.0
