Time,Detroit,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. A. Davis (L. James gains possession),0-0,,,1,0,0,0,0.0
11:49.0, ,0-0,Shooting foul by A. Thompson (drawn by R. Hachimura),,1,0,0,0,11.0
11:49.0, ,0-0,R. Hachimura misses free throw 1 of 2,,1,0,0,0,11.0
11:49.0, ,0-0,Offensive rebound by Team,,1,0,0,0,11.0
11:49.0, ,0-1,R. Hachimura makes free throw 2 of 2,,1,0,1,-1,11.0
11:31.0,A. Thompson makes 2-pt layup from 1 ft (assist by S. Fontecchio),2-1, ,Lead change,1,2,1,1,29.0
11:14.0, ,2-1,D. Russell misses 2-pt jump shot from 6 ft,,1,2,1,1,46.0
11:11.0,Defensive rebound by C. Cunningham,2-1, ,,1,2,1,1,49.0
11:02.0,J. Ivey misses 3-pt jump shot from 23 ft,2-1, ,,1,2,1,1,58.0
10:58.0, ,2-1,Defensive rebound by R. Hachimura,,1,2,1,1,62.0
10:47.0, ,2-3,R. Hachimura makes 2-pt layup from 4 ft,Lead change,1,2,3,-1,73.0
10:23.0,Turnover by A. Thompson (off goaltending),2-3, ,,1,2,3,-1,97.0
10:02.0, ,2-3,A. Davis misses 2-pt hook shot from 5 ft,,1,2,3,-1,118.0
10:00.0,Defensive rebound by J. Duren,2-3, ,,1,2,3,-1,120.0
9:56.0,Offensive foul by J. Duren (drawn by A. Reaves),2-3, ,,1,2,3,-1,124.0
9:56.0,Turnover by J. Duren (offensive foul),2-3, ,,1,2,3,-1,124.0
9:44.0, ,2-3,Turnover by L. James (out of bounds lost ball),,1,2,3,-1,136.0
9:34.0,J. Ivey misses 2-pt jump shot from 6 ft (block by A. Davis),2-3, ,,1,2,3,-1,146.0
9:29.0,Offensive rebound by C. Cunningham,2-3, ,,1,2,3,-1,151.0
9:27.0,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),4-3, ,Lead change,1,4,3,1,153.0
9:15.0, ,4-6,D. Russell makes 3-pt jump shot from 24 ft (assist by A. Reaves),Lead change,1,4,6,-2,165.0
8:57.0,J. Ivey misses 3-pt jump shot from 26 ft,4-6, ,,1,4,6,-2,183.0
8:57.0, ,4-6,Defensive rebound by A. Reaves,,1,4,6,-2,183.0
8:38.0, ,4-6,Turnover by L. James (lost ball; steal by J. Duren),,1,4,6,-2,202.0
8:32.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),6-6, ,Tie,1,6,6,0,208.0
8:29.0, ,6-6,A. Davis misses 2-pt layup from 3 ft (block by J. Ivey),,1,6,6,0,211.0
8:29.0, ,6-6,Offensive rebound by Team,,1,6,6,0,211.0
8:26.0, ,6-6,L. James misses 3-pt jump shot from 27 ft,,1,6,6,0,214.0
8:23.0,Defensive rebound by J. Duren,6-6, ,,1,6,6,0,217.0
8:15.0,C. Cunningham misses 2-pt jump shot from 14 ft,6-6, ,,1,6,6,0,225.0
8:11.0, ,6-6,Defensive rebound by A. Davis,,1,6,6,0,229.0
8:09.0, ,6-8,R. Hachimura makes 2-pt dunk from 2 ft,,1,6,8,-2,231.0
7:53.0,S. Fontecchio misses 2-pt jump shot from 6 ft,6-8, ,,1,6,8,-2,247.0
7:51.0, ,6-8,Defensive rebound by Team,,1,6,8,-2,249.0
7:39.0, ,6-10,R. Hachimura makes 2-pt layup from 1 ft (assist by D. Russell),,1,6,10,-4,261.0
7:14.0,C. Cunningham misses 2-pt jump shot from 15 ft,6-10, ,,1,6,10,-4,286.0
7:12.0, ,6-10,Defensive rebound by A. Davis,,1,6,10,-4,288.0
7:06.0, ,6-12,L. James makes 2-pt layup from 2 ft (assist by A. Davis),,1,6,12,-6,294.0
7:06.0,Detroit full timeout,6-12, ,,1,6,12,-6,294.0
6:54.0,A. Thompson makes 3-pt jump shot from 24 ft (assist by J. Ivey),9-12, ,,1,9,12,-3,306.0
6:37.0, ,9-15,A. Reaves makes 3-pt jump shot from 24 ft (assist by L. James),,1,9,15,-6,323.0
6:24.0,J. Ivey misses 2-pt jump shot from 3 ft (block by D. Russell),9-15, ,,1,9,15,-6,336.0
6:21.0, ,9-15,Defensive rebound by A. Reaves,,1,9,15,-6,339.0
6:20.0, ,9-17,L. James makes 2-pt dunk from 1 ft (assist by A. Reaves),,1,9,17,-8,340.0
6:04.0,J. Duren misses 2-pt layup from 4 ft (block by A. Davis),9-17, ,,1,9,17,-8,356.0
6:01.0,Offensive rebound by J. Duren,9-17, ,,1,9,17,-8,359.0
5:57.0,J. Duren misses 2-pt hook shot from 4 ft,9-17, ,,1,9,17,-8,363.0
5:56.0, ,9-17,Defensive rebound by A. Davis,,1,9,17,-8,364.0
5:53.0, ,9-19,A. Reaves makes 2-pt layup from 2 ft (assist by L. James),,1,9,19,-10,367.0
5:40.0,C. Cunningham makes 2-pt jump shot from 15 ft,11-19, ,,1,11,19,-8,380.0
5:24.0, ,11-19,Personal foul by A. Thompson (drawn by A. Davis),,1,11,19,-8,396.0
5:24.0,T. Brown enters the game for J. Ivey,11-19, ,,1,11,19,-8,396.0
5:24.0,E. Fournier enters the game for A. Thompson,11-19, ,,1,11,19,-8,396.0
