Time,Detroit,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. M. Turner (B. Mathurin gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-3,P. Siakam makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,1,0,3,-3,19.0
11:24.0,Turnover by J. Duren (bad pass; steal by M. Turner),0-3, ,,1,0,3,-3,36.0
11:20.0, ,0-5,P. Siakam makes 2-pt layup from 2 ft (assist by T. Haliburton),,1,0,5,-5,40.0
11:07.0,Turnover by J. Ivey (bad pass; steal by T. Haliburton),0-5, ,,1,0,5,-5,53.0
10:56.0, ,0-7,M. Turner makes 2-pt jump shot from 14 ft (assist by T. Haliburton),,1,0,7,-7,64.0
10:40.0,C. Cunningham makes 2-pt jump shot from 10 ft,2-7, ,,1,2,7,-5,80.0
10:19.0, ,2-7,A. Nembhard misses 3-pt jump shot from 24 ft,,1,2,7,-5,101.0
10:16.0, ,2-7,Offensive rebound by M. Turner,,1,2,7,-5,104.0
10:04.0, ,2-7,Turnover by B. Mathurin (bad pass),,1,2,7,-5,116.0
9:57.0,J. Ivey misses 2-pt jump shot from 14 ft (block by M. Turner),2-7, ,,1,2,7,-5,123.0
9:56.0, ,2-7,Defensive rebound by T. Haliburton,,1,2,7,-5,124.0
9:49.0, ,2-7,P. Siakam misses 2-pt jump shot from 12 ft,,1,2,7,-5,131.0
9:44.0,Defensive rebound by C. Cunningham,2-7, ,,1,2,7,-5,136.0
9:33.0,A. Thompson makes 2-pt dunk from 2 ft (assist by J. Duren),4-7, ,,1,4,7,-3,147.0
9:20.0, ,4-9,M. Turner makes 2-pt layup from 1 ft (assist by A. Nembhard),,1,4,9,-5,160.0
9:07.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),6-9, ,,1,6,9,-3,173.0
8:50.0, ,6-11,M. Turner makes 2-pt layup from 2 ft (assist by T. Haliburton),,1,6,11,-5,190.0
8:34.0,S. Fontecchio makes 2-pt layup from 7 ft,8-11, ,,1,8,11,-3,206.0
8:24.0, ,8-11,M. Turner misses 3-pt jump shot from 27 ft,,1,8,11,-3,216.0
8:20.0,Defensive rebound by A. Thompson,8-11, ,,1,8,11,-3,220.0
8:13.0,J. Duren misses 2-pt jump shot from 10 ft,8-11, ,,1,8,11,-3,227.0
8:10.0,Offensive rebound by A. Thompson,8-11, ,,1,8,11,-3,230.0
8:10.0,A. Thompson misses 2-pt layup at rim,8-11, ,,1,8,11,-3,230.0
8:09.0,A. Thompson makes 2-pt layup at rim,10-11, ,,1,10,11,-1,231.0
7:54.0, ,10-11,M. Turner misses 2-pt jump shot from 12 ft,,1,10,11,-1,246.0
7:51.0,Defensive rebound by C. Cunningham,10-11, ,,1,10,11,-1,249.0
7:35.0,A. Thompson makes 2-pt jump shot from 15 ft,12-11, ,Lead change,1,12,11,1,265.0
7:34.0, ,12-11,Indiana full timeout,,1,12,11,1,266.0
7:15.0, ,12-13,A. Nembhard makes 2-pt layup from 1 ft,Lead change,1,12,13,-1,285.0
6:56.0,C. Cunningham makes 2-pt layup from 4 ft,14-13, ,Lead change,1,14,13,1,304.0
6:42.0, ,14-13,B. Mathurin misses 3-pt jump shot from 25 ft,,1,14,13,1,318.0
6:40.0,Defensive rebound by J. Duren,14-13, ,,1,14,13,1,320.0
6:29.0,S. Fontecchio misses 3-pt jump shot from 27 ft,14-13, ,,1,14,13,1,331.0
