Time,Brooklyn,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. J. Duren (I. Stewart gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,Turnover by I. Stewart (3 sec),,1,0,0,0,19.0
11:20.0,D. Smith misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,40.0
11:17.0, ,0-0,Defensive rebound by I. Stewart,,1,0,0,0,43.0
10:56.0, ,0-2,J. Ivey makes 2-pt dunk from 3 ft (assist by J. Duren),,1,2,0,2,64.0
10:34.0,Turnover by D. Schröder (bad pass; steal by J. Duren),0-2, ,,1,2,0,2,86.0
10:31.0, ,0-2,Turnover by C. Cunningham (bad pass),,1,2,0,2,89.0
10:12.0,M. Bridges misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,108.0
10:09.0, ,0-2,Defensive rebound by C. Cunningham,,1,2,0,2,111.0
9:55.0, ,0-2,J. Ivey misses 2-pt layup from 3 ft,,1,2,0,2,125.0
9:52.0, ,0-2,Offensive rebound by J. Duren,,1,2,0,2,128.0
9:52.0, ,0-4,J. Duren makes 2-pt dunk from 2 ft,,1,4,0,4,128.0
9:41.0,Personal foul by J. Ivey (drawn by N. Claxton),0-4, ,,1,4,0,4,139.0
9:27.0,D. Smith misses 2-pt layup from 3 ft,0-4, ,,1,4,0,4,153.0
9:24.0, ,0-4,Defensive rebound by J. Duren,,1,4,0,4,156.0
9:10.0, ,0-4,J. Ivey misses 3-pt jump shot from 27 ft,,1,4,0,4,170.0
9:07.0,Defensive rebound by N. Claxton,0-4, ,,1,4,0,4,173.0
9:02.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,0-4, ,,1,4,0,4,178.0
8:57.0, ,0-4,Defensive rebound by I. Stewart,,1,4,0,4,183.0
8:48.0, ,0-6,J. Duren makes 2-pt layup from 4 ft (assist by C. Cunningham),,1,6,0,6,192.0
8:23.0,N. Claxton misses 2-pt hook shot from 8 ft,0-6, ,,1,6,0,6,217.0
8:20.0, ,0-6,Defensive rebound by A. Thompson,,1,6,0,6,220.0
8:20.0, ,0-6,Personal foul by D. Smith (drawn by A. Thompson),,1,6,0,6,220.0
8:20.0,L. Walker enters the game for D. Smith,0-6, ,,1,6,0,6,220.0
8:13.0, ,0-8,C. Cunningham makes 2-pt layup from 3 ft,,1,8,0,8,227.0
8:12.0,Brooklyn full timeout,0-8, ,,1,8,0,8,228.0
8:04.0,D. Schröder misses 2-pt layup from 4 ft (block by A. Thompson),0-8, ,,1,8,0,8,236.0
8:04.0,Offensive rebound by Team,0-8, ,,1,8,0,8,236.0
7:55.0,Turnover by D. Finney-Smith (lost ball; steal by J. Duren),0-8, ,,1,8,0,8,245.0
7:47.0, ,0-11,J. Ivey makes 3-pt jump shot from 23 ft (assist by C. Cunningham),,1,11,0,11,253.0
7:33.0,L. Walker makes 3-pt jump shot from 27 ft (assist by M. Bridges),3-11, ,,1,11,3,8,267.0
7:10.0, ,3-13,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,13,3,10,290.0
7:03.0,L. Walker misses 3-pt jump shot from 26 ft,3-13, ,,1,13,3,10,297.0
6:59.0, ,3-13,Defensive rebound by J. Duren,,1,13,3,10,301.0
6:45.0, ,3-13,Turnover by J. Duren (traveling),,1,13,3,10,315.0
6:45.0,K. Bates-Diop enters the game for N. Claxton,3-13, ,,1,13,3,10,315.0
6:33.0,D. Schröder makes 3-pt jump shot from 28 ft (assist by K. Bates-Diop),6-13, ,,1,13,6,7,327.0
6:20.0, ,6-13,Offensive foul by J. Duren (drawn by L. Walker),,1,13,6,7,340.0
6:20.0, ,6-13,Turnover by J. Duren (offensive foul),,1,13,6,7,340.0
6:06.0,Turnover by M. Bridges (bad pass),6-13, ,,1,13,6,7,354.0
5:50.0, ,6-13,Personal foul by D. Finney-Smith (drawn by I. Stewart),,1,13,6,7,370.0
5:50.0,J. Wilson enters the game for D. Finney-Smith,6-13, ,,1,13,6,7,370.0
5:42.0, ,6-15,J. Ivey makes 2-pt layup from 2 ft,,1,15,6,9,378.0
5:24.0,K. Bates-Diop misses 2-pt hook shot from 4 ft,6-15, ,,1,15,6,9,396.0
5:22.0, ,6-15,Defensive rebound by A. Thompson,,1,15,6,9,398.0
5:14.0, ,6-17,A. Thompson makes 2-pt dunk from 1 ft,,1,17,6,11,406.0
5:07.0,Personal foul by J. Duren (drawn by D. Schröder),6-17, ,,1,17,6,11,413.0
5:07.0,D. Smith enters the game for D. Schröder,6-17, ,,1,17,6,11,413.0
5:07.0,T. Watford enters the game for L. Walker,6-17, ,,1,17,6,11,413.0
5:07.0, ,6-17,S. Fontecchio enters the game for J. Duren,,1,17,6,11,413.0
4:51.0,M. Bridges misses 3-pt jump shot from 25 ft,6-17, ,,1,17,6,11,429.0
4:49.0, ,6-17,Defensive rebound by C. Cunningham,,1,17,6,11,431.0
4:45.0, ,6-17,Turnover by C. Cunningham (bad pass; steal by K. Bates-Diop),,1,17,6,11,435.0
4:39.0,T. Watford misses 2-pt layup from 3 ft,6-17, ,,1,17,6,11,441.0
4:35.0,Offensive rebound by K. Bates-Diop,6-17, ,,1,17,6,11,445.0
4:35.0,K. Bates-Diop makes 2-pt layup at rim,8-17, ,,1,17,8,9,445.0
4:19.0, ,8-20,C. Cunningham makes 3-pt jump shot from 26 ft,,1,20,8,12,461.0
4:00.0,Turnover by J. Wilson (traveling),8-20, ,,1,20,8,12,480.0
3:50.0, ,8-20,Shooting foul by D. Smith (drawn by C. Cunningham),,1,20,8,12,490.0
3:50.0, ,8-21,C. Cunningham makes free throw 1 of 2,,1,21,8,13,490.0
3:50.0, ,8-21,E. Fournier enters the game for A. Thompson,,1,21,8,13,490.0
3:50.0, ,8-22,C. Cunningham makes free throw 2 of 2,,1,22,8,14,490.0
3:34.0,J. Wilson misses 3-pt jump shot from 24 ft,8-22, ,,1,22,8,14,506.0
3:29.0, ,8-22,Defensive rebound by J. Ivey,,1,22,8,14,511.0
3:23.0, ,8-22,I. Stewart misses 3-pt jump shot from 26 ft,,1,22,8,14,517.0
3:21.0,Defensive rebound by K. Bates-Diop,8-22, ,,1,22,8,14,519.0
3:10.0,K. Bates-Diop misses 2-pt layup from 3 ft,8-22, ,,1,22,8,14,530.0
3:07.0, ,8-22,Defensive rebound by S. Fontecchio,,1,22,8,14,533.0
2:58.0, ,8-24,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,24,8,16,542.0
2:43.0,J. Wilson misses 3-pt jump shot from 25 ft,8-24, ,,1,24,8,16,557.0
2:40.0, ,8-24,Defensive rebound by I. Stewart,,1,24,8,16,560.0
2:38.0, ,8-24,Detroit full timeout,,1,24,8,16,562.0
2:38.0,N. Claxton enters the game for K. Bates-Diop,8-24, ,,1,24,8,16,562.0
2:38.0,D. Schröder enters the game for J. Wilson,8-24, ,,1,24,8,16,562.0
2:38.0, ,8-24,M. Sasser enters the game for C. Cunningham,,1,24,8,16,562.0
2:38.0, ,8-24,J. Wiseman enters the game for I. Stewart,,1,24,8,16,562.0
2:20.0, ,8-24,J. Ivey misses 3-pt jump shot from 26 ft,,1,24,8,16,580.0
2:16.0,Defensive rebound by D. Smith,8-24, ,,1,24,8,16,584.0
2:14.0,Turnover by T. Watford (traveling),8-24, ,,1,24,8,16,586.0
2:14.0, ,8-24,A. Thompson enters the game for J. Ivey,,1,24,8,16,586.0
1:55.0, ,8-24,J. Wiseman misses 2-pt jump shot from 5 ft,,1,24,8,16,605.0
1:53.0,Defensive rebound by N. Claxton,8-24, ,,1,24,8,16,607.0
1:44.0,Turnover by T. Watford (traveling),8-24, ,,1,24,8,16,616.0
1:34.0, ,8-26,E. Fournier makes 2-pt jump shot from 5 ft (assist by M. Sasser),,1,26,8,18,626.0
1:20.0,M. Bridges makes 3-pt jump shot from 28 ft,11-26, ,,1,26,11,15,640.0
1:06.0, ,11-26,E. Fournier misses 3-pt jump shot from 26 ft,,1,26,11,15,654.0
1:02.0,Defensive rebound by N. Claxton,11-26, ,,1,26,11,15,658.0
0:50.0,D. Smith makes 3-pt jump shot from 24 ft (assist by M. Bridges),14-26, ,,1,26,14,12,670.0
0:50.0,D. Finney-Smith enters the game for M. Bridges,14-26, ,,1,26,14,12,670.0
0:50.0,Shooting foul by A. Thompson (drawn by N. Claxton),14-26, ,,1,26,14,12,670.0
