Time,Miami,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Duren (N. Jović gains possession),0-0,,,1,0,0,0,0.0
11:45.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Robinson),2-0, ,,1,0,2,-2,15.0
11:31.0, ,2-2,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),Tie,1,2,2,0,29.0
11:12.0,T. Rozier misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,48.0
11:09.0, ,2-2,Defensive rebound by I. Stewart,,1,2,2,0,51.0
11:00.0, ,2-2,C. Cunningham misses 3-pt jump shot from 26 ft,,1,2,2,0,60.0
10:56.0,Defensive rebound by B. Adebayo,2-2, ,,1,2,2,0,64.0
10:41.0,D. Robinson makes 2-pt layup from 1 ft,4-2, ,,1,2,4,-2,79.0
10:29.0, ,4-2,Turnover by J. Duren (bad pass; steal by T. Rozier),,1,2,4,-2,91.0
10:25.0,T. Rozier makes 2-pt layup from 2 ft,6-2, ,,1,2,6,-4,95.0
10:12.0, ,6-2,Turnover by J. Duren (lost ball; steal by N. Jović),,1,2,6,-4,108.0
10:06.0,N. Jović makes 3-pt jump shot from 25 ft (assist by D. Robinson),9-2, ,,1,2,9,-7,114.0
9:50.0, ,9-2,C. Cunningham misses 3-pt jump shot from 28 ft,,1,2,9,-7,130.0
9:48.0,Defensive rebound by Team,9-2, ,,1,2,9,-7,132.0
9:35.0,D. Robinson misses 3-pt jump shot from 30 ft,9-2, ,,1,2,9,-7,145.0
9:31.0, ,9-2,Defensive rebound by J. Duren,,1,2,9,-7,149.0
9:29.0, ,9-2,Shooting foul by T. Rozier (drawn by J. Ivey),,1,2,9,-7,151.0
9:29.0, ,9-3,J. Ivey makes free throw 1 of 2,,1,3,9,-6,151.0
9:29.0, ,9-4,J. Ivey makes free throw 2 of 2,,1,4,9,-5,151.0
9:12.0,J. Butler makes 2-pt jump shot from 17 ft,11-4, ,,1,4,11,-7,168.0
8:54.0, ,11-4,Turnover by C. Cunningham (bad pass; steal by J. Butler),,1,4,11,-7,186.0
8:50.0,J. Butler misses 2-pt layup from 6 ft,11-4, ,,1,4,11,-7,190.0
8:47.0, ,11-4,Defensive rebound by J. Ivey,,1,4,11,-7,193.0
8:44.0, ,11-4,S. Fontecchio misses 2-pt layup from 5 ft (block by D. Robinson),,1,4,11,-7,196.0
8:44.0, ,11-4,Offensive rebound by J. Duren,,1,4,11,-7,196.0
8:43.0, ,11-4,Shooting foul by N. Jović (drawn by J. Duren),,1,4,11,-7,197.0
8:43.0, ,11-4,J. Duren misses free throw 1 of 2,,1,4,11,-7,197.0
8:43.0, ,11-4,Offensive rebound by Team,,1,4,11,-7,197.0
8:43.0, ,11-5,J. Duren makes free throw 2 of 2,,1,5,11,-6,197.0
8:32.0,N. Jović misses 3-pt jump shot from 26 ft,11-5, ,,1,5,11,-6,208.0
8:28.0, ,11-5,Defensive rebound by I. Stewart,,1,5,11,-6,212.0
8:23.0, ,11-5,C. Cunningham misses 2-pt jump shot from 6 ft,,1,5,11,-6,217.0
8:20.0,Defensive rebound by N. Jović,11-5, ,,1,5,11,-6,220.0
8:16.0,J. Butler misses 3-pt jump shot from 23 ft,11-5, ,,1,5,11,-6,224.0
8:13.0, ,11-5,Defensive rebound by J. Ivey,,1,5,11,-6,227.0
8:08.0, ,11-7,J. Duren makes 2-pt dunk from 4 ft (assist by J. Ivey),,1,7,11,-4,232.0
7:52.0,B. Adebayo misses 2-pt jump shot from 14 ft,11-7, ,,1,7,11,-4,248.0
7:49.0, ,11-7,Defensive rebound by J. Duren,,1,7,11,-4,251.0
7:42.0, ,11-7,S. Fontecchio misses 2-pt jump shot from 6 ft (block by B. Adebayo),,1,7,11,-4,258.0
7:38.0,Defensive rebound by B. Adebayo,11-7, ,,1,7,11,-4,262.0
7:30.0,J. Butler makes 2-pt hook shot from 4 ft,13-7, ,,1,7,13,-6,270.0
7:30.0,Shooting foul by J. Ivey (drawn by J. Butler),13-7, ,,1,7,13,-6,270.0
7:30.0,J. Butler makes free throw 1 of 1,14-7, ,,1,7,14,-7,270.0
7:08.0, ,14-10,S. Fontecchio makes 3-pt jump shot from 24 ft (assist by J. Ivey),,1,10,14,-4,292.0
6:54.0,J. Butler misses 2-pt jump shot from 4 ft,14-10, ,,1,10,14,-4,306.0
6:52.0, ,14-10,Defensive rebound by C. Cunningham,,1,10,14,-4,308.0
6:48.0, ,14-10,S. Fontecchio misses 3-pt jump shot from 26 ft,,1,10,14,-4,312.0
6:44.0, ,14-10,Offensive rebound by C. Cunningham,,1,10,14,-4,316.0
6:37.0, ,14-10,J. Duren misses 2-pt jump shot from 8 ft,,1,10,14,-4,323.0
6:34.0,Defensive rebound by N. Jović,14-10, ,,1,10,14,-4,326.0
