Time,Indiana,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. J. Duren (P. Siakam gains possession),0-0,,,1,0,0,0,0.0
11:41.0,M. Turner misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,19.0
11:38.0, ,0-0,Defensive rebound by C. Cunningham,,1,0,0,0,22.0
11:24.0, ,0-2,C. Cunningham makes 2-pt jump shot from 10 ft,,1,2,0,2,36.0
11:08.0,A. Nesmith misses 3-pt jump shot from 26 ft,0-2, ,,1,2,0,2,52.0
11:05.0, ,0-2,Defensive rebound by J. Ivey,,1,2,0,2,55.0
10:58.0, ,0-4,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Ivey),,1,4,0,4,62.0
10:49.0,A. Nembhard makes 2-pt layup from 2 ft,2-4, ,,1,4,2,2,71.0
10:31.0, ,2-4,T. Evbuomwan misses 3-pt jump shot from 26 ft,,1,4,2,2,89.0
10:29.0,Defensive rebound by M. Turner,2-4, ,,1,4,2,2,91.0
10:22.0,A. Nembhard misses 2-pt jump shot from 15 ft,2-4, ,,1,4,2,2,98.0
10:19.0, ,2-4,Defensive rebound by J. Duren,,1,4,2,2,101.0
10:10.0, ,2-6,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),,1,6,2,4,110.0
9:56.0,Turnover by T. Haliburton (bad pass; steal by J. Duren),2-6, ,,1,6,2,4,124.0
9:44.0, ,2-6,C. Cunningham misses 2-pt jump shot from 7 ft,,1,6,2,4,136.0
9:41.0,Defensive rebound by M. Turner,2-6, ,,1,6,2,4,139.0
9:37.0,M. Turner misses 3-pt jump shot from 27 ft,2-6, ,,1,6,2,4,143.0
9:34.0, ,2-6,Defensive rebound by C. Cunningham,,1,6,2,4,146.0
9:27.0, ,2-8,T. Evbuomwan makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,8,2,6,153.0
9:10.0,T. Haliburton misses 2-pt jump shot from 19 ft,2-8, ,,1,8,2,6,170.0
