Time,Detroit,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. R. Gobert (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:43.0,M. Sasser misses 2-pt jump shot from 19 ft,0-0, ,,1,0,0,0,17.0
11:39.0,Offensive rebound by T. Evbuomwan,0-0, ,,1,0,0,0,21.0
11:37.0,C. Cunningham misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,23.0
11:35.0, ,0-0,Defensive rebound by R. Gobert,,1,0,0,0,25.0
11:18.0, ,0-2,M. Conley makes 2-pt jump shot from 10 ft,,1,0,2,-2,42.0
10:56.0,J. Duren makes 2-pt layup from 4 ft (assist by C. Metu),2-2, ,Tie,1,2,2,0,64.0
10:43.0, ,2-2,Turnover by R. Gobert (bad pass; steal by M. Sasser),,1,2,2,0,77.0
10:38.0,Shooting foul by J. McDaniels (drawn by T. Evbuomwan),2-2, ,,1,2,2,0,82.0
10:38.0,T. Evbuomwan misses free throw 1 of 2,2-2, ,,1,2,2,0,82.0
10:38.0,Offensive rebound by Team,2-2, ,,1,2,2,0,82.0
10:38.0,T. Evbuomwan misses free throw 2 of 2,2-2, ,,1,2,2,0,82.0
10:36.0, ,2-2,Defensive rebound by R. Gobert,,1,2,2,0,84.0
10:28.0, ,2-4,J. McDaniels makes 2-pt dunk from 2 ft (assist by N. Reid),,1,2,4,-2,92.0
10:16.0,C. Cunningham makes 2-pt jump shot from 13 ft,4-4, ,Tie,1,4,4,0,104.0
9:57.0, ,4-4,Shooting foul by M. Sasser (drawn by M. Conley),,1,4,4,0,123.0
9:57.0, ,4-5,M. Conley makes free throw 1 of 2,,1,4,5,-1,123.0
9:57.0, ,4-6,M. Conley makes free throw 2 of 2,,1,4,6,-2,123.0
9:43.0,C. Cunningham misses 2-pt jump shot from 17 ft (block by R. Gobert),4-6, ,,1,4,6,-2,137.0
9:41.0, ,4-6,Defensive rebound by N. Reid,,1,4,6,-2,139.0
9:35.0, ,4-8,N. Reid makes 2-pt layup from 1 ft (assist by M. Conley),,1,4,8,-4,145.0
9:18.0,C. Cunningham makes 2-pt jump shot from 14 ft,6-8, ,,1,6,8,-2,162.0
9:00.0, ,6-10,N. Reid makes 2-pt layup from 3 ft (assist by A. Edwards),,1,6,10,-4,180.0
8:50.0,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Duren),9-10, ,,1,9,10,-1,190.0
8:22.0, ,9-10,Turnover by A. Edwards (bad pass),,1,9,10,-1,218.0
8:05.0,J. Duren makes 2-pt layup from 3 ft (assist by M. Sasser),11-10, ,Lead change,1,11,10,1,235.0
7:44.0, ,11-10,A. Edwards misses 2-pt jump shot from 17 ft,,1,11,10,1,256.0
7:42.0, ,11-10,Offensive rebound by R. Gobert,,1,11,10,1,258.0
7:39.0, ,11-12,N. Reid makes 2-pt dunk from 2 ft (assist by R. Gobert),Lead change,1,11,12,-1,261.0
7:20.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Duren),14-12, ,Lead change,1,14,12,2,280.0
6:58.0, ,14-15,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),Lead change,1,14,15,-1,302.0
6:49.0,Turnover by J. Duren (back court),14-15, ,,1,14,15,-1,311.0
6:49.0, ,14-15,Minnesota full timeout,,1,14,15,-1,311.0
6:33.0, ,14-17,A. Edwards makes 2-pt jump shot from 10 ft,,1,14,17,-3,327.0
6:17.0,Shooting foul by R. Gobert (drawn by J. Duren),14-17, ,,1,14,17,-3,343.0
