Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. M. Bagley (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:44.0,T. Brown makes 3-pt jump shot from 26 ft (assist by C. Cunningham),3-0, ,,1,3,0,3,16.0
11:28.0, ,3-0,J. Poole misses 2-pt jump shot from 12 ft,,1,3,0,3,32.0
11:24.0,Defensive rebound by J. Duren,3-0, ,,1,3,0,3,36.0
11:04.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by T. Evbuomwan),6-0, ,,1,6,0,6,56.0
10:48.0, ,6-2,D. Avdija makes 2-pt layup from 3 ft,,1,6,2,4,72.0
10:42.0,C. Cunningham makes 2-pt layup from 3 ft,8-2, ,,1,8,2,6,78.0
10:42.0,Shooting foul by K. Kuzma (drawn by C. Cunningham),8-2, ,,1,8,2,6,78.0
10:42.0,C. Cunningham makes free throw 1 of 1,9-2, ,,1,9,2,7,78.0
10:29.0, ,9-4,C. Kispert makes 2-pt jump shot from 16 ft (assist by J. Poole),,1,9,4,5,91.0
10:12.0,C. Cunningham misses 2-pt layup from 7 ft,9-4, ,,1,9,4,5,108.0
10:12.0,Offensive rebound by Team,9-4, ,,1,9,4,5,108.0
10:06.0,J. Ivey misses 2-pt jump shot from 11 ft,9-4, ,,1,9,4,5,114.0
10:02.0, ,9-4,Defensive rebound by K. Kuzma,,1,9,4,5,118.0
9:50.0, ,9-4,D. Avdija misses 2-pt layup from 6 ft (block by J. Duren),,1,9,4,5,130.0
9:46.0,Defensive rebound by T. Brown,9-4, ,,1,9,4,5,134.0
9:38.0,C. Cunningham misses 2-pt jump shot from 13 ft,9-4, ,,1,9,4,5,142.0
9:35.0, ,9-4,Defensive rebound by K. Kuzma,,1,9,4,5,145.0
9:27.0, ,9-4,K. Kuzma misses 2-pt jump shot from 12 ft,,1,9,4,5,153.0
9:24.0,Defensive rebound by T. Evbuomwan,9-4, ,,1,9,4,5,156.0
9:14.0,T. Brown misses 3-pt jump shot from 26 ft,9-4, ,,1,9,4,5,166.0
9:12.0,Offensive rebound by J. Duren,9-4, ,,1,9,4,5,168.0
9:05.0,T. Evbuomwan makes 2-pt jump shot from 2 ft (assist by J. Duren),11-4, ,,1,11,4,7,175.0
8:55.0, ,11-6,J. Poole makes 2-pt jump shot from 19 ft,,1,11,6,5,185.0
8:34.0,C. Cunningham misses 2-pt jump shot from 15 ft,11-6, ,,1,11,6,5,206.0
8:32.0, ,11-6,Defensive rebound by K. Kuzma,,1,11,6,5,208.0
8:24.0, ,11-6,Turnover by K. Kuzma (bad pass; steal by J. Duren),,1,11,6,5,216.0
8:20.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),13-6, ,,1,13,6,7,220.0
8:01.0, ,13-8,M. Bagley makes 2-pt dunk from 2 ft (assist by K. Kuzma),,1,13,8,5,239.0
7:43.0,J. Ivey misses 2-pt jump shot from 18 ft,13-8, ,,1,13,8,5,257.0
7:41.0, ,13-8,Defensive rebound by D. Avdija,,1,13,8,5,259.0
7:32.0, ,13-8,C. Kispert misses 3-pt jump shot from 25 ft,,1,13,8,5,268.0
