Time,Memphis,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Jackson vs. J. Duren (J. Duren gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,T. Evbuomwan misses 3-pt jump shot from 25 ft,,1,0,0,0,19.0
11:38.0,Defensive rebound by G. Jackson,0-0, ,,1,0,0,0,22.0
11:28.0,S. Pippen  misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,32.0
11:26.0, ,0-0,Defensive rebound by T. Brown,,1,0,0,0,34.0
11:19.0, ,0-0,Turnover by J. Duren (bad pass),,1,0,0,0,41.0
11:08.0,G. Jackson misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,52.0
11:04.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,56.0
10:54.0, ,0-2,T. Evbuomwan makes 2-pt layup from 2 ft (assist by C. Cunningham),,1,2,0,2,66.0
10:42.0,J. Jackson misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,78.0
10:39.0, ,0-2,Defensive rebound by T. Brown,,1,2,0,2,81.0
10:28.0, ,0-5,J. Ivey makes 3-pt jump shot from 28 ft (assist by T. Evbuomwan),,1,5,0,5,92.0
10:03.0,S. Pippen  misses 3-pt jump shot from 24 ft,0-5, ,,1,5,0,5,117.0
10:02.0, ,0-5,Defensive rebound by C. Cunningham,,1,5,0,5,118.0
9:54.0, ,0-5,Turnover by C. Cunningham (bad pass),,1,5,0,5,126.0
9:37.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by J. Jackson),3-5, ,,1,5,3,2,143.0
9:23.0, ,3-7,C. Cunningham makes 2-pt jump shot from 17 ft (assist by J. Duren),,1,7,3,4,157.0
9:13.0,J. Jackson makes 2-pt layup from 2 ft,5-7, ,,1,7,5,2,167.0
8:58.0, ,5-7,Turnover by J. Ivey (bad pass; steal by J. Jackson),,1,7,5,2,182.0
8:46.0,Turnover by L. Kennard (bad pass; steal by J. Duren),5-7, ,,1,7,5,2,194.0
8:44.0, ,5-7,Turnover by J. Duren (lost ball; steal by J. Jackson),,1,7,5,2,196.0
8:42.0,Shooting foul by J. Ivey (drawn by J. Jackson),5-7, ,,1,7,5,2,198.0
8:42.0,J. Jackson makes free throw 1 of 2,6-7, ,,1,7,6,1,198.0
8:42.0,J. Jackson makes free throw 2 of 2,7-7, ,Tie,1,7,7,0,198.0
8:25.0, ,7-9,C. Cunningham makes 2-pt jump shot from 15 ft (assist by J. Ivey),,1,9,7,2,215.0
8:03.0,G. Jackson makes 3-pt jump shot from 26 ft (assist by J. Jackson),10-9, ,Lead change,1,9,10,-1,237.0
