Time,Detroit,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. T. Jemison (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:45.0,M. Sasser misses 2-pt jump shot from 17 ft,0-0, ,,1,0,0,0,15.0
11:42.0, ,0-0,Defensive rebound by J. LaRavia,,1,0,0,0,18.0
11:33.0, ,0-0,J. LaRavia misses 2-pt jump shot from 3 ft,,1,0,0,0,27.0
11:30.0,Defensive rebound by J. Duren,0-0, ,,1,0,0,0,30.0
11:09.0,J. Ivey misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,51.0
11:09.0,Offensive rebound by Team,0-0, ,,1,0,0,0,51.0
11:09.0,Turnover by Team (shot clock),0-0, ,,1,0,0,0,51.0
10:55.0, ,0-0,Personal foul by J. Duren (drawn by T. Jemison),,1,0,0,0,65.0
10:40.0, ,0-2,G. Jackson makes 2-pt jump shot from 8 ft (assist by S. Pippen ),,1,0,2,-2,80.0
10:28.0,J. Duren misses 2-pt jump shot from 7 ft,0-2, ,,1,0,2,-2,92.0
10:26.0, ,0-2,Defensive rebound by J. Goodwin,,1,0,2,-2,94.0
10:21.0, ,0-4,S. Pippen  makes 2-pt layup from 2 ft (assist by J. Goodwin),,1,0,4,-4,99.0
10:07.0,M. Sasser misses 3-pt jump shot from 26 ft,0-4, ,,1,0,4,-4,113.0
10:05.0,Offensive rebound by T. Brown,0-4, ,,1,0,4,-4,115.0
10:02.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by T. Brown),3-4, ,,1,3,4,-1,118.0
9:46.0, ,3-4,J. Goodwin misses 2-pt jump shot from 19 ft,,1,3,4,-1,134.0
9:42.0,Defensive rebound by T. Brown,3-4, ,,1,3,4,-1,138.0
9:34.0,J. Ivey makes 3-pt jump shot from 24 ft (assist by T. Evbuomwan),6-4, ,Lead change,1,6,4,2,146.0
9:14.0, ,6-6,G. Jackson makes 2-pt layup from 4 ft,Tie,1,6,6,0,166.0
8:54.0,Turnover by J. Ivey (bad pass; steal by J. LaRavia),6-6, ,,1,6,6,0,186.0
8:42.0, ,6-6,Turnover by J. LaRavia (bad pass; steal by T. Evbuomwan),,1,6,6,0,198.0
8:34.0,Turnover by J. Ivey (lost ball; steal by S. Pippen ),6-6, ,,1,6,6,0,206.0
8:30.0, ,6-6,S. Pippen  misses 2-pt dunk from 2 ft,,1,6,6,0,210.0
