Time,Detroit,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Wiseman vs. N. Claxton (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:48.0,J. Wiseman makes 2-pt dunk from 2 ft (assist by C. Metu),2-0, ,,1,2,0,2,12.0
11:27.0, ,2-0,C. Thomas misses 2-pt jump shot from 18 ft,,1,2,0,2,33.0
11:25.0,Defensive rebound by C. Metu,2-0, ,,1,2,0,2,35.0
11:13.0,J. Ivey misses 2-pt jump shot from 6 ft,2-0, ,,1,2,0,2,47.0
11:09.0, ,2-0,Defensive rebound by N. Claxton,,1,2,0,2,51.0
11:00.0, ,2-0,Turnover by M. Bridges (lost ball; steal by T. Brown),,1,2,0,2,60.0
10:44.0,T. Brown misses 2-pt jump shot from 19 ft,2-0, ,,1,2,0,2,76.0
10:41.0, ,2-0,Defensive rebound by D. Finney-Smith,,1,2,0,2,79.0
10:32.0, ,2-0,Def 3 sec tech foul by Team,,1,2,0,2,88.0
10:32.0, ,2-1,C. Thomas makes technical free throw,,1,2,1,1,88.0
10:23.0, ,2-3,M. Bridges makes 2-pt jump shot from 16 ft,Lead change,1,2,3,-1,97.0
10:09.0,C. Metu makes 3-pt jump shot from 24 ft (assist by J. Ivey),5-3, ,Lead change,1,5,3,2,111.0
9:53.0, ,5-3,Turnover by D. Finney-Smith (bad pass; steal by C. Metu),,1,5,3,2,127.0
9:48.0,M. Sasser misses 3-pt jump shot from 28 ft,5-3, ,,1,5,3,2,132.0
9:46.0, ,5-3,Defensive rebound by C. Thomas,,1,5,3,2,134.0
9:39.0, ,5-3,Shooting foul by J. Wiseman (drawn by C. Thomas),,1,5,3,2,141.0
9:39.0, ,5-4,C. Thomas makes free throw 1 of 2,,1,5,4,1,141.0
9:39.0, ,5-5,C. Thomas makes free throw 2 of 2,Tie,1,5,5,0,141.0
9:28.0,J. Ivey makes 3-pt jump shot from 28 ft (assist by M. Sasser),8-5, ,,1,8,5,3,152.0
9:15.0, ,8-5,D. Finney-Smith misses 3-pt jump shot from 25 ft,,1,8,5,3,165.0
9:14.0,Defensive rebound by C. Metu,8-5, ,,1,8,5,3,166.0
9:08.0,J. Ivey makes 3-pt jump shot from 29 ft (assist by C. Metu),11-5, ,,1,11,5,6,172.0
9:06.0, ,11-5,Brooklyn full timeout,,1,11,5,6,174.0
8:54.0, ,11-5,Turnover by D. Schröder (bad pass),,1,11,5,6,186.0
8:33.0,M. Sasser makes 2-pt jump shot from 20 ft,13-5, ,,1,13,5,8,207.0
8:16.0, ,13-5,M. Bridges misses 3-pt jump shot from 25 ft,,1,13,5,8,224.0
8:12.0,Defensive rebound by J. Wiseman,13-5, ,,1,13,5,8,228.0
8:05.0,M. Sasser makes 3-pt jump shot from 27 ft (assist by J. Ivey),16-5, ,,1,16,5,11,235.0
7:51.0, ,16-5,D. Finney-Smith misses 3-pt jump shot from 26 ft,,1,16,5,11,249.0
7:47.0,Defensive rebound by J. Ivey,16-5, ,,1,16,5,11,253.0
7:32.0,J. Ivey makes 2-pt jump shot from 12 ft,18-5, ,,1,18,5,13,268.0
7:11.0, ,18-5,D. Finney-Smith misses 3-pt jump shot from 23 ft,,1,18,5,13,289.0
7:06.0,Defensive rebound by J. Ivey,18-5, ,,1,18,5,13,294.0
7:03.0,J. Ivey misses 2-pt jump shot from 8 ft,18-5, ,,1,18,5,13,297.0
7:00.0, ,18-5,Defensive rebound by N. Claxton,,1,18,5,13,300.0
6:56.0, ,18-8,C. Thomas makes 3-pt jump shot from 24 ft (assist by D. Schröder),,1,18,8,10,304.0
6:26.0,T. Brown misses 3-pt jump shot from 24 ft,18-8, ,,1,18,8,10,334.0
6:24.0, ,18-8,Defensive rebound by C. Thomas,,1,18,8,10,336.0
6:24.0,J. Rhoden enters the game for C. Metu,18-8, ,,1,18,8,10,336.0
6:24.0, ,18-8,N. Clowney enters the game for D. Finney-Smith,,1,18,8,10,336.0
6:24.0, ,18-8,T. Watford enters the game for D. Schröder,,1,18,8,10,336.0
6:14.0, ,18-8,Personal foul by J. Rhoden (drawn by N. Claxton),,1,18,8,10,346.0
6:04.0, ,18-8,N. Clowney misses 3-pt jump shot from 24 ft,,1,18,8,10,356.0
6:00.0,Defensive rebound by J. Ivey,18-8, ,,1,18,8,10,360.0
5:55.0,J. Rhoden misses 3-pt jump shot from 24 ft,18-8, ,,1,18,8,10,365.0
5:50.0, ,18-8,Defensive rebound by N. Claxton,,1,18,8,10,370.0
5:41.0, ,18-8,Turnover by N. Claxton (bad pass; steal by M. Sasser),,1,18,8,10,379.0
5:34.0,T. Brown makes 3-pt jump shot from 23 ft (assist by J. Ivey),21-8, ,,1,21,8,13,386.0
5:15.0, ,21-10,N. Clowney makes 2-pt layup from 2 ft (assist by N. Claxton),,1,21,10,11,405.0
5:15.0, ,21-10,Shooting foul by J. Wiseman (drawn by N. Clowney),,1,21,10,11,405.0
5:15.0,C. Metu enters the game for J. Wiseman,21-10, ,,1,21,10,11,405.0
5:15.0, ,21-10,N. Clowney misses free throw 1 of 1,,1,21,10,11,405.0
5:11.0,Defensive rebound by J. Rhoden,21-10, ,,1,21,10,11,409.0
5:04.0,J. Rhoden misses 3-pt jump shot from 25 ft,21-10, ,,1,21,10,11,416.0
5:01.0,Offensive rebound by T. Brown,21-10, ,,1,21,10,11,419.0
5:00.0,Turnover by T. Brown (bad pass; steal by M. Bridges),21-10, ,,1,21,10,11,420.0
4:57.0, ,21-12,M. Bridges makes 2-pt layup from 1 ft,,1,21,12,9,423.0
4:47.0,J. Ivey misses 3-pt jump shot from 27 ft,21-12, ,,1,21,12,9,433.0
4:45.0, ,21-12,Defensive rebound by M. Bridges,,1,21,12,9,435.0
4:38.0, ,21-14,C. Thomas makes 2-pt jump shot from 21 ft (assist by M. Bridges),,1,21,14,7,442.0
4:15.0,J. Rhoden makes 2-pt dunk from 2 ft (assist by J. Ivey),23-14, ,,1,23,14,9,465.0
4:04.0, ,23-14,Offensive foul by T. Watford (drawn by J. Rhoden),,1,23,14,9,476.0
4:04.0, ,23-14,Turnover by T. Watford (offensive foul),,1,23,14,9,476.0
4:04.0, ,23-14,D. Sharpe enters the game for N. Claxton,,1,23,14,9,476.0
3:53.0,M. Sasser makes 3-pt jump shot from 28 ft,26-14, ,,1,26,14,12,487.0
3:42.0, ,26-14,Shooting foul by J. Rhoden (drawn by C. Thomas),,1,26,14,12,498.0
3:42.0, ,26-15,C. Thomas makes free throw 1 of 2,,1,26,15,11,498.0
3:42.0, ,26-15,L. Walker enters the game for M. Bridges,,1,26,15,11,498.0
3:42.0, ,26-16,C. Thomas makes free throw 2 of 2,,1,26,16,10,498.0
3:24.0,J. Rhoden makes 2-pt jump shot from 18 ft (assist by M. Sasser),28-16, ,,1,28,16,12,516.0
3:11.0, ,28-16,Offensive foul by D. Sharpe (drawn by J. Ivey),,1,28,16,12,529.0
3:11.0, ,28-16,Turnover by D. Sharpe (offensive foul),,1,28,16,12,529.0
3:11.0,M. Flynn enters the game for T. Brown,28-16, ,,1,28,16,12,529.0
3:11.0,J. Nowell enters the game for M. Sasser,28-16, ,,1,28,16,12,529.0
2:55.0,Detroit full timeout,28-16, ,,1,28,16,12,545.0
2:51.0,J. Nowell makes 2-pt layup from 4 ft (assist by M. Flynn),30-16, ,,1,30,16,14,549.0
2:39.0, ,30-18,T. Watford makes 2-pt jump shot from 8 ft (assist by C. Thomas),,1,30,18,12,561.0
2:21.0,C. Metu makes 2-pt layup from 3 ft (assist by J. Ivey),32-18, ,,1,32,18,14,579.0
2:03.0, ,32-18,C. Thomas misses 3-pt jump shot from 26 ft,,1,32,18,14,597.0
2:01.0, ,32-18,Offensive rebound by D. Sharpe,,1,32,18,14,599.0
1:59.0, ,32-18,D. Sharpe misses 2-pt layup from 3 ft (block by J. Nowell),,1,32,18,14,601.0
1:55.0,Defensive rebound by M. Flynn,32-18, ,,1,32,18,14,605.0
1:46.0,J. Ivey misses 2-pt jump shot from 20 ft,32-18, ,,1,32,18,14,614.0
1:44.0, ,32-18,Defensive rebound by T. Watford,,1,32,18,14,616.0
1:38.0, ,32-18,Turnover by T. Watford (bad pass; steal by J. Ivey),,1,32,18,14,622.0
1:35.0,Shooting foul by T. Watford (drawn by J. Rhoden),32-18, ,,1,32,18,14,625.0
1:35.0,J. Rhoden misses free throw 1 of 2,32-18, ,,1,32,18,14,625.0
1:35.0,Offensive rebound by Team,32-18, ,,1,32,18,14,625.0
1:35.0,T. Gibson enters the game for J. Ivey,32-18, ,,1,32,18,14,625.0
1:35.0, ,32-18,J. Wilson enters the game for C. Thomas,,1,32,18,14,625.0
1:35.0,J. Rhoden makes free throw 2 of 2,33-18, ,,1,33,18,15,625.0
1:29.0, ,33-18,Personal foul by J. Nowell (drawn by T. Watford),,1,33,18,15,631.0
1:29.0, ,33-19,T. Watford makes free throw 1 of 2,,1,33,19,14,631.0
1:29.0, ,33-20,T. Watford makes free throw 2 of 2,,1,33,20,13,631.0
1:14.0,M. Flynn misses 3-pt jump shot from 27 ft,33-20, ,,1,33,20,13,646.0
1:11.0, ,33-20,Defensive rebound by D. Sharpe,,1,33,20,13,649.0
0:49.0, ,33-20,T. Watford misses 2-pt jump shot from 17 ft,,1,33,20,13,671.0
0:47.0,Defensive rebound by C. Metu,33-20, ,,1,33,20,13,673.0
0:28.0,J. Nowell makes 2-pt jump shot from 20 ft,35-20, ,,1,35,20,15,692.0
0:07.0, ,35-23,L. Walker makes 3-pt jump shot from 27 ft,,1,35,23,12,713.0
0:02.0,M. Flynn misses 3-pt jump shot from 28 ft,35-23, ,,1,35,23,12,718.0
0:02.0, ,35-23,Defensive rebound by D. Sharpe,,1,35,23,12,718.0
0:00.0,End of 1st quarter,35-23,,,1,35,23,12,720.0
12:00.0,Start of 2nd quarter,35-23,,,2,35,23,12,720.0
11:37.0, ,35-23,Turnover by T. Watford (bad pass; steal by J. Rhoden),,2,35,23,12,743.0
11:19.0,J. Nowell makes 3-pt jump shot from 27 ft (assist by J. Rhoden),38-23, ,,2,38,23,15,761.0
11:12.0, ,38-23,Shooting foul by M. Flynn (drawn by J. Wilson),,2,38,23,15,768.0
11:12.0, ,38-23,J. Wilson misses free throw 1 of 2,,2,38,23,15,768.0
11:12.0, ,38-23,Offensive rebound by Team,,2,38,23,15,768.0
11:12.0, ,38-23,D. Schröder enters the game for T. Watford,,2,38,23,15,768.0
11:12.0, ,38-23,J. Wilson misses free throw 2 of 2,,2,38,23,15,768.0
11:09.0, ,38-23,Offensive rebound by J. Wilson,,2,38,23,15,771.0
11:06.0, ,38-23,Turnover by L. Walker (bad pass),,2,38,23,15,774.0
10:43.0,J. Rhoden misses 2-pt jump shot from 23 ft,38-23, ,,2,38,23,15,797.0
10:40.0, ,38-23,Defensive rebound by D. Sharpe,,2,38,23,15,800.0
10:33.0, ,38-23,J. Wilson misses 3-pt jump shot from 25 ft,,2,38,23,15,807.0
10:30.0,Defensive rebound by J. Nowell,38-23, ,,2,38,23,15,810.0
10:16.0,C. Metu makes 2-pt hook shot from 8 ft,40-23, ,,2,40,23,17,824.0
10:00.0, ,40-23,L. Walker misses 2-pt jump shot from 13 ft,,2,40,23,17,840.0
9:59.0,Defensive rebound by Team,40-23, ,,2,40,23,17,841.0
9:59.0, ,40-23,N. Claxton enters the game for N. Clowney,,2,40,23,17,841.0
9:59.0, ,40-23,D. Finney-Smith enters the game for D. Sharpe,,2,40,23,17,841.0
9:45.0,M. Flynn misses 2-pt jump shot from 12 ft,40-23, ,,2,40,23,17,855.0
9:41.0, ,40-23,Defensive rebound by D. Finney-Smith,,2,40,23,17,859.0
9:22.0, ,40-25,J. Wilson makes 2-pt jump shot from 14 ft (assist by D. Schröder),,2,40,25,15,878.0
9:04.0,T. Gibson makes 2-pt jump shot from 5 ft,42-25, ,,2,42,25,17,896.0
8:44.0, ,42-25,L. Walker misses 3-pt jump shot from 23 ft (block by J. Rhoden),,2,42,25,17,916.0
8:39.0,Defensive rebound by C. Metu,42-25, ,,2,42,25,17,921.0
8:20.0,T. Gibson misses 3-pt jump shot from 23 ft,42-25, ,,2,42,25,17,940.0
8:18.0, ,42-25,Defensive rebound by N. Claxton,,2,42,25,17,942.0
8:10.0, ,42-25,D. Schröder misses 3-pt jump shot from 27 ft,,2,42,25,17,950.0
8:09.0,Defensive rebound by C. Metu,42-25, ,,2,42,25,17,951.0
8:09.0,Detroit full timeout,42-25, ,,2,42,25,17,951.0
8:09.0,M. Sasser enters the game for M. Flynn,42-25, ,,2,42,25,17,951.0
8:09.0,J. Wiseman enters the game for T. Gibson,42-25, ,,2,42,25,17,951.0
8:09.0, ,42-25,M. Bridges enters the game for L. Walker,,2,42,25,17,951.0
7:56.0,C. Metu makes 2-pt hook shot from 5 ft,44-25, ,,2,44,25,19,964.0
7:37.0, ,44-28,M. Bridges makes 3-pt jump shot from 24 ft (assist by J. Wilson),,2,44,28,16,983.0
