Time,Detroit,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Wiseman vs. D. Gafford (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:42.0,C. Metu misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,18.0
11:40.0, ,0-0,Defensive rebound by D. Gafford,,1,0,0,0,20.0
11:32.0, ,0-2,P. Washington makes 2-pt dunk from 1 ft (assist by D. Exum),,1,0,2,-2,28.0
11:16.0,T. Brown makes 2-pt jump shot from 8 ft,2-2, ,Tie,1,2,2,0,44.0
10:59.0, ,2-2,T. Hardaway misses 2-pt layup from 1 ft,,1,2,2,0,61.0
10:57.0,Defensive rebound by J. Wiseman,2-2, ,,1,2,2,0,63.0
10:50.0,M. Sasser misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,70.0
10:47.0, ,2-2,Defensive rebound by D. Jones,,1,2,2,0,73.0
10:36.0, ,2-4,D. Gafford makes 2-pt dunk at rim (assist by D. Jones),,1,2,4,-2,84.0
10:25.0,C. Metu makes 3-pt jump shot from 25 ft (assist by J. Wiseman),5-4, ,Lead change,1,5,4,1,95.0
10:10.0, ,5-4,D. Jones misses 2-pt layup from 2 ft (block by J. Wiseman),,1,5,4,1,110.0
10:10.0,Defensive rebound by T. Brown,5-4, ,,1,5,4,1,110.0
10:03.0,T. Brown misses 2-pt layup from 4 ft,5-4, ,,1,5,4,1,117.0
10:00.0,Offensive rebound by J. Wiseman,5-4, ,,1,5,4,1,120.0
10:00.0,J. Wiseman makes 2-pt layup at rim,7-4, ,,1,7,4,3,120.0
9:48.0, ,7-4,Turnover by D. Gafford (bad pass; steal by J. Ivey),,1,7,4,3,132.0
9:45.0,J. Ivey makes 2-pt dunk from 1 ft,9-4, ,,1,9,4,5,135.0
9:31.0, ,9-4,D. Gafford misses 2-pt layup from 3 ft,,1,9,4,5,149.0
9:31.0,Defensive rebound by T. Brown,9-4, ,,1,9,4,5,149.0
9:24.0,C. Metu makes 3-pt jump shot from 23 ft (assist by T. Brown),12-4, ,,1,12,4,8,156.0
8:58.0, ,12-7,P. Washington makes 3-pt jump shot from 25 ft (assist by D. Jones),,1,12,7,5,182.0
8:47.0,Personal foul by D. Gafford (drawn by J. Wiseman),12-7, ,,1,12,7,5,193.0
8:33.0,J. Wiseman makes 2-pt layup from 2 ft (assist by T. Brown),14-7, ,,1,14,7,7,207.0
8:15.0, ,14-7,Turnover by D. Gafford (bad pass; steal by T. Brown),,1,14,7,7,225.0
8:07.0,M. Sasser misses 2-pt layup from 1 ft,14-7, ,,1,14,7,7,233.0
8:06.0, ,14-7,Defensive rebound by P. Washington,,1,14,7,7,234.0
8:06.0, ,14-7,Dallas full timeout,,1,14,7,7,234.0
8:06.0, ,14-7,Instant Replay (Challenge: Ruling Stands),,1,14,7,7,234.0
7:55.0, ,14-7,D. Exum misses 2-pt layup from 2 ft (block by J. Wiseman),,1,14,7,7,245.0
7:53.0,Defensive rebound by T. Brown,14-7, ,,1,14,7,7,247.0
7:49.0,C. Metu misses 2-pt layup from 2 ft,14-7, ,,1,14,7,7,251.0
7:47.0, ,14-7,Defensive rebound by T. Hardaway,,1,14,7,7,253.0
7:42.0, ,14-9,T. Hardaway makes 2-pt jump shot from 14 ft,,1,14,9,5,258.0
7:24.0,M. Sasser misses 2-pt jump shot from 7 ft,14-9, ,,1,14,9,5,276.0
