Time,Detroit,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Wiseman vs. Z. Collins (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:47.0,Shooting foul by Z. Collins (drawn by J. Wiseman),0-0, ,,1,0,0,0,13.0
11:47.0,J. Wiseman makes free throw 1 of 2,1-0, ,,1,1,0,1,13.0
11:47.0,J. Wiseman makes free throw 2 of 2,2-0, ,,1,2,0,2,13.0
11:35.0, ,2-2,J. Champagnie makes 2-pt layup from 1 ft (assist by B. Wesley),Tie,1,2,2,0,25.0
11:18.0,Turnover by M. Sasser (traveling),2-2, ,,1,2,2,0,42.0
11:06.0, ,2-2,Z. Collins misses 2-pt jump shot from 14 ft,,1,2,2,0,54.0
11:01.0,Defensive rebound by T. Brown,2-2, ,,1,2,2,0,59.0
10:47.0,J. Wiseman misses 2-pt dunk from 2 ft,2-2, ,,1,2,2,0,73.0
10:46.0, ,2-2,Defensive rebound by T. Jones,,1,2,2,0,74.0
10:31.0, ,2-2,T. Jones misses 2-pt layup from 2 ft,,1,2,2,0,89.0
10:29.0,Defensive rebound by T. Brown,2-2, ,,1,2,2,0,91.0
10:22.0,J. Ivey makes 2-pt layup from 1 ft,4-2, ,,1,4,2,2,98.0
10:11.0, ,4-5,S. Mamukelashvili makes 3-pt jump shot from 25 ft (assist by Z. Collins),Lead change,1,4,5,-1,109.0
9:57.0,M. Sasser makes 2-pt jump shot from 8 ft,6-5, ,Lead change,1,6,5,1,123.0
9:46.0, ,6-5,J. Champagnie misses 3-pt jump shot from 25 ft,,1,6,5,1,134.0
9:46.0,Defensive rebound by J. Wiseman,6-5, ,,1,6,5,1,134.0
9:36.0,Personal foul by T. Jones (drawn by M. Sasser),6-5, ,,1,6,5,1,144.0
9:31.0,J. Wiseman misses 2-pt jump shot from 13 ft,6-5, ,,1,6,5,1,149.0
9:27.0, ,6-5,Defensive rebound by B. Wesley,,1,6,5,1,153.0
9:15.0, ,6-7,S. Mamukelashvili makes 2-pt layup from 2 ft (assist by J. Champagnie),Lead change,1,6,7,-1,165.0
8:58.0,Turnover by C. Metu (lost ball; steal by Z. Collins),6-7, ,,1,6,7,-1,182.0
8:53.0, ,6-7,T. Jones misses 3-pt jump shot from 25 ft,,1,6,7,-1,187.0
8:48.0, ,6-7,Offensive rebound by Z. Collins,,1,6,7,-1,192.0
8:48.0, ,6-7,Z. Collins misses 2-pt layup at rim,,1,6,7,-1,192.0
8:48.0,Defensive rebound by J. Wiseman,6-7, ,,1,6,7,-1,192.0
8:47.0,Personal foul by Z. Collins (drawn by C. Metu),6-7, ,,1,6,7,-1,193.0
8:47.0, ,6-7,S. Cissoko enters the game for Z. Collins,,1,6,7,-1,193.0
8:38.0,J. Wiseman makes 2-pt jump shot from 10 ft (assist by M. Sasser),8-7, ,Lead change,1,8,7,1,202.0
8:20.0, ,8-7,J. Champagnie misses 2-pt layup from 1 ft (block by T. Brown),,1,8,7,1,220.0
8:17.0,Defensive rebound by J. Ivey,8-7, ,,1,8,7,1,223.0
8:17.0,J. Ivey misses 2-pt jump shot from 6 ft,8-7, ,,1,8,7,1,223.0
8:15.0,Offensive rebound by J. Wiseman,8-7, ,,1,8,7,1,225.0
8:14.0,J. Wiseman makes 2-pt layup at rim,10-7, ,,1,10,7,3,226.0
