Time,Miami,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-3,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum),,1,0,3,-3,16.0
11:26.0,B. Adebayo makes 2-pt jump shot from 10 ft,2-3, ,,1,2,3,-1,34.0
11:13.0, ,2-3,J. Brown misses 2-pt jump shot from 7 ft,,1,2,3,-1,47.0
11:11.0,Defensive rebound by K. Love,2-3, ,,1,2,3,-1,49.0
11:06.0,K. Love misses 3-pt jump shot from 28 ft,2-3, ,,1,2,3,-1,54.0
11:00.0, ,2-3,Defensive rebound by D. White,,1,2,3,-1,60.0
10:53.0, ,2-3,J. Tatum misses 2-pt layup from 3 ft,,1,2,3,-1,67.0
10:51.0,Defensive rebound by T. Herro,2-3, ,,1,2,3,-1,69.0
10:44.0,T. Herro misses 3-pt jump shot from 28 ft,2-3, ,,1,2,3,-1,76.0
10:40.0, ,2-3,Defensive rebound by J. Brown,,1,2,3,-1,80.0
10:31.0, ,2-3,K. Porziņģis misses 2-pt layup from 2 ft,,1,2,3,-1,89.0
10:29.0, ,2-3,Offensive rebound by K. Porziņģis,,1,2,3,-1,91.0
10:28.0, ,2-5,K. Porziņģis makes 2-pt layup from 3 ft,,1,2,5,-3,92.0
10:08.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by T. Herro),5-5, ,Tie,1,5,5,0,112.0
9:47.0, ,5-5,J. Brown misses 3-pt jump shot from 27 ft,,1,5,5,0,133.0
9:45.0,Defensive rebound by K. Love,5-5, ,,1,5,5,0,135.0
9:37.0,B. Adebayo misses 2-pt hook shot from 7 ft,5-5, ,,1,5,5,0,143.0
9:35.0, ,5-5,Defensive rebound by K. Porziņģis,,1,5,5,0,145.0
9:30.0, ,5-5,D. White misses 2-pt layup from 3 ft,,1,5,5,0,150.0
9:28.0, ,5-5,Offensive rebound by D. White,,1,5,5,0,152.0
9:27.0, ,5-5,D. White misses 2-pt layup from 4 ft,,1,5,5,0,153.0
9:25.0,Defensive rebound by K. Love,5-5, ,,1,5,5,0,155.0
9:19.0,T. Herro makes 2-pt jump shot from 19 ft (assist by K. Lowry),7-5, ,Lead change,1,7,5,2,161.0
9:03.0, ,7-8,D. White makes 3-pt jump shot from 23 ft (assist by J. Brown),Lead change,1,7,8,-1,177.0
8:43.0,T. Herro makes 2-pt jump shot from 14 ft,9-8, ,Lead change,1,9,8,1,197.0
8:33.0, ,9-8,J. Holiday misses 3-pt jump shot from 26 ft,,1,9,8,1,207.0
8:31.0,Defensive rebound by K. Love,9-8, ,,1,9,8,1,209.0
8:27.0,J. Butler misses 2-pt dunk from 6 ft (block by D. White),9-8, ,,1,9,8,1,213.0
8:23.0, ,9-8,Defensive rebound by J. Holiday,,1,9,8,1,217.0
8:19.0, ,9-8,J. Tatum misses 2-pt layup from 1 ft,,1,9,8,1,221.0
8:17.0,Defensive rebound by B. Adebayo,9-8, ,,1,9,8,1,223.0
8:13.0, ,9-8,Violation by Team (kicked ball),,1,9,8,1,227.0
8:01.0,B. Adebayo makes 2-pt dunk from 5 ft (assist by K. Lowry),11-8, ,,1,11,8,3,239.0
8:01.0,Shooting foul by K. Porziņģis (drawn by B. Adebayo),11-8, ,,1,11,8,3,239.0
8:01.0,B. Adebayo misses free throw 1 of 1,11-8, ,,1,11,8,3,239.0
7:59.0, ,11-8,Defensive rebound by J. Tatum,,1,11,8,3,241.0
7:49.0, ,11-8,J. Brown misses 2-pt layup from 2 ft,,1,11,8,3,251.0
7:47.0,Defensive rebound by K. Love,11-8, ,,1,11,8,3,253.0
7:39.0,B. Adebayo makes 2-pt layup from 3 ft (assist by K. Love),13-8, ,,1,13,8,5,261.0
7:29.0, ,13-11,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,13,11,2,271.0
7:03.0,T. Herro makes 2-pt jump shot from 8 ft,15-11, ,,1,15,11,4,297.0
6:52.0, ,15-11,K. Porziņģis misses 3-pt jump shot from 32 ft,,1,15,11,4,308.0
6:48.0,Defensive rebound by K. Lowry,15-11, ,,1,15,11,4,312.0
6:47.0,Shooting foul by K. Porziņģis (drawn by B. Adebayo),15-11, ,,1,15,11,4,313.0
6:47.0, ,15-11,Boston full timeout,,1,15,11,4,313.0
6:47.0, ,15-11,S. Hauser enters the game for J. Tatum,,1,15,11,4,313.0
6:47.0, ,15-11,A. Horford enters the game for D. White,,1,15,11,4,313.0
6:47.0,B. Adebayo misses free throw 1 of 2,15-11, ,,1,15,11,4,313.0
6:47.0,Offensive rebound by Team,15-11, ,,1,15,11,4,313.0
6:47.0,B. Adebayo makes free throw 2 of 2,16-11, ,,1,16,11,5,313.0
6:35.0, ,16-13,J. Holiday makes 2-pt layup from 3 ft,,1,16,13,3,325.0
6:12.0,T. Herro misses 3-pt jump shot from 24 ft (block by A. Horford),16-13, ,,1,16,13,3,348.0
6:08.0,Offensive rebound by T. Herro,16-13, ,,1,16,13,3,352.0
6:06.0,T. Herro misses 3-pt jump shot from 29 ft,16-13, ,,1,16,13,3,354.0
6:04.0,Offensive rebound by K. Love,16-13, ,,1,16,13,3,356.0
6:03.0,T. Herro makes 3-pt jump shot from 30 ft (assist by K. Love),19-13, ,,1,19,13,6,357.0
5:48.0, ,19-13,Turnover by J. Holiday (bad pass; steal by T. Herro),,1,19,13,6,372.0
5:44.0,T. Herro makes 3-pt jump shot from 26 ft,22-13, ,,1,22,13,9,376.0
5:39.0, ,22-13,K. Porziņģis misses 3-pt jump shot from 26 ft,,1,22,13,9,381.0
5:35.0,Defensive rebound by J. Butler,22-13, ,,1,22,13,9,385.0
5:28.0,J. Butler makes 2-pt layup from 5 ft (assist by T. Herro),24-13, ,,1,24,13,11,392.0
5:28.0, ,24-13,Boston full timeout,,1,24,13,11,392.0
5:28.0,D. Smith enters the game for T. Herro,24-13, ,,1,24,13,11,392.0
