Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Bryant vs. B. Lopez (K. Love gains possession),0-0,,,1,0,0,0,0.0
11:40.0,K. Love misses 2-pt jump shot from 18 ft,0-0, ,,1,0,0,0,20.0
11:37.0, ,0-0,Defensive rebound by K. Middleton,,1,0,0,0,23.0
11:31.0, ,0-0,B. Lopez misses 3-pt jump shot from 25 ft,,1,0,0,0,29.0
11:27.0,Defensive rebound by K. Love,0-0, ,,1,0,0,0,33.0
11:14.0,Personal foul by G. Antetokounmpo (drawn by J. Butler),0-0, ,,1,0,0,0,46.0
11:08.0,T. Bryant makes 2-pt dunk from 4 ft (assist by T. Herro),2-0, ,,1,2,0,2,52.0
10:54.0, ,2-2,G. Antetokounmpo makes 2-pt layup from 6 ft,Tie,1,2,2,0,66.0
10:54.0, ,2-2,Shooting foul by K. Love (drawn by G. Antetokounmpo),,1,2,2,0,66.0
10:54.0, ,2-3,G. Antetokounmpo makes free throw 1 of 1,Lead change,1,2,3,-1,66.0
10:38.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by J. Butler),5-3, ,Lead change,1,5,3,2,82.0
10:25.0, ,5-5,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),Tie,1,5,5,0,95.0
10:25.0, ,5-5,Violation by Team (delay of game),,1,5,5,0,95.0
10:09.0,K. Love misses 3-pt jump shot from 27 ft,5-5, ,,1,5,5,0,111.0
10:04.0, ,5-5,Defensive rebound by B. Lopez,,1,5,5,0,116.0
9:57.0, ,5-5,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,1,5,5,0,123.0
9:54.0,Defensive rebound by K. Lowry,5-5, ,,1,5,5,0,126.0
9:46.0,T. Bryant makes 2-pt layup from 4 ft (assist by K. Love),7-5, ,,1,7,5,2,134.0
9:40.0, ,7-5,Offensive foul by K. Middleton (drawn by K. Lowry),,1,7,5,2,140.0
9:40.0, ,7-5,Turnover by K. Middleton (offensive foul),,1,7,5,2,140.0
9:17.0,T. Bryant misses 3-pt jump shot from 28 ft,7-5, ,,1,7,5,2,163.0
9:16.0, ,7-5,Defensive rebound by G. Antetokounmpo,,1,7,5,2,164.0
9:01.0, ,7-7,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. Lillard),Tie,1,7,7,0,179.0
8:46.0,T. Bryant misses 2-pt jump shot from 10 ft,7-7, ,,1,7,7,0,194.0
8:44.0, ,7-7,Defensive rebound by K. Middleton,,1,7,7,0,196.0
8:39.0, ,7-7,G. Antetokounmpo misses 2-pt layup from 2 ft,,1,7,7,0,201.0
8:36.0,Defensive rebound by K. Love,7-7, ,,1,7,7,0,204.0
8:28.0,T. Bryant makes 2-pt layup from 3 ft (assist by K. Love),9-7, ,,1,9,7,2,212.0
8:16.0, ,9-10,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by B. Lopez),Lead change,1,9,10,-1,224.0
7:53.0,T. Herro makes 2-pt jump shot from 16 ft,11-10, ,Lead change,1,11,10,1,247.0
7:32.0, ,11-10,M. Beasley misses 3-pt jump shot from 26 ft,,1,11,10,1,268.0
7:28.0,Defensive rebound by K. Lowry,11-10, ,,1,11,10,1,272.0
7:26.0,K. Lowry misses 3-pt jump shot from 28 ft,11-10, ,,1,11,10,1,274.0
7:23.0, ,11-10,Defensive rebound by G. Antetokounmpo,,1,11,10,1,277.0
7:14.0, ,11-10,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,1,11,10,1,286.0
7:11.0, ,11-10,Offensive rebound by B. Lopez,,1,11,10,1,289.0
7:08.0, ,11-10,M. Beasley misses 3-pt jump shot from 27 ft,,1,11,10,1,292.0
7:08.0,Defensive rebound by K. Lowry,11-10, ,,1,11,10,1,292.0
7:04.0,J. Butler makes 2-pt dunk from 3 ft (assist by K. Lowry),13-10, ,,1,13,10,3,296.0
7:04.0, ,13-10,Milwaukee full timeout,,1,13,10,3,296.0
6:47.0, ,13-13,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Beasley),Tie,1,13,13,0,313.0
6:31.0,Offensive foul by K. Lowry (drawn by G. Antetokounmpo),13-13, ,,1,13,13,0,329.0
6:31.0,Turnover by K. Lowry (offensive foul),13-13, ,,1,13,13,0,329.0
6:31.0, ,13-13,J. Crowder enters the game for G. Antetokounmpo,,1,13,13,0,329.0
6:20.0, ,13-15,B. Lopez makes 2-pt dunk from 2 ft (assist by K. Middleton),Lead change,1,13,15,-2,340.0
6:02.0,Shooting foul by B. Lopez (drawn by T. Bryant),13-15, ,,1,13,15,-2,358.0
6:02.0,T. Bryant makes free throw 1 of 2,14-15, ,,1,14,15,-1,358.0
6:02.0,J. Richardson enters the game for T. Herro,14-15, ,,1,14,15,-1,358.0
