Time,Washington,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. B. Adebayo (H. Highsmith gains possession),0-0,,,1,0,0,0,0.0
11:34.0, ,0-2,J. Butler makes 2-pt jump shot from 14 ft,,1,2,0,2,26.0
11:19.0,Turnover by D. Avdija (bad pass; steal by J. Butler),0-2, ,,1,2,0,2,41.0
11:10.0, ,0-2,B. Adebayo misses 2-pt hook shot from 3 ft,,1,2,0,2,50.0
11:06.0,Defensive rebound by D. Gafford,0-2, ,,1,2,0,2,54.0
11:01.0,J. Poole misses 2-pt jump shot from 12 ft,0-2, ,,1,2,0,2,59.0
10:57.0, ,0-2,Defensive rebound by T. Herro,,1,2,0,2,63.0
10:47.0, ,0-4,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,4,0,4,73.0
10:26.0,D. Avdija makes 3-pt jump shot from 25 ft (assist by T. Jones),3-4, ,,1,4,3,1,94.0
10:11.0, ,3-6,B. Adebayo makes 2-pt jump shot from 16 ft (assist by T. Herro),,1,6,3,3,109.0
9:46.0,T. Jones makes 2-pt layup from 4 ft,5-6, ,,1,6,5,1,134.0
9:37.0, ,5-6,T. Herro misses 3-pt jump shot from 26 ft,,1,6,5,1,143.0
9:33.0,Defensive rebound by D. Avdija,5-6, ,,1,6,5,1,147.0
9:27.0,Shooting foul by B. Adebayo (drawn by D. Gafford),5-6, ,,1,6,5,1,153.0
9:27.0,D. Gafford makes free throw 1 of 2,6-6, ,Tie,1,6,6,0,153.0
9:27.0,D. Gafford misses free throw 2 of 2,6-6, ,,1,6,6,0,153.0
9:25.0, ,6-6,Defensive rebound by B. Adebayo,,1,6,6,0,155.0
9:02.0, ,6-8,H. Highsmith makes 2-pt layup from 2 ft (assist by K. Lowry),,1,8,6,2,178.0
8:52.0,Turnover by K. Kuzma (step out of bounds),6-8, ,,1,8,6,2,188.0
8:35.0, ,6-8,Turnover by T. Herro (bad pass; steal by J. Poole),,1,8,6,2,205.0
8:30.0,J. Poole makes 2-pt layup from 1 ft,8-8, ,Tie,1,8,8,0,210.0
8:17.0, ,8-8,Shooting foul by T. Jones (drawn by T. Herro),,1,8,8,0,223.0
8:17.0, ,8-9,T. Herro makes free throw 1 of 2,,1,9,8,1,223.0
8:17.0, ,8-10,T. Herro makes free throw 2 of 2,,1,10,8,2,223.0
8:08.0,T. Jones makes 2-pt layup from 1 ft (assist by K. Kuzma),10-10, ,Tie,1,10,10,0,232.0
