Time,Miami,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. V. Wembanyama (J. Richardson gains possession),0-0,,,1,0,0,0,0.0
11:43.0,B. Adebayo misses 2-pt jump shot from 14 ft,0-0, ,,1,0,0,0,17.0
11:39.0, ,0-0,Defensive rebound by V. Wembanyama,,1,0,0,0,21.0
11:32.0, ,0-0,Z. Collins misses 2-pt jump shot from 14 ft,,1,0,0,0,28.0
11:29.0,Defensive rebound by D. Robinson,0-0, ,,1,0,0,0,31.0
11:15.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by D. Robinson),2-0, ,,1,2,0,2,45.0
10:51.0, ,2-3,Z. Collins makes 3-pt jump shot from 24 ft (assist by J. Sochan),Lead change,1,2,3,-1,69.0
10:35.0,J. Richardson misses 3-pt jump shot from 25 ft (block by K. Johnson),2-3, ,,1,2,3,-1,85.0
10:31.0, ,2-3,Defensive rebound by J. Sochan,,1,2,3,-1,89.0
10:25.0, ,2-5,D. Vassell makes 2-pt jump shot from 18 ft (assist by J. Sochan),,1,2,5,-3,95.0
9:59.0,B. Adebayo misses 2-pt jump shot from 13 ft,2-5, ,,1,2,5,-3,121.0
9:57.0, ,2-5,Defensive rebound by V. Wembanyama,,1,2,5,-3,123.0
9:43.0, ,2-5,J. Sochan misses 2-pt jump shot from 7 ft,,1,2,5,-3,137.0
9:40.0, ,2-5,Offensive rebound by J. Sochan,,1,2,5,-3,140.0
9:38.0, ,2-5,V. Wembanyama misses 3-pt jump shot from 27 ft,,1,2,5,-3,142.0
9:36.0,Defensive rebound by J. Richardson,2-5, ,,1,2,5,-3,144.0
9:24.0,D. Robinson misses 3-pt jump shot from 26 ft,2-5, ,,1,2,5,-3,156.0
9:20.0, ,2-5,Defensive rebound by V. Wembanyama,,1,2,5,-3,160.0
9:15.0, ,2-5,V. Wembanyama misses 2-pt jump shot from 5 ft,,1,2,5,-3,165.0
9:12.0,Defensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,168.0
9:10.0,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),4-5, ,,1,4,5,-1,170.0
8:55.0, ,4-5,D. Vassell misses 3-pt jump shot from 25 ft,,1,4,5,-1,185.0
8:50.0,Defensive rebound by D. Robinson,4-5, ,,1,4,5,-1,190.0
8:38.0,J. Richardson misses 2-pt jump shot from 16 ft,4-5, ,,1,4,5,-1,202.0
8:34.0, ,4-5,Defensive rebound by J. Sochan,,1,4,5,-1,206.0
8:25.0, ,4-7,K. Johnson makes 2-pt layup from 4 ft (assist by V. Wembanyama),,1,4,7,-3,215.0
8:11.0,J. Butler misses 2-pt jump shot from 14 ft,4-7, ,,1,4,7,-3,229.0
8:07.0,Offensive rebound by D. Robinson,4-7, ,,1,4,7,-3,233.0
8:07.0,D. Robinson misses 2-pt layup from 1 ft,4-7, ,,1,4,7,-3,233.0
8:07.0, ,4-7,Defensive rebound by Z. Collins,,1,4,7,-3,233.0
7:58.0, ,4-9,V. Wembanyama makes 2-pt jump shot from 13 ft (assist by D. Vassell),,1,4,9,-5,242.0
7:46.0,Shooting foul by Z. Collins (drawn by B. Adebayo),4-9, ,,1,4,9,-5,254.0
7:46.0,B. Adebayo makes free throw 1 of 2,5-9, ,,1,5,9,-4,254.0
7:46.0,B. Adebayo misses free throw 2 of 2,5-9, ,,1,5,9,-4,254.0
7:43.0, ,5-9,Defensive rebound by D. Vassell,,1,5,9,-4,257.0
7:38.0, ,5-9,Personal foul by J. Richardson (drawn by J. Sochan),,1,5,9,-4,262.0
7:32.0, ,5-9,V. Wembanyama misses 3-pt jump shot from 26 ft,,1,5,9,-4,268.0
7:32.0, ,5-9,Offensive rebound by D. Vassell,,1,5,9,-4,268.0
7:26.0, ,5-12,D. Vassell makes 3-pt jump shot from 25 ft,,1,5,12,-7,274.0
7:14.0,B. Adebayo makes 2-pt jump shot from 18 ft (assist by J. Richardson),7-12, ,,1,7,12,-5,286.0
7:03.0, ,7-12,Shooting foul by H. Highsmith (drawn by Z. Collins),,1,7,12,-5,297.0
7:03.0, ,7-12,Z. Collins misses free throw 1 of 2,,1,7,12,-5,297.0
7:03.0, ,7-12,Offensive rebound by Team,,1,7,12,-5,297.0
7:03.0, ,7-13,Z. Collins makes free throw 2 of 2,,1,7,13,-6,297.0
6:50.0,J. Butler misses 2-pt jump shot from 16 ft,7-13, ,,1,7,13,-6,310.0
6:47.0, ,7-13,Defensive rebound by K. Johnson,,1,7,13,-6,313.0
6:34.0, ,7-13,Turnover by V. Wembanyama (out of bounds lost ball),,1,7,13,-6,326.0
6:34.0, ,7-13,San Antonio full timeout,,1,7,13,-6,326.0
6:34.0, ,7-13,C. Osman enters the game for V. Wembanyama,,1,7,13,-6,326.0
6:09.0,D. Robinson misses 3-pt jump shot from 25 ft (block by J. Sochan),7-13, ,,1,7,13,-6,351.0
6:09.0,Offensive rebound by Team,7-13, ,,1,7,13,-6,351.0
6:09.0,Turnover by Team (shot clock),7-13, ,,1,7,13,-6,351.0
6:09.0,J. Jaquez enters the game for B. Adebayo,7-13, ,,1,7,13,-6,351.0
6:09.0,K. Love enters the game for D. Robinson,7-13, ,,1,7,13,-6,351.0
5:59.0, ,7-15,Z. Collins makes 2-pt hook shot from 4 ft (assist by J. Sochan),,1,7,15,-8,361.0
5:46.0,K. Love misses 3-pt jump shot from 25 ft,7-15, ,,1,7,15,-8,374.0
5:43.0, ,7-15,Defensive rebound by K. Johnson,,1,7,15,-8,377.0
5:31.0, ,7-15,Z. Collins misses 2-pt jump shot from 7 ft,,1,7,15,-8,389.0
5:29.0,Defensive rebound by J. Butler,7-15, ,,1,7,15,-8,391.0
5:19.0,K. Love misses 3-pt jump shot from 27 ft,7-15, ,,1,7,15,-8,401.0
5:14.0, ,7-15,Defensive rebound by K. Johnson,,1,7,15,-8,406.0
5:08.0, ,7-15,Z. Collins misses 3-pt jump shot from 25 ft,,1,7,15,-8,412.0
5:05.0,Defensive rebound by K. Love,7-15, ,,1,7,15,-8,415.0
4:57.0,Turnover by J. Butler (lost ball; steal by K. Johnson),7-15, ,,1,7,15,-8,423.0
4:48.0, ,7-18,D. Vassell makes 3-pt jump shot from 26 ft (assist by Z. Collins),,1,7,18,-11,432.0
4:46.0,Miami full timeout,7-18, ,,1,7,18,-11,434.0
4:46.0, ,7-18,C. Bassey enters the game for Z. Collins,,1,7,18,-11,434.0
4:46.0, ,7-18,M. Branham enters the game for K. Johnson,,1,7,18,-11,434.0
4:27.0,Shooting foul by C. Bassey (drawn by J. Butler),7-18, ,,1,7,18,-11,453.0
4:27.0,J. Butler makes free throw 1 of 2,8-18, ,,1,8,18,-10,453.0
4:27.0,D. Smith enters the game for J. Richardson,8-18, ,,1,8,18,-10,453.0
4:27.0,J. Butler makes free throw 2 of 2,9-18, ,,1,9,18,-9,453.0
4:13.0, ,9-18,D. Vassell misses 2-pt jump shot from 20 ft,,1,9,18,-9,467.0
4:11.0, ,9-18,Offensive rebound by C. Osman,,1,9,18,-9,469.0
4:01.0, ,9-18,Shooting foul by K. Love (drawn by C. Bassey),,1,9,18,-9,479.0
4:01.0, ,9-19,C. Bassey makes free throw 1 of 2,,1,9,19,-10,479.0
4:01.0, ,9-19,C. Bassey misses free throw 2 of 2,,1,9,19,-10,479.0
3:59.0,Defensive rebound by K. Love,9-19, ,,1,9,19,-10,481.0
3:50.0,K. Love misses 3-pt jump shot from 25 ft,9-19, ,,1,9,19,-10,490.0
3:45.0, ,9-19,Defensive rebound by J. Sochan,,1,9,19,-10,495.0
3:39.0, ,9-19,C. Osman misses 2-pt layup from 1 ft,,1,9,19,-10,501.0
3:37.0, ,9-19,Offensive rebound by C. Bassey,,1,9,19,-10,503.0
3:35.0, ,9-19,M. Branham misses 3-pt jump shot from 23 ft,,1,9,19,-10,505.0
3:35.0,Defensive rebound by D. Smith,9-19, ,,1,9,19,-10,505.0
3:25.0,Turnover by D. Smith (bad pass; steal by C. Bassey),9-19, ,,1,9,19,-10,515.0
3:20.0, ,9-21,J. Sochan makes 2-pt layup from 4 ft,,1,9,21,-12,520.0
3:07.0,D. Smith misses 3-pt jump shot from 26 ft,9-21, ,,1,9,21,-12,533.0
3:04.0, ,9-21,Defensive rebound by C. Bassey,,1,9,21,-12,536.0
2:56.0, ,9-21,Turnover by D. Vassell (bad pass),,1,9,21,-12,544.0
2:56.0,B. Adebayo enters the game for H. Highsmith,9-21, ,,1,9,21,-12,544.0
2:56.0, ,9-21,D. McDermott enters the game for D. Vassell,,1,9,21,-12,544.0
2:37.0,J. Butler misses 2-pt layup from 1 ft (block by J. Sochan),9-21, ,,1,9,21,-12,563.0
2:36.0,Offensive rebound by J. Butler,9-21, ,,1,9,21,-12,564.0
