Time,Miami,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:35.0,J. Butler makes 3-pt jump shot from 25 ft (assist by D. Robinson),3-0, ,,1,3,0,3,25.0
11:06.0, ,3-0,C. White misses 3-pt jump shot from 26 ft,,1,3,0,3,54.0
11:04.0,Defensive rebound by H. Highsmith,3-0, ,,1,3,0,3,56.0
10:57.0,Turnover by H. Highsmith (bad pass; steal by D. DeRozan),3-0, ,,1,3,0,3,63.0
10:47.0, ,3-0,Turnover by Z. LaVine (lost ball; steal by H. Highsmith),,1,3,0,3,73.0
10:34.0,D. Robinson misses 3-pt jump shot from 26 ft,3-0, ,,1,3,0,3,86.0
10:32.0, ,3-0,Defensive rebound by Z. LaVine,,1,3,0,3,88.0
10:22.0, ,3-0,Turnover by N. Vučević (lost ball; steal by K. Lowry),,1,3,0,3,98.0
10:14.0,B. Adebayo makes 2-pt jump shot from 6 ft,5-0, ,,1,5,0,5,106.0
10:02.0, ,5-0,Shooting foul by K. Lowry (drawn by A. Caruso),,1,5,0,5,118.0
10:02.0, ,5-0,A. Caruso misses free throw 1 of 2,,1,5,0,5,118.0
10:02.0, ,5-0,Offensive rebound by Team,,1,5,0,5,118.0
10:02.0, ,5-1,A. Caruso makes free throw 2 of 2,,1,5,1,4,118.0
9:51.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),7-1, ,,1,7,1,6,129.0
9:31.0, ,7-1,C. White misses 2-pt jump shot from 11 ft,,1,7,1,6,149.0
9:30.0,Defensive rebound by Team,7-1, ,,1,7,1,6,150.0
9:21.0,D. Robinson makes 2-pt jump shot from 8 ft (assist by K. Lowry),9-1, ,,1,9,1,8,159.0
9:15.0, ,9-1,Chicago full timeout,,1,9,1,8,165.0
9:04.0, ,9-1,N. Vučević misses 2-pt jump shot from 17 ft,,1,9,1,8,176.0
8:59.0,Defensive rebound by J. Butler,9-1, ,,1,9,1,8,181.0
8:41.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),12-1, ,,1,12,1,11,199.0
8:29.0, ,12-1,C. White misses 3-pt jump shot from 25 ft,,1,12,1,11,211.0
8:26.0,Defensive rebound by J. Butler,12-1, ,,1,12,1,11,214.0
8:26.0,Turnover by J. Butler (bad pass; steal by C. White),12-1, ,,1,12,1,11,214.0
8:14.0, ,12-1,A. Caruso misses 2-pt jump shot from 22 ft,,1,12,1,11,226.0
8:11.0,Defensive rebound by B. Adebayo,12-1, ,,1,12,1,11,229.0
8:10.0,Shooting foul by C. White (drawn by D. Robinson),12-1, ,,1,12,1,11,230.0
8:10.0,D. Robinson makes free throw 1 of 2,13-1, ,,1,13,1,12,230.0
8:10.0,D. Robinson makes free throw 2 of 2,14-1, ,,1,14,1,13,230.0
7:59.0, ,14-1,D. DeRozan misses 2-pt jump shot from 13 ft,,1,14,1,13,241.0
7:56.0,Defensive rebound by D. Robinson,14-1, ,,1,14,1,13,244.0
7:43.0,J. Butler makes 2-pt hook shot from 6 ft (assist by B. Adebayo),16-1, ,,1,16,1,15,257.0
7:33.0, ,16-1,A. Caruso misses 3-pt jump shot from 22 ft,,1,16,1,15,267.0
7:30.0,Defensive rebound by B. Adebayo,16-1, ,,1,16,1,15,270.0
7:12.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Robinson),18-1, ,,1,18,1,17,288.0
6:48.0, ,18-1,N. Vučević misses 2-pt jump shot from 13 ft,,1,18,1,17,312.0
6:46.0,Defensive rebound by J. Butler,18-1, ,,1,18,1,17,314.0
6:46.0, ,18-1,T. Craig enters the game for C. White,,1,18,1,17,314.0
6:35.0,D. Robinson misses 2-pt layup from 1 ft (block by A. Caruso),18-1, ,,1,18,1,17,325.0
6:34.0,Offensive rebound by Team,18-1, ,,1,18,1,17,326.0
6:29.0,B. Adebayo makes 2-pt jump shot from 16 ft,20-1, ,,1,20,1,19,331.0
6:12.0, ,20-1,Z. LaVine misses 3-pt jump shot from 24 ft,,1,20,1,19,348.0
6:09.0,Defensive rebound by B. Adebayo,20-1, ,,1,20,1,19,351.0
5:51.0,Turnover by J. Butler (lost ball; steal by N. Vučević),20-1, ,,1,20,1,19,369.0
5:48.0, ,20-1,Offensive foul by D. DeRozan (drawn by K. Lowry),,1,20,1,19,372.0
5:48.0, ,20-1,Turnover by D. DeRozan (offensive foul),,1,20,1,19,372.0
5:48.0, ,20-1,Chicago full timeout,,1,20,1,19,372.0
5:48.0, ,20-1,Instant Replay (Challenge: Ruling Stands),,1,20,1,19,372.0
5:48.0,J. Jaquez enters the game for B. Adebayo,20-1, ,,1,20,1,19,372.0
5:48.0,K. Love enters the game for D. Robinson,20-1, ,,1,20,1,19,372.0
5:30.0,J. Jaquez makes 2-pt jump shot from 15 ft (assist by J. Butler),22-1, ,,1,22,1,21,390.0
5:11.0, ,22-1,T. Craig misses 3-pt jump shot from 25 ft,,1,22,1,21,409.0
5:08.0,Defensive rebound by H. Highsmith,22-1, ,,1,22,1,21,412.0
4:56.0,K. Love misses 3-pt jump shot from 27 ft,22-1, ,,1,22,1,21,424.0
4:53.0, ,22-1,Defensive rebound by Z. LaVine,,1,22,1,21,427.0
4:48.0, ,22-3,Z. LaVine makes 2-pt jump shot from 6 ft,,1,22,3,19,432.0
4:37.0,Turnover by J. Jaquez (lost ball; steal by Z. LaVine),22-3, ,,1,22,3,19,443.0
4:19.0, ,22-3,D. DeRozan misses 3-pt jump shot from 25 ft,,1,22,3,19,461.0
4:16.0,Defensive rebound by K. Love,22-3, ,,1,22,3,19,464.0
3:59.0,J. Butler makes 2-pt jump shot from 11 ft,24-3, ,,1,24,3,21,481.0
3:46.0, ,24-5,N. Vučević makes 2-pt hook shot from 7 ft (assist by A. Caruso),,1,24,5,19,494.0
3:31.0,K. Love misses 3-pt jump shot from 25 ft,24-5, ,,1,24,5,19,509.0
3:27.0, ,24-5,Defensive rebound by Z. LaVine,,1,24,5,19,513.0
3:23.0, ,24-5,Personal foul by K. Love (drawn by N. Vučević),,1,24,5,19,517.0
3:23.0,J. Richardson enters the game for K. Lowry,24-5, ,,1,24,5,19,517.0
3:23.0, ,24-5,J. Carter enters the game for A. Caruso,,1,24,5,19,517.0
3:23.0, ,24-5,A. Dosunmu enters the game for D. DeRozan,,1,24,5,19,517.0
3:16.0, ,24-5,J. Carter misses 3-pt jump shot from 25 ft,,1,24,5,19,524.0
3:15.0, ,24-5,Offensive rebound by T. Craig,,1,24,5,19,525.0
