Time,Chicago,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. O. Robinson (C. White gains possession),0-0,,,1,0,0,0,0.0
11:47.0,N. Vučević misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,13.0
11:43.0,Offensive rebound by A. Dosunmu,0-0, ,,1,0,0,0,17.0
11:41.0,C. White misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,19.0
11:41.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,19.0
11:32.0, ,0-0,J. Butler misses 3-pt jump shot from 23 ft,,1,0,0,0,28.0
11:31.0, ,0-0,Offensive rebound by Team,,1,0,0,0,29.0
11:31.0,Loose ball foul by P. Williams (drawn by O. Robinson),0-0, ,,1,0,0,0,29.0
11:17.0, ,0-2,J. Butler makes 2-pt layup from 2 ft,,1,2,0,2,43.0
11:07.0,A. Dosunmu makes 3-pt jump shot from 26 ft,3-2, ,Lead change,1,2,3,-1,53.0
10:51.0,Violation by Team (kicked ball),3-2, ,,1,2,3,-1,69.0
10:38.0, ,3-2,O. Robinson misses 3-pt jump shot from 26 ft,,1,2,3,-1,82.0
10:35.0,Defensive rebound by C. White,3-2, ,,1,2,3,-1,85.0
10:28.0,Offensive foul by P. Williams (drawn by K. Lowry),3-2, ,,1,2,3,-1,92.0
10:28.0,Turnover by P. Williams (offensive foul),3-2, ,,1,2,3,-1,92.0
10:11.0, ,3-2,Shooting foul by C. White (drawn by J. Butler),,1,2,3,-1,109.0
10:11.0, ,3-3,J. Butler makes free throw 1 of 2,Tie,1,3,3,0,109.0
10:11.0,T. Craig enters the game for P. Williams,3-3, ,,1,3,3,0,109.0
10:11.0, ,3-4,J. Butler makes free throw 2 of 2,Lead change,1,4,3,1,109.0
9:56.0,T. Craig misses 2-pt layup from 2 ft,3-4, ,,1,4,3,1,124.0
9:56.0, ,3-4,Defensive rebound by Team,,1,4,3,1,124.0
9:42.0, ,3-7,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,1,7,3,4,138.0
9:26.0,T. Craig misses 3-pt jump shot from 26 ft,3-7, ,,1,7,3,4,154.0
9:25.0,Offensive rebound by Team,3-7, ,,1,7,3,4,155.0
9:20.0,Turnover by N. Vučević (bad pass),3-7, ,,1,7,3,4,160.0
9:10.0, ,3-9,J. Butler makes 2-pt dunk from 2 ft (assist by C. Martin),,1,9,3,6,170.0
8:45.0,Turnover by C. White (bad pass; steal by J. Butler),3-9, ,,1,9,3,6,195.0
8:38.0, ,3-11,J. Butler makes 2-pt dunk from 1 ft (assist by D. Robinson),,1,11,3,8,202.0
8:38.0,Chicago full timeout,3-11, ,,1,11,3,8,202.0
8:22.0,Shooting foul by O. Robinson (drawn by T. Craig),3-11, ,,1,11,3,8,218.0
8:22.0,T. Craig makes free throw 1 of 2,4-11, ,,1,11,4,7,218.0
8:22.0,T. Craig misses free throw 2 of 2,4-11, ,,1,11,4,7,218.0
8:19.0, ,4-11,Defensive rebound by D. Robinson,,1,11,4,7,221.0
7:59.0, ,4-13,O. Robinson makes 2-pt layup from 3 ft (assist by D. Robinson),,1,13,4,9,241.0
7:38.0,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),7-13, ,,1,13,7,6,262.0
7:31.0, ,7-13,D. Robinson misses 3-pt jump shot from 25 ft,,1,13,7,6,269.0
7:27.0,Defensive rebound by N. Vučević,7-13, ,,1,13,7,6,273.0
7:07.0,A. Dosunmu misses 2-pt jump shot from 17 ft,7-13, ,,1,13,7,6,293.0
7:06.0,Offensive rebound by Team,7-13, ,,1,13,7,6,294.0
7:06.0,Turnover by Team (shot clock),7-13, ,,1,13,7,6,294.0
6:49.0, ,7-13,O. Robinson misses 2-pt hook shot from 10 ft,,1,13,7,6,311.0
6:47.0,Defensive rebound by N. Vučević,7-13, ,,1,13,7,6,313.0
6:29.0,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),10-13, ,,1,13,10,3,331.0
