Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: R. Gobert vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,C. Martin misses 2-pt jump shot from 11 ft,,1,0,0,0,17.0
11:40.0,Defensive rebound by K. Towns,0-0, ,,1,0,0,0,20.0
11:31.0,Turnover by A. Edwards (bad pass; steal by B. Adebayo),0-0, ,,1,0,0,0,29.0
11:28.0, ,0-2,B. Adebayo makes 2-pt dunk from 1 ft (assist by C. Martin),,1,2,0,2,32.0
11:06.0,J. McDaniels misses 2-pt jump shot from 8 ft,0-2, ,,1,2,0,2,54.0
11:04.0, ,0-2,Defensive rebound by K. Love,,1,2,0,2,56.0
10:49.0, ,0-2,B. Adebayo misses 2-pt layup from 8 ft (block by J. McDaniels),,1,2,0,2,71.0
10:47.0, ,0-2,Offensive rebound by T. Herro,,1,2,0,2,73.0
10:46.0, ,0-2,Personal foul by R. Gobert (drawn by B. Adebayo),,1,2,0,2,74.0
10:42.0, ,0-2,K. Love misses 3-pt jump shot from 26 ft,,1,2,0,2,78.0
10:38.0,Defensive rebound by R. Gobert,0-2, ,,1,2,0,2,82.0
10:28.0,K. Towns misses 2-pt jump shot from 14 ft,0-2, ,,1,2,0,2,92.0
10:26.0, ,0-2,Defensive rebound by T. Herro,,1,2,0,2,94.0
10:18.0, ,0-2,K. Love misses 3-pt jump shot from 27 ft,,1,2,0,2,102.0
10:15.0,Defensive rebound by R. Gobert,0-2, ,,1,2,0,2,105.0
10:01.0,J. McDaniels misses 2-pt jump shot from 3 ft,0-2, ,,1,2,0,2,119.0
9:54.0,Offensive rebound by J. McDaniels,0-2, ,,1,2,0,2,126.0
9:54.0,J. McDaniels misses 2-pt dunk at rim,0-2, ,,1,2,0,2,126.0
9:54.0, ,0-2,Defensive rebound by C. Martin,,1,2,0,2,126.0
9:46.0, ,0-2,B. Adebayo misses 2-pt jump shot from 7 ft,,1,2,0,2,134.0
9:44.0,Defensive rebound by M. Conley,0-2, ,,1,2,0,2,136.0
9:33.0,A. Edwards makes 2-pt layup from 2 ft (assist by M. Conley),2-2, ,Tie,1,2,2,0,147.0
9:21.0, ,2-2,B. Adebayo misses 2-pt jump shot from 13 ft,,1,2,2,0,159.0
9:17.0,Defensive rebound by R. Gobert,2-2, ,,1,2,2,0,163.0
9:14.0,J. McDaniels makes 2-pt layup from 2 ft,4-2, ,Lead change,1,2,4,-2,166.0
8:56.0, ,4-2,B. Adebayo misses 2-pt hook shot from 4 ft,,1,2,4,-2,184.0
8:54.0, ,4-2,Offensive rebound by J. Butler,,1,2,4,-2,186.0
8:54.0, ,4-4,T. Herro makes 2-pt jump shot from 8 ft (assist by J. Butler),Tie,1,4,4,0,186.0
8:40.0,Personal foul by B. Adebayo (drawn by K. Towns),4-4, ,,1,4,4,0,200.0
8:30.0,Turnover by J. McDaniels (out of bounds lost ball),4-4, ,,1,4,4,0,210.0
8:19.0, ,4-4,J. Butler misses 2-pt jump shot from 10 ft (block by A. Edwards),,1,4,4,0,221.0
8:16.0, ,4-4,Offensive rebound by J. Butler,,1,4,4,0,224.0
8:16.0, ,4-4,Turnover by J. Butler (bad pass),,1,4,4,0,224.0
8:09.0,Turnover by J. McDaniels (bad pass),4-4, ,,1,4,4,0,231.0
7:46.0, ,4-6,T. Herro makes 2-pt jump shot from 13 ft,Lead change,1,6,4,2,254.0
7:35.0,R. Gobert makes 2-pt layup from 1 ft (assist by M. Conley),6-6, ,Tie,1,6,6,0,265.0
7:24.0, ,6-8,C. Martin makes 2-pt layup from 2 ft,,1,8,6,2,276.0
7:09.0,J. McDaniels makes 2-pt dunk from 1 ft (assist by R. Gobert),8-8, ,Tie,1,8,8,0,291.0
