Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Sengun vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:31.0, ,0-0,N. Jović misses 3-pt jump shot from 26 ft,,1,0,0,0,29.0
11:29.0,Defensive rebound by A. Sengun,0-0, ,,1,0,0,0,31.0
11:19.0,J. Tate makes 2-pt layup from 7 ft (assist by J. Green),2-0, ,,1,0,2,-2,41.0
11:10.0, ,2-0,Personal foul by F. VanVleet (drawn by T. Herro),,1,0,2,-2,50.0
11:05.0, ,2-0,T. Herro misses 3-pt jump shot from 26 ft,,1,0,2,-2,55.0
11:03.0,Defensive rebound by Team,2-0, ,,1,0,2,-2,57.0
10:46.0,J. Smith misses 2-pt jump shot from 17 ft (block by K. Lowry),2-0, ,,1,0,2,-2,74.0
10:44.0, ,2-0,Defensive rebound by N. Jović,,1,0,2,-2,76.0
10:44.0, ,2-0,Turnover by N. Jović (bad pass),,1,0,2,-2,76.0
10:36.0,J. Green misses 3-pt jump shot from 27 ft,2-0, ,,1,0,2,-2,84.0
10:32.0, ,2-0,Defensive rebound by N. Jović,,1,0,2,-2,88.0
10:17.0, ,2-2,B. Adebayo makes 2-pt jump shot from 10 ft,Tie,1,2,2,0,103.0
9:54.0,Offensive foul by J. Green (drawn by N. Jović),2-2, ,,1,2,2,0,126.0
9:54.0,Turnover by J. Green (offensive foul),2-2, ,,1,2,2,0,126.0
9:44.0, ,2-2,Turnover by T. Herro (lost ball; steal by J. Tate),,1,2,2,0,136.0
9:18.0,J. Tate misses 2-pt jump shot from 22 ft,2-2, ,,1,2,2,0,162.0
9:16.0, ,2-2,Defensive rebound by J. Jaquez,,1,2,2,0,164.0
9:13.0, ,2-4,N. Jović makes 2-pt layup from 4 ft (assist by J. Jaquez),Lead change,1,4,2,2,167.0
9:04.0,J. Smith misses 2-pt jump shot from 15 ft (block by N. Jović),2-4, ,,1,4,2,2,176.0
9:04.0,Offensive rebound by J. Smith,2-4, ,,1,4,2,2,176.0
8:57.0,J. Green misses 3-pt jump shot from 29 ft,2-4, ,,1,4,2,2,183.0
8:53.0, ,2-4,Defensive rebound by J. Jaquez,,1,4,2,2,187.0
8:43.0, ,2-6,T. Herro makes 2-pt jump shot from 7 ft (assist by B. Adebayo),,1,6,2,4,197.0
8:30.0,Personal foul by B. Adebayo (drawn by A. Sengun),2-6, ,,1,6,2,4,210.0
8:23.0,F. VanVleet makes 3-pt jump shot from 25 ft,5-6, ,,1,6,5,1,217.0
8:11.0, ,5-6,Personal foul by A. Sengun (drawn by K. Lowry),,1,6,5,1,229.0
7:58.0, ,5-6,K. Lowry misses 2-pt jump shot from 8 ft,,1,6,5,1,242.0
7:56.0, ,5-6,Offensive rebound by N. Jović,,1,6,5,1,244.0
7:56.0, ,5-6,N. Jović misses 2-pt layup from 1 ft,,1,6,5,1,244.0
7:56.0, ,5-6,Offensive rebound by K. Lowry,,1,6,5,1,244.0
7:41.0, ,5-8,K. Lowry makes 2-pt layup at rim,,1,8,5,3,259.0
7:38.0,F. VanVleet makes 2-pt jump shot from 22 ft,7-8, ,,1,8,7,1,262.0
7:19.0, ,7-10,J. Jaquez makes 2-pt hook shot from 5 ft,,1,10,7,3,281.0
7:07.0,Shooting foul by B. Adebayo (drawn by J. Green),7-10, ,,1,10,7,3,293.0
7:07.0,J. Green makes free throw 1 of 2,8-10, ,,1,10,8,2,293.0
