Time,Oklahoma City,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Holmgren vs. B. Adebayo (H. Highsmith gains possession),0-0,,,1,0,0,0,0.0
11:34.0, ,0-0,T. Herro misses 2-pt layup from 6 ft,,1,0,0,0,26.0
11:29.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,31.0
11:29.0, ,0-0,B. Adebayo misses 2-pt layup at rim,,1,0,0,0,31.0
11:28.0,Defensive rebound by S. Gilgeous-Alexander,0-0, ,,1,0,0,0,32.0
11:26.0,C. Holmgren misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,34.0
11:26.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,34.0
11:09.0, ,0-3,H. Highsmith makes 3-pt jump shot from 23 ft (assist by T. Herro),,1,3,0,3,51.0
10:53.0,C. Holmgren misses 2-pt jump shot from 18 ft,0-3, ,,1,3,0,3,67.0
10:50.0, ,0-3,Defensive rebound by T. Herro,,1,3,0,3,70.0
10:39.0, ,0-6,J. Jaquez makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,1,6,0,6,81.0
10:21.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,2-6, ,,1,6,2,4,99.0
10:09.0, ,2-8,T. Herro makes 2-pt jump shot from 12 ft,,1,8,2,6,111.0
10:01.0,Turnover by J. Williams (step out of bounds),2-8, ,,1,8,2,6,119.0
9:46.0, ,2-11,N. Jović makes 3-pt jump shot from 23 ft (assist by H. Highsmith),,1,11,2,9,134.0
9:25.0,J. Giddey makes 2-pt jump shot from 14 ft,4-11, ,,1,11,4,7,155.0
9:13.0, ,4-11,Def 3 sec tech foul by Team,,1,11,4,7,167.0
9:13.0, ,4-11,T. Herro misses technical free throw,,1,11,4,7,167.0
9:13.0, ,4-11,Offensive rebound by Team,,1,11,4,7,167.0
9:02.0, ,4-13,T. Herro makes 2-pt jump shot from 6 ft,,1,13,4,9,178.0
8:53.0,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,6-13, ,,1,13,6,7,187.0
8:35.0, ,6-15,H. Highsmith makes 2-pt layup from 7 ft (assist by B. Adebayo),,1,15,6,9,205.0
8:21.0,L. Dort misses 2-pt layup from 5 ft (block by N. Jović),6-15, ,,1,15,6,9,219.0
8:21.0,Offensive rebound by Team,6-15, ,,1,15,6,9,219.0
8:14.0,L. Dort misses 2-pt jump shot from 15 ft,6-15, ,,1,15,6,9,226.0
8:10.0, ,6-15,Defensive rebound by H. Highsmith,,1,15,6,9,230.0
8:03.0, ,6-15,H. Highsmith misses 3-pt jump shot from 27 ft,,1,15,6,9,237.0
7:59.0,Defensive rebound by L. Dort,6-15, ,,1,15,6,9,241.0
7:48.0,C. Holmgren makes 2-pt dunk from 5 ft,8-15, ,,1,15,8,7,252.0
7:37.0, ,8-17,T. Herro makes 2-pt jump shot from 12 ft,,1,17,8,9,263.0
7:37.0, ,8-17,Shooting foul by L. Dort (drawn by T. Herro),,1,17,8,9,263.0
7:37.0,C. Wallace enters the game for L. Dort,8-17, ,,1,17,8,9,263.0
7:37.0, ,8-18,T. Herro makes free throw 1 of 1,,1,18,8,10,263.0
7:26.0,Turnover by C. Holmgren (bad pass; steal by N. Jović),8-18, ,,1,18,8,10,274.0
7:09.0, ,8-18,H. Highsmith misses 2-pt jump shot from 9 ft,,1,18,8,10,291.0
7:06.0,Defensive rebound by J. Williams,8-18, ,,1,18,8,10,294.0
6:56.0,C. Holmgren makes 2-pt hook shot from 6 ft (assist by J. Williams),10-18, ,,1,18,10,8,304.0
6:56.0,Shooting foul by J. Jaquez (drawn by C. Holmgren),10-18, ,,1,18,10,8,304.0
6:56.0, ,10-18,Miami full timeout,,1,18,10,8,304.0
6:56.0,I. Joe enters the game for J. Giddey,10-18, ,,1,18,10,8,304.0
6:56.0,K. Williams enters the game for J. Williams,10-18, ,,1,18,10,8,304.0
6:56.0,C. Holmgren makes free throw 1 of 1,11-18, ,,1,18,11,7,304.0
6:46.0, ,11-18,Turnover by N. Jović (lost ball; steal by S. Gilgeous-Alexander),,1,18,11,7,314.0
6:39.0,S. Gilgeous-Alexander makes 2-pt layup from 5 ft,13-18, ,,1,18,13,5,321.0
6:18.0, ,13-21,H. Highsmith makes 3-pt jump shot from 25 ft (assist by N. Jović),,1,21,13,8,342.0
6:02.0,S. Gilgeous-Alexander misses 2-pt layup from 6 ft,13-21, ,,1,21,13,8,358.0
5:59.0, ,13-21,Defensive rebound by J. Jaquez,,1,21,13,8,361.0
5:48.0, ,13-23,B. Adebayo makes 2-pt jump shot from 9 ft,,1,23,13,10,372.0
5:34.0,Personal foul by T. Herro (drawn by C. Wallace),13-23, ,,1,23,13,10,386.0
5:34.0,J. Williams enters the game for C. Holmgren,13-23, ,,1,23,13,10,386.0
5:34.0, ,13-23,K. Love enters the game for B. Adebayo,,1,23,13,10,386.0
5:34.0, ,13-23,J. Richardson enters the game for J. Jaquez,,1,23,13,10,386.0
5:27.0,I. Joe makes 2-pt layup from 5 ft (assist by J. Williams),15-23, ,,1,23,15,8,393.0
5:07.0, ,15-23,N. Jović misses 3-pt jump shot from 28 ft,,1,23,15,8,413.0
5:04.0,Defensive rebound by I. Joe,15-23, ,,1,23,15,8,416.0
4:47.0,I. Joe misses 3-pt jump shot from 26 ft,15-23, ,,1,23,15,8,433.0
4:44.0, ,15-23,Defensive rebound by K. Love,,1,23,15,8,436.0
4:34.0, ,15-25,K. Love makes 2-pt jump shot from 9 ft,,1,25,15,10,446.0
4:20.0,J. Williams makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),18-25, ,,1,25,18,7,460.0
3:58.0, ,18-25,T. Herro misses 3-pt jump shot from 24 ft,,1,25,18,7,482.0
3:58.0,Defensive rebound by K. Williams,18-25, ,,1,25,18,7,482.0
3:48.0,S. Gilgeous-Alexander makes 2-pt jump shot from 5 ft,20-25, ,,1,25,20,5,492.0
3:48.0,Shooting foul by N. Jović (drawn by S. Gilgeous-Alexander),20-25, ,,1,25,20,5,492.0
3:48.0,S. Gilgeous-Alexander makes free throw 1 of 1,21-25, ,,1,25,21,4,492.0
3:26.0, ,21-25,Shooting foul by J. Williams (drawn by K. Love),,1,25,21,4,514.0
3:26.0, ,21-26,K. Love makes free throw 1 of 2,,1,26,21,5,514.0
3:26.0, ,21-26,D. Robinson enters the game for N. Jović,,1,26,21,5,514.0
3:26.0, ,21-27,K. Love makes free throw 2 of 2,,1,27,21,6,514.0
3:02.0,K. Williams makes 2-pt layup from 5 ft (assist by J. Williams),23-27, ,,1,27,23,4,538.0
2:47.0, ,23-29,K. Love makes 2-pt layup from 5 ft (assist by H. Highsmith),,1,29,23,6,553.0
2:47.0,Oklahoma City full timeout,23-29, ,,1,29,23,6,553.0
2:34.0,C. Wallace makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),25-29, ,,1,29,25,4,566.0
2:20.0, ,25-31,K. Love makes 2-pt jump shot from 6 ft (assist by J. Richardson),,1,31,25,6,580.0
2:03.0,J. Williams misses 3-pt jump shot from 24 ft,25-31, ,,1,31,25,6,597.0
2:01.0, ,25-31,Defensive rebound by T. Herro,,1,31,25,6,599.0
1:51.0, ,25-31,J. Richardson misses 3-pt jump shot from 28 ft,,1,31,25,6,609.0
1:49.0,Defensive rebound by J. Williams,25-31, ,,1,31,25,6,611.0
1:40.0,Turnover by K. Williams (bad pass; steal by J. Richardson),25-31, ,,1,31,25,6,620.0
1:25.0, ,25-33,T. Herro makes 2-pt jump shot from 14 ft,,1,33,25,8,635.0
1:08.0,Turnover by K. Williams (bad pass; steal by H. Highsmith),25-33, ,,1,33,25,8,652.0
1:04.0, ,25-33,Turnover by J. Richardson (traveling),,1,33,25,8,656.0
1:04.0,J. Williams enters the game for K. Williams,25-33, ,,1,33,25,8,656.0
1:04.0, ,25-33,B. Adebayo enters the game for T. Herro,,1,33,25,8,656.0
1:04.0, ,25-33,J. Jaquez enters the game for H. Highsmith,,1,33,25,8,656.0
0:47.0,J. Williams makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),27-33, ,,1,33,27,6,673.0
0:26.0, ,27-35,B. Adebayo makes 2-pt jump shot from 9 ft,,1,35,27,8,694.0
0:04.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,29-35, ,,1,35,29,6,716.0
0:01.0, ,29-35,D. Robinson misses 3-pt jump shot from 32 ft,,1,35,29,6,719.0
0:00.0, ,29-35,Offensive rebound by Team,,1,35,29,6,720.0
0:00.0,End of 1st quarter,29-35,,,1,35,29,6,720.0
12:00.0,Start of 2nd quarter,29-35,,,2,35,29,6,720.0
11:48.0,J. Williams makes 2-pt layup from 5 ft (assist by C. Holmgren),31-35, ,,2,35,31,4,732.0
11:27.0, ,31-38,D. Robinson makes 3-pt jump shot from 26 ft,,2,38,31,7,753.0
11:10.0,J. Williams makes 2-pt jump shot from 17 ft,33-38, ,,2,38,33,5,770.0
10:49.0, ,33-38,D. Robinson misses 2-pt hook shot from 7 ft,,2,38,33,5,791.0
10:47.0, ,33-38,Offensive rebound by K. Love,,2,38,33,5,793.0
10:46.0, ,33-38,Shooting foul by C. Holmgren (drawn by J. Jaquez),,2,38,33,5,794.0
10:46.0, ,33-39,J. Jaquez makes free throw 1 of 2,,2,39,33,6,794.0
10:46.0, ,33-39,J. Jaquez misses free throw 2 of 2,,2,39,33,6,794.0
10:42.0,Defensive rebound by C. Holmgren,33-39, ,,2,39,33,6,798.0
10:24.0,L. Dort makes 2-pt layup from 4 ft (assist by V. Micić),35-39, ,,2,39,35,4,816.0
10:09.0, ,35-39,D. Robinson misses 3-pt jump shot from 23 ft,,2,39,35,4,831.0
