Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Bitadze vs. B. Adebayo (H. Highsmith gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-3,N. Jović makes 3-pt jump shot from 23 ft (assist by D. Robinson),,1,3,0,3,19.0
11:21.0,J. Suggs misses 3-pt jump shot from 25 ft,0-3, ,,1,3,0,3,39.0
11:17.0, ,0-3,Defensive rebound by B. Adebayo,,1,3,0,3,43.0
11:12.0, ,0-3,J. Jaquez misses 3-pt jump shot from 24 ft,,1,3,0,3,48.0
11:08.0,Defensive rebound by G. Bitadze,0-3, ,,1,3,0,3,52.0
10:56.0,C. Okeke makes 2-pt layup from 3 ft,2-3, ,,1,3,2,1,64.0
10:46.0, ,2-6,D. Robinson makes 3-pt jump shot from 26 ft (assist by N. Jović),,1,6,2,4,74.0
10:35.0,P. Banchero makes 2-pt layup from 1 ft,4-6, ,,1,6,4,2,85.0
10:17.0, ,4-9,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,1,9,4,5,103.0
10:17.0, ,4-9,Shooting foul by J. Suggs (drawn by D. Robinson),,1,9,4,5,103.0
10:17.0, ,4-10,D. Robinson makes free throw 1 of 1,,1,10,4,6,103.0
10:06.0,P. Banchero makes 2-pt jump shot from 13 ft (assist by G. Bitadze),6-10, ,,1,10,6,4,114.0
9:54.0, ,6-10,Turnover by B. Adebayo (bad pass),,1,10,6,4,126.0
9:36.0,C. Houstan misses 3-pt jump shot from 26 ft,6-10, ,,1,10,6,4,144.0
9:32.0,Offensive rebound by P. Banchero,6-10, ,,1,10,6,4,148.0
9:28.0,C. Okeke makes 3-pt jump shot from 23 ft (assist by C. Houstan),9-10, ,,1,10,9,1,152.0
9:09.0, ,9-10,D. Robinson misses 2-pt jump shot from 11 ft (block by J. Suggs),,1,10,9,1,171.0
9:04.0,Defensive rebound by G. Bitadze,9-10, ,,1,10,9,1,176.0
8:58.0,C. Okeke makes 3-pt jump shot from 24 ft (assist by C. Houstan),12-10, ,Lead change,1,10,12,-2,182.0
8:46.0, ,12-10,H. Highsmith misses 3-pt jump shot from 23 ft,,1,10,12,-2,194.0
8:46.0, ,12-10,Offensive rebound by Team,,1,10,12,-2,194.0
8:43.0,Loose ball foul by C. Houstan (drawn by N. Jović),12-10, ,,1,10,12,-2,197.0
8:32.0, ,12-10,D. Robinson misses 3-pt jump shot from 25 ft (block by J. Suggs),,1,10,12,-2,208.0
8:31.0, ,12-10,Offensive rebound by D. Robinson,,1,10,12,-2,209.0
8:30.0, ,12-10,D. Robinson misses 3-pt jump shot from 25 ft (block by J. Suggs),,1,10,12,-2,210.0
8:30.0, ,12-10,Offensive rebound by J. Jaquez,,1,10,12,-2,210.0
8:28.0, ,12-10,Turnover by J. Jaquez (step out of bounds),,1,10,12,-2,212.0
8:11.0,P. Banchero misses 2-pt jump shot from 17 ft,12-10, ,,1,10,12,-2,229.0
8:07.0, ,12-10,Defensive rebound by B. Adebayo,,1,10,12,-2,233.0
7:55.0, ,12-10,N. Jović misses 2-pt layup from 4 ft,,1,10,12,-2,245.0
7:53.0, ,12-10,Offensive rebound by B. Adebayo,,1,10,12,-2,247.0
7:52.0, ,12-12,J. Jaquez makes 2-pt layup from 4 ft (assist by B. Adebayo),Tie,1,12,12,0,248.0
7:52.0, ,12-12,Shooting foul by P. Banchero (drawn by J. Jaquez),,1,12,12,0,248.0
7:52.0, ,12-13,J. Jaquez makes free throw 1 of 1,Lead change,1,13,12,1,248.0
7:33.0,P. Banchero misses 3-pt jump shot from 26 ft,12-13, ,,1,13,12,1,267.0
7:30.0, ,12-13,Defensive rebound by N. Jović,,1,13,12,1,270.0
7:20.0, ,12-13,Shooting foul by J. Suggs (drawn by B. Adebayo),,1,13,12,1,280.0
7:20.0, ,12-14,B. Adebayo makes free throw 1 of 2,,1,14,12,2,280.0
7:20.0, ,12-15,B. Adebayo makes free throw 2 of 2,,1,15,12,3,280.0
7:03.0,Shooting foul by H. Highsmith (drawn by G. Bitadze),12-15, ,,1,15,12,3,297.0
7:03.0,G. Bitadze misses free throw 1 of 2,12-15, ,,1,15,12,3,297.0
7:03.0,Offensive rebound by Team,12-15, ,,1,15,12,3,297.0
7:03.0,G. Bitadze misses free throw 2 of 2,12-15, ,,1,15,12,3,297.0
7:01.0, ,12-15,Defensive rebound by B. Adebayo,,1,15,12,3,299.0
6:46.0, ,12-15,N. Jović misses 3-pt jump shot from 23 ft,,1,15,12,3,314.0
6:43.0,Defensive rebound by C. Okeke,12-15, ,,1,15,12,3,317.0
6:28.0,J. Suggs makes 2-pt jump shot from 12 ft,14-15, ,,1,15,14,1,332.0
6:18.0, ,14-15,J. Jaquez misses 2-pt layup from 3 ft,,1,15,14,1,342.0
6:13.0, ,14-15,Offensive rebound by B. Adebayo,,1,15,14,1,347.0
6:13.0, ,14-15,B. Adebayo misses 2-pt layup at rim,,1,15,14,1,347.0
6:12.0,Defensive rebound by G. Bitadze,14-15, ,,1,15,14,1,348.0
6:11.0,C. Houstan misses 3-pt jump shot from 24 ft,14-15, ,,1,15,14,1,349.0
6:07.0, ,14-15,Defensive rebound by H. Highsmith,,1,15,14,1,353.0
6:06.0, ,14-15,Miami full timeout,,1,15,14,1,354.0
6:06.0,M. Fultz enters the game for C. Okeke,14-15, ,,1,15,14,1,354.0
5:53.0, ,14-18,H. Highsmith makes 3-pt jump shot from 23 ft (assist by D. Robinson),,1,18,14,4,367.0
5:26.0,P. Banchero misses 2-pt jump shot from 13 ft,14-18, ,,1,18,14,4,394.0
5:21.0, ,14-18,Defensive rebound by H. Highsmith,,1,18,14,4,399.0
5:02.0, ,14-18,D. Robinson misses 3-pt jump shot from 23 ft,,1,18,14,4,418.0
4:59.0, ,14-18,Offensive rebound by H. Highsmith,,1,18,14,4,421.0
4:54.0, ,14-18,J. Jaquez misses 3-pt jump shot from 27 ft,,1,18,14,4,426.0
4:50.0,Defensive rebound by G. Bitadze,14-18, ,,1,18,14,4,430.0
4:43.0,J. Suggs misses 3-pt jump shot from 28 ft,14-18, ,,1,18,14,4,437.0
4:38.0, ,14-18,Defensive rebound by B. Adebayo,,1,18,14,4,442.0
4:27.0, ,14-18,B. Adebayo misses 2-pt jump shot from 12 ft,,1,18,14,4,453.0
4:24.0,Defensive rebound by P. Banchero,14-18, ,,1,18,14,4,456.0
4:14.0,J. Suggs misses 3-pt jump shot from 27 ft,14-18, ,,1,18,14,4,466.0
4:10.0, ,14-18,Defensive rebound by B. Adebayo,,1,18,14,4,470.0
