Time,Miami,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Claxton (S. Dinwiddie gains possession),0-0,,,1,0,0,0,0.0
11:33.0, ,0-0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,1,0,0,0,27.0
11:31.0,Defensive rebound by K. Lowry,0-0, ,,1,0,0,0,29.0
11:09.0,N. Jović misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,51.0
11:05.0, ,0-0,Defensive rebound by M. Bridges,,1,0,0,0,55.0
11:01.0, ,0-0,M. Bridges misses 3-pt jump shot from 26 ft,,1,0,0,0,59.0
10:54.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,66.0
10:52.0,T. Herro misses 2-pt layup from 2 ft (block by N. Claxton),0-0, ,,1,0,0,0,68.0
10:52.0,Offensive rebound by Team,0-0, ,,1,0,0,0,68.0
10:45.0,T. Herro misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,75.0
10:40.0,Offensive rebound by J. Butler,0-0, ,,1,0,0,0,80.0
10:36.0,K. Lowry misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,84.0
10:31.0, ,0-0,Defensive rebound by C. Johnson,,1,0,0,0,89.0
10:21.0, ,0-0,C. Johnson misses 3-pt jump shot from 26 ft,,1,0,0,0,99.0
10:18.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,102.0
10:01.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),2-0, ,,1,2,0,2,119.0
9:47.0, ,2-0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,1,2,0,2,133.0
9:45.0, ,2-0,Offensive rebound by N. Claxton,,1,2,0,2,135.0
9:43.0, ,2-3,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by N. Claxton),Lead change,1,2,3,-1,137.0
9:21.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. Herro),4-3, ,Lead change,1,4,3,1,159.0
8:57.0, ,4-3,C. Johnson misses 2-pt layup from 2 ft,,1,4,3,1,183.0
8:54.0,Defensive rebound by B. Adebayo,4-3, ,,1,4,3,1,186.0
8:50.0,N. Jović makes 2-pt layup from 1 ft (assist by B. Adebayo),6-3, ,,1,6,3,3,190.0
8:40.0, ,6-3,S. Dinwiddie misses 3-pt jump shot from 25 ft,,1,6,3,3,200.0
