Time,Miami,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. W. Carter (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:38.0,N. Jović misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,22.0
11:37.0,Offensive rebound by Team,0-0, ,,1,0,0,0,23.0
11:35.0,B. Adebayo misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,25.0
11:30.0, ,0-0,Defensive rebound by P. Banchero,,1,0,0,0,30.0
11:17.0, ,0-0,W. Carter misses 2-pt jump shot from 9 ft,,1,0,0,0,43.0
11:13.0,Defensive rebound by J. Butler,0-0, ,,1,0,0,0,47.0
10:56.0,B. Adebayo misses 2-pt jump shot from 16 ft,0-0, ,,1,0,0,0,64.0
10:51.0, ,0-0,Defensive rebound by P. Banchero,,1,0,0,0,69.0
10:45.0, ,0-0,P. Banchero misses 2-pt jump shot from 20 ft,,1,0,0,0,75.0
10:42.0,Defensive rebound by C. Martin,0-0, ,,1,0,0,0,78.0
10:32.0,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Adebayo),3-0, ,,1,3,0,3,88.0
10:10.0, ,3-2,W. Carter makes 2-pt dunk from 3 ft (assist by F. Wagner),,1,3,2,1,110.0
10:01.0,Shooting foul by P. Banchero (drawn by B. Adebayo),3-2, ,,1,3,2,1,119.0
10:01.0,B. Adebayo makes free throw 1 of 2,4-2, ,,1,4,2,2,119.0
10:01.0,B. Adebayo makes free throw 2 of 2,5-2, ,,1,5,2,3,119.0
9:47.0, ,5-2,J. Suggs misses 3-pt jump shot from 26 ft,,1,5,2,3,133.0
9:42.0,Defensive rebound by B. Adebayo,5-2, ,,1,5,2,3,138.0
9:32.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),8-2, ,,1,8,2,6,148.0
9:11.0, ,8-4,P. Banchero makes 2-pt layup from 2 ft,,1,8,4,4,169.0
8:57.0,B. Adebayo misses 2-pt jump shot from 15 ft,8-4, ,,1,8,4,4,183.0
8:54.0, ,8-4,Defensive rebound by W. Carter,,1,8,4,4,186.0
8:40.0, ,8-4,F. Wagner misses 2-pt hook shot from 10 ft,,1,8,4,4,200.0
8:38.0,Defensive rebound by N. Jović,8-4, ,,1,8,4,4,202.0
8:37.0,Turnover by N. Jović (bad pass; steal by J. Suggs),8-4, ,,1,8,4,4,203.0
8:31.0, ,8-6,J. Suggs makes 2-pt layup from 2 ft,,1,8,6,2,209.0
8:15.0,Shooting foul by J. Suggs (drawn by B. Adebayo),8-6, ,,1,8,6,2,225.0
8:15.0,B. Adebayo makes free throw 1 of 2,9-6, ,,1,9,6,3,225.0
8:15.0,B. Adebayo makes free throw 2 of 2,10-6, ,,1,10,6,4,225.0
7:58.0, ,10-6,J. Suggs misses 3-pt jump shot from 26 ft,,1,10,6,4,242.0
7:55.0,Defensive rebound by B. Adebayo,10-6, ,,1,10,6,4,245.0
7:51.0,N. Jović misses 2-pt layup from 3 ft,10-6, ,,1,10,6,4,249.0
7:50.0, ,10-6,Defensive rebound by Team,,1,10,6,4,250.0
7:38.0, ,10-8,M. Fultz makes 2-pt layup from 3 ft,,1,10,8,2,262.0
7:19.0,T. Herro misses 3-pt jump shot from 26 ft,10-8, ,,1,10,8,2,281.0
7:15.0, ,10-8,Defensive rebound by W. Carter,,1,10,8,2,285.0
7:04.0, ,10-8,Personal foul by N. Jović (drawn by W. Carter),,1,10,8,2,296.0
6:53.0, ,10-8,F. Wagner misses 3-pt jump shot from 25 ft,,1,10,8,2,307.0
6:50.0,Defensive rebound by N. Jović,10-8, ,,1,10,8,2,310.0
6:33.0,J. Butler misses 2-pt layup from 2 ft,10-8, ,,1,10,8,2,327.0
6:31.0, ,10-8,Defensive rebound by W. Carter,,1,10,8,2,329.0
6:26.0, ,10-8,Orlando full timeout,,1,10,8,2,334.0
6:13.0, ,10-10,M. Fultz makes 2-pt layup from 4 ft (assist by F. Wagner),Tie,1,10,10,0,347.0
5:52.0,Turnover by B. Adebayo (lost ball; steal by W. Carter),10-10, ,,1,10,10,0,368.0
5:40.0, ,10-10,P. Banchero misses 3-pt jump shot from 25 ft,,1,10,10,0,380.0
5:39.0, ,10-10,Offensive rebound by Team,,1,10,10,0,381.0
5:39.0,H. Highsmith enters the game for B. Adebayo,10-10, ,,1,10,10,0,381.0
5:39.0,K. Love enters the game for N. Jović,10-10, ,,1,10,10,0,381.0
5:39.0, ,10-10,A. Black enters the game for W. Carter,,1,10,10,0,381.0
5:39.0, ,10-10,J. Ingles enters the game for M. Fultz,,1,10,10,0,381.0
5:39.0, ,10-10,M. Wagner enters the game for F. Wagner,,1,10,10,0,381.0
