Time,Boston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. B. Adebayo (D. White gains possession),0-0,,,1,0,0,0,0.0
11:56.0,Turnover by J. Holiday (back court),0-0, ,,1,0,0,0,4.0
11:35.0, ,0-2,T. Rozier makes 2-pt layup from 4 ft (assist by J. Butler),,1,2,0,2,25.0
11:18.0,D. White makes 2-pt layup from 6 ft,2-2, ,Tie,1,2,2,0,42.0
11:03.0, ,2-2,J. Butler misses 3-pt jump shot from 24 ft,,1,2,2,0,57.0
10:59.0,Defensive rebound by J. Tatum,2-2, ,,1,2,2,0,61.0
10:53.0,K. Porziņģis misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,67.0
10:49.0,Offensive rebound by J. Brown,2-2, ,,1,2,2,0,71.0
10:43.0,Shooting foul by H. Highsmith (drawn by J. Tatum),2-2, ,,1,2,2,0,77.0
10:43.0,J. Tatum makes free throw 1 of 2,3-2, ,Lead change,1,2,3,-1,77.0
10:43.0,J. Tatum makes free throw 2 of 2,4-2, ,,1,2,4,-2,77.0
10:25.0, ,4-2,Turnover by J. Butler (lost ball; steal by J. Brown),,1,2,4,-2,95.0
10:20.0,J. Holiday misses 3-pt jump shot from 29 ft,4-2, ,,1,2,4,-2,100.0
10:15.0, ,4-2,Defensive rebound by T. Herro,,1,2,4,-2,105.0
10:09.0, ,4-2,H. Highsmith misses 2-pt jump shot from 19 ft,,1,2,4,-2,111.0
10:05.0,Defensive rebound by J. Holiday,4-2, ,,1,2,4,-2,115.0
9:51.0,D. White misses 3-pt jump shot from 26 ft,4-2, ,,1,2,4,-2,129.0
9:48.0, ,4-2,Defensive rebound by T. Rozier,,1,2,4,-2,132.0
9:43.0, ,4-2,T. Rozier misses 2-pt jump shot from 10 ft,,1,2,4,-2,137.0
9:40.0,Defensive rebound by D. White,4-2, ,,1,2,4,-2,140.0
9:37.0,Shooting foul by H. Highsmith (drawn by J. Tatum),4-2, ,,1,2,4,-2,143.0
9:37.0,J. Tatum makes free throw 1 of 2,5-2, ,,1,2,5,-3,143.0
9:37.0,J. Tatum makes free throw 2 of 2,6-2, ,,1,2,6,-4,143.0
9:29.0, ,6-5,T. Herro makes 3-pt jump shot from 25 ft (assist by T. Rozier),,1,5,6,-1,151.0
9:11.0,K. Porziņģis misses 2-pt dunk from 14 ft (block by B. Adebayo),6-5, ,,1,5,6,-1,169.0
9:07.0,Offensive rebound by D. White,6-5, ,,1,5,6,-1,173.0
9:03.0,J. Brown misses 3-pt jump shot from 23 ft,6-5, ,,1,5,6,-1,177.0
9:00.0,Offensive rebound by D. White,6-5, ,,1,5,6,-1,180.0
8:59.0,D. White makes 2-pt layup from 1 ft,8-5, ,,1,5,8,-3,181.0
8:49.0, ,8-8,H. Highsmith makes 3-pt jump shot from 23 ft (assist by T. Herro),Tie,1,8,8,0,191.0
8:34.0,K. Porziņģis makes 2-pt hook shot from 6 ft (assist by J. Brown),10-8, ,,1,8,10,-2,206.0
8:16.0, ,10-8,T. Herro misses 2-pt jump shot from 11 ft,,1,8,10,-2,224.0
8:12.0,Defensive rebound by K. Porziņģis,10-8, ,,1,8,10,-2,228.0
8:08.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Brown),13-8, ,,1,8,13,-5,232.0
7:54.0, ,13-10,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),,1,10,13,-3,246.0
7:36.0,J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday),15-10, ,,1,10,15,-5,264.0
7:24.0, ,15-12,T. Herro makes 2-pt jump shot from 17 ft,,1,12,15,-3,276.0
7:12.0,J. Brown makes 2-pt jump shot from 9 ft,17-12, ,,1,12,17,-5,288.0
6:55.0, ,17-12,T. Rozier misses 3-pt jump shot from 22 ft,,1,12,17,-5,305.0
6:51.0,Defensive rebound by J. Tatum,17-12, ,,1,12,17,-5,309.0
6:42.0,Turnover by J. Brown (bad pass; steal by B. Adebayo),17-12, ,,1,12,17,-5,318.0
6:37.0, ,17-12,T. Herro misses 3-pt jump shot from 25 ft,,1,12,17,-5,323.0
6:35.0,Defensive rebound by Team,17-12, ,,1,12,17,-5,325.0
6:35.0, ,17-12,Miami full timeout,,1,12,17,-5,325.0
6:35.0,S. Hauser enters the game for J. Holiday,17-12, ,,1,12,17,-5,325.0
6:35.0,A. Horford enters the game for J. Tatum,17-12, ,,1,12,17,-5,325.0
