Time,Phoenix,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. B. Adebayo (B. Beal gains possession),0-0,,,1,0,0,0,0.0
11:36.0,B. Beal makes 2-pt jump shot from 8 ft,2-0, ,,1,0,2,-2,24.0
11:13.0, ,2-2,T. Rozier makes 2-pt jump shot from 16 ft,Tie,1,2,2,0,47.0
10:53.0,D. Booker misses 2-pt layup from 5 ft (block by B. Adebayo),2-2, ,,1,2,2,0,67.0
10:51.0, ,2-2,Defensive rebound by T. Rozier,,1,2,2,0,69.0
10:42.0, ,2-2,H. Highsmith misses 3-pt jump shot from 23 ft,,1,2,2,0,78.0
10:42.0, ,2-2,Offensive rebound by J. Butler,,1,2,2,0,78.0
10:35.0, ,2-5,T. Rozier makes 3-pt jump shot from 24 ft (assist by B. Adebayo),Lead change,1,5,2,3,85.0
10:35.0, ,2-5,Shooting foul by J. Nurkić (drawn by T. Rozier),,1,5,2,3,85.0
10:35.0, ,2-6,T. Rozier makes free throw 1 of 1,,1,6,2,4,85.0
10:20.0,D. Booker makes 2-pt jump shot from 16 ft (assist by K. Durant),4-6, ,,1,6,4,2,100.0
10:03.0, ,4-6,Turnover by T. Rozier (bad pass; steal by J. Nurkić),,1,6,4,2,117.0
9:53.0,D. Booker misses 3-pt jump shot from 24 ft,4-6, ,,1,6,4,2,127.0
9:51.0, ,4-6,Defensive rebound by B. Adebayo,,1,6,4,2,129.0
9:48.0, ,4-6,Turnover by B. Adebayo (bad pass; steal by B. Beal),,1,6,4,2,132.0
9:43.0,B. Beal makes 2-pt dunk from 2 ft,6-6, ,Tie,1,6,6,0,137.0
9:28.0, ,6-9,T. Herro makes 3-pt jump shot from 24 ft (assist by T. Rozier),,1,9,6,3,152.0
9:16.0,K. Durant misses 3-pt jump shot from 27 ft,6-9, ,,1,9,6,3,164.0
9:14.0, ,6-9,Defensive rebound by B. Adebayo,,1,9,6,3,166.0
9:09.0, ,6-11,T. Rozier makes 2-pt layup from 4 ft (assist by T. Herro),,1,11,6,5,171.0
8:48.0,J. Nurkić misses 3-pt jump shot from 26 ft,6-11, ,,1,11,6,5,192.0
8:46.0, ,6-11,Defensive rebound by B. Adebayo,,1,11,6,5,194.0
8:41.0, ,6-11,Turnover by B. Adebayo (bad pass),,1,11,6,5,199.0
8:27.0,K. Durant makes 2-pt jump shot from 16 ft (assist by B. Beal),8-11, ,,1,11,8,3,213.0
8:14.0, ,8-11,Def 3 sec tech foul by Team,,1,11,8,3,226.0
8:14.0, ,8-12,J. Butler makes technical free throw,,1,12,8,4,226.0
8:06.0, ,8-14,H. Highsmith makes 2-pt hook shot from 3 ft (assist by J. Butler),,1,14,8,6,234.0
8:06.0, ,8-14,Shooting foul by J. Nurkić (drawn by H. Highsmith),,1,14,8,6,234.0
8:06.0,D. Eubanks enters the game for J. Nurkić,8-14, ,,1,14,8,6,234.0
8:06.0, ,8-15,H. Highsmith makes free throw 1 of 1,,1,15,8,7,234.0
7:50.0,G. Allen misses 2-pt layup from 8 ft,8-15, ,,1,15,8,7,250.0
7:47.0,Offensive rebound by D. Eubanks,8-15, ,,1,15,8,7,253.0
7:47.0,D. Eubanks makes 2-pt dunk at rim,10-15, ,,1,15,10,5,253.0
7:40.0, ,10-15,Turnover by B. Adebayo (bad pass; steal by K. Durant),,1,15,10,5,260.0
7:35.0,D. Booker misses 2-pt layup from 9 ft,10-15, ,,1,15,10,5,265.0
7:31.0, ,10-15,Defensive rebound by H. Highsmith,,1,15,10,5,269.0
7:20.0, ,10-15,T. Herro misses 3-pt jump shot from 24 ft,,1,15,10,5,280.0
7:17.0,Defensive rebound by G. Allen,10-15, ,,1,15,10,5,283.0
7:10.0, ,10-15,Violation by Team (kicked ball),,1,15,10,5,290.0
7:10.0, ,10-15,K. Love enters the game for B. Adebayo,,1,15,10,5,290.0
7:10.0, ,10-15,D. Robinson enters the game for T. Herro,,1,15,10,5,290.0
7:03.0,D. Eubanks makes 2-pt layup from 3 ft (assist by K. Durant),12-15, ,,1,15,12,3,297.0
6:46.0, ,12-15,Miami full timeout,,1,15,12,3,314.0
6:46.0, ,12-15,T. Rozier misses 3-pt jump shot from 24 ft,,1,15,12,3,314.0
6:46.0,Defensive rebound by Team,12-15, ,,1,15,12,3,314.0
6:46.0,Jump ball: D. Eubanks vs. J. Butler (B. Beal gains possession),12-15,,,1,15,12,3,314.0
6:33.0,D. Eubanks makes 2-pt dunk from 3 ft (assist by B. Beal),14-15, ,,1,15,14,1,327.0
6:08.0,Jump ball: J. Butler vs. B. Beal (K. Love gains possession),14-15,,,1,15,14,1,352.0
6:03.0, ,14-15,T. Rozier misses 3-pt jump shot from 24 ft (block by K. Durant),,1,15,14,1,357.0
6:02.0, ,14-15,Offensive rebound by Team,,1,15,14,1,358.0
6:02.0, ,14-15,Turnover by Team (shot clock),,1,15,14,1,358.0
5:50.0,B. Beal misses 3-pt jump shot from 26 ft,14-15, ,,1,15,14,1,370.0
5:46.0, ,14-15,Defensive rebound by H. Highsmith,,1,15,14,1,374.0
5:40.0, ,14-15,K. Love misses 3-pt jump shot from 26 ft,,1,15,14,1,380.0
5:38.0,Defensive rebound by D. Booker,14-15, ,,1,15,14,1,382.0
5:33.0,Personal foul by D. Robinson (drawn by K. Durant),14-15, ,,1,15,14,1,387.0
5:33.0,E. Gordon enters the game for B. Beal,14-15, ,,1,15,14,1,387.0
5:28.0,Def 3 sec tech foul by Team,14-15, ,,1,15,14,1,392.0
5:28.0,D. Booker makes technical free throw,15-15, ,Tie,1,15,15,0,392.0
5:25.0,G. Allen misses 2-pt hook shot from 6 ft,15-15, ,,1,15,15,0,395.0
5:22.0, ,15-15,Defensive rebound by T. Rozier,,1,15,15,0,398.0
5:06.0, ,15-15,K. Love misses 3-pt jump shot from 27 ft,,1,15,15,0,414.0
5:04.0,Defensive rebound by D. Booker,15-15, ,,1,15,15,0,416.0
4:54.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by G. Allen),18-15, ,Lead change,1,15,18,-3,426.0
4:41.0, ,18-15,Shooting foul by E. Gordon (drawn by J. Butler),,1,15,18,-3,439.0
4:41.0, ,18-16,J. Butler makes free throw 1 of 2,,1,16,18,-2,439.0
4:41.0, ,18-17,J. Butler makes free throw 2 of 2,,1,17,18,-1,439.0
4:30.0,Shooting foul by D. Robinson (drawn by G. Allen),18-17, ,,1,17,18,-1,450.0
4:30.0,G. Allen makes free throw 1 of 2,19-17, ,,1,17,19,-2,450.0
4:30.0, ,19-17,C. Martin enters the game for H. Highsmith,,1,17,19,-2,450.0
4:30.0,G. Allen misses free throw 2 of 2,19-17, ,,1,17,19,-2,450.0
4:28.0, ,19-17,Defensive rebound by K. Love,,1,17,19,-2,452.0
4:21.0, ,19-17,J. Butler misses 2-pt layup from 3 ft (block by D. Eubanks),,1,17,19,-2,459.0
4:17.0,Defensive rebound by E. Gordon,19-17, ,,1,17,19,-2,463.0
4:15.0,E. Gordon misses 2-pt layup from 4 ft (block by K. Love),19-17, ,,1,17,19,-2,465.0
4:11.0, ,19-17,Defensive rebound by C. Martin,,1,17,19,-2,469.0
