Time,Sacramento,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Sabonis vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-3,J. Butler makes 3-pt jump shot from 27 ft,,1,3,0,3,24.0
11:00.0, ,0-3,T. Rozier misses 2-pt jump shot from 11 ft,,1,3,0,3,60.0
10:57.0, ,0-3,Offensive rebound by H. Highsmith,,1,3,0,3,63.0
10:54.0, ,0-3,T. Rozier misses 3-pt jump shot from 27 ft,,1,3,0,3,66.0
10:51.0,Defensive rebound by K. Murray,0-3, ,,1,3,0,3,69.0
10:44.0,K. Murray makes 3-pt jump shot from 26 ft (assist by D. Sabonis),3-3, ,Tie,1,3,3,0,76.0
10:22.0, ,3-3,J. Butler misses 2-pt jump shot from 13 ft,,1,3,3,0,98.0
10:20.0,Defensive rebound by D. Sabonis,3-3, ,,1,3,3,0,100.0
10:06.0,Personal foul by B. Adebayo (drawn by D. Sabonis),3-3, ,,1,3,3,0,114.0
9:59.0,K. Huerter misses 3-pt jump shot from 26 ft,3-3, ,,1,3,3,0,121.0
9:56.0, ,3-3,Defensive rebound by J. Butler,,1,3,3,0,124.0
9:48.0, ,3-3,B. Adebayo misses 2-pt jump shot from 12 ft,,1,3,3,0,132.0
9:46.0,Defensive rebound by D. Fox,3-3, ,,1,3,3,0,134.0
9:40.0,D. Fox misses 3-pt jump shot from 25 ft,3-3, ,,1,3,3,0,140.0
9:37.0, ,3-3,Defensive rebound by B. Adebayo,,1,3,3,0,143.0
9:17.0, ,3-3,B. Adebayo misses 2-pt jump shot from 17 ft,,1,3,3,0,163.0
9:15.0,Defensive rebound by D. Sabonis,3-3, ,,1,3,3,0,165.0
9:06.0,D. Fox misses 2-pt jump shot from 15 ft,3-3, ,,1,3,3,0,174.0
9:03.0, ,3-3,Defensive rebound by B. Adebayo,,1,3,3,0,177.0
8:59.0, ,3-3,Shooting foul by K. Murray (drawn by T. Herro),,1,3,3,0,181.0
8:59.0, ,3-4,T. Herro makes free throw 1 of 2,,1,4,3,1,181.0
8:59.0, ,3-5,T. Herro makes free throw 2 of 2,,1,5,3,2,181.0
8:52.0,Personal foul by T. Rozier (drawn by H. Barnes),3-5, ,,1,5,3,2,188.0
8:44.0,Shooting foul by B. Adebayo (drawn by D. Fox),3-5, ,,1,5,3,2,196.0
8:44.0,D. Fox makes free throw 1 of 2,4-5, ,,1,5,4,1,196.0
8:44.0, ,4-5,T. Bryant enters the game for B. Adebayo,,1,5,4,1,196.0
8:44.0,D. Fox misses free throw 2 of 2,4-5, ,,1,5,4,1,196.0
8:41.0, ,4-5,Defensive rebound by T. Bryant,,1,5,4,1,199.0
8:20.0, ,4-7,H. Highsmith makes 2-pt jump shot from 14 ft (assist by T. Rozier),,1,7,4,3,220.0
8:11.0,Turnover by K. Huerter (back court),4-7, ,,1,7,4,3,229.0
7:59.0, ,4-7,H. Highsmith misses 2-pt jump shot from 7 ft,,1,7,4,3,241.0
7:57.0,Defensive rebound by D. Sabonis,4-7, ,,1,7,4,3,243.0
7:51.0,K. Huerter makes 2-pt layup from 4 ft (assist by D. Sabonis),6-7, ,,1,7,6,1,249.0
7:41.0, ,6-7,Turnover by T. Herro (bad pass; steal by D. Sabonis),,1,7,6,1,259.0
7:34.0,K. Murray misses 2-pt jump shot from 13 ft,6-7, ,,1,7,6,1,266.0
7:34.0,Offensive rebound by K. Murray,6-7, ,,1,7,6,1,266.0
7:29.0,K. Murray makes 2-pt dunk from 3 ft,8-7, ,Lead change,1,7,8,-1,271.0
7:04.0, ,8-7,T. Rozier misses 2-pt jump shot from 11 ft,,1,7,8,-1,296.0
7:02.0,Defensive rebound by D. Fox,8-7, ,,1,7,8,-1,298.0
7:00.0,K. Murray misses 3-pt jump shot from 27 ft,8-7, ,,1,7,8,-1,300.0
7:00.0, ,8-7,Defensive rebound by J. Butler,,1,7,8,-1,300.0
