Time,LA Clippers,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Zubac vs. B. Adebayo (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,H. Highsmith misses 3-pt jump shot from 26 ft,,1,0,0,0,19.0
11:36.0,Defensive rebound by T. Mann,0-0, ,,1,0,0,0,24.0
11:15.0,T. Mann misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,45.0
11:13.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,47.0
11:03.0, ,0-0,B. Adebayo misses 2-pt layup from 1 ft,,1,0,0,0,57.0
10:59.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,61.0
10:59.0, ,0-0,B. Adebayo misses 2-pt layup at rim,,1,0,0,0,61.0
10:58.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,62.0
10:57.0, ,0-2,B. Adebayo makes 2-pt layup from 1 ft,,1,2,0,2,63.0
10:37.0,K. Leonard misses 2-pt jump shot from 9 ft,0-2, ,,1,2,0,2,83.0
10:33.0, ,0-2,Defensive rebound by B. Adebayo,,1,2,0,2,87.0
10:29.0, ,0-2,Shooting foul by I. Zubac (drawn by B. Adebayo),,1,2,0,2,91.0
10:29.0, ,0-3,B. Adebayo makes free throw 1 of 2,,1,3,0,3,91.0
10:29.0, ,0-4,B. Adebayo makes free throw 2 of 2,,1,4,0,4,91.0
10:19.0,Personal foul by H. Highsmith (drawn by P. George),0-4, ,,1,4,0,4,101.0
10:13.0,J. Harden misses 3-pt jump shot from 27 ft,0-4, ,,1,4,0,4,107.0
10:09.0, ,0-4,Defensive rebound by B. Adebayo,,1,4,0,4,111.0
10:01.0, ,0-4,J. Richardson misses 2-pt jump shot from 11 ft,,1,4,0,4,119.0
9:57.0,Defensive rebound by P. George,0-4, ,,1,4,0,4,123.0
9:46.0,P. George makes 3-pt jump shot from 27 ft,3-4, ,,1,4,3,1,134.0
9:29.0, ,3-7,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,7,3,4,151.0
9:19.0,K. Leonard misses 3-pt jump shot from 28 ft,3-7, ,,1,7,3,4,161.0
9:17.0, ,3-7,Defensive rebound by B. Adebayo,,1,7,3,4,163.0
9:08.0, ,3-7,Turnover by B. Adebayo (bad pass),,1,7,3,4,172.0
9:00.0,P. George misses 2-pt jump shot from 9 ft,3-7, ,,1,7,3,4,180.0
8:58.0, ,3-7,Defensive rebound by T. Rozier,,1,7,3,4,182.0
8:51.0, ,3-7,Shooting foul by I. Zubac (drawn by B. Adebayo),,1,7,3,4,189.0
8:51.0, ,3-8,B. Adebayo makes free throw 1 of 2,,1,8,3,5,189.0
8:51.0, ,3-9,B. Adebayo makes free throw 2 of 2,,1,9,3,6,189.0
8:43.0,Turnover by J. Harden (bad pass),3-9, ,,1,9,3,6,197.0
8:34.0, ,3-11,T. Rozier makes 2-pt jump shot from 16 ft (assist by B. Adebayo),,1,11,3,8,206.0
8:33.0,LA Clippers full timeout,3-11, ,,1,11,3,8,207.0
8:09.0,Turnover by Team (shot clock),3-11, ,,1,11,3,8,231.0
7:50.0, ,3-13,T. Rozier makes 2-pt jump shot from 10 ft,,1,13,3,10,250.0
7:38.0,J. Harden makes 2-pt jump shot from 14 ft,5-13, ,,1,13,5,8,262.0
7:17.0, ,5-13,J. Richardson misses 3-pt jump shot from 27 ft,,1,13,5,8,283.0
7:13.0,Defensive rebound by J. Harden,5-13, ,,1,13,5,8,287.0
7:08.0,J. Harden misses 2-pt jump shot from 16 ft,5-13, ,,1,13,5,8,292.0
7:06.0,Offensive rebound by I. Zubac,5-13, ,,1,13,5,8,294.0
7:06.0,Turnover by I. Zubac (bad pass; steal by T. Rozier),5-13, ,,1,13,5,8,294.0
6:45.0, ,5-16,H. Highsmith makes 3-pt jump shot from 24 ft (assist by T. Rozier),,1,16,5,11,315.0
6:26.0,I. Zubac misses 2-pt jump shot from 11 ft,5-16, ,,1,16,5,11,334.0
6:20.0,Offensive rebound by T. Mann,5-16, ,,1,16,5,11,340.0
6:20.0,T. Mann makes 2-pt layup at rim,7-16, ,,1,16,7,9,340.0
6:04.0, ,7-16,J. Butler misses 2-pt jump shot from 17 ft,,1,16,7,9,356.0
6:00.0,Defensive rebound by P. George,7-16, ,,1,16,7,9,360.0
5:50.0,P. George misses 3-pt jump shot from 27 ft,7-16, ,,1,16,7,9,370.0
5:48.0, ,7-16,Defensive rebound by B. Adebayo,,1,16,7,9,372.0
5:40.0, ,7-16,J. Richardson misses 3-pt jump shot from 27 ft,,1,16,7,9,380.0
5:37.0,Defensive rebound by K. Leonard,7-16, ,,1,16,7,9,383.0
5:37.0,M. Plumlee enters the game for T. Mann,7-16, ,,1,16,7,9,383.0
5:37.0,R. Westbrook enters the game for I. Zubac,7-16, ,,1,16,7,9,383.0
5:37.0, ,7-16,J. Jaquez enters the game for B. Adebayo,,1,16,7,9,383.0
5:37.0, ,7-16,K. Love enters the game for J. Richardson,,1,16,7,9,383.0
5:19.0,Turnover by P. George (step out of bounds),7-16, ,,1,16,7,9,401.0
5:19.0,N. Powell enters the game for P. George,7-16, ,,1,16,7,9,401.0
5:06.0, ,7-16,T. Rozier misses 3-pt jump shot from 24 ft,,1,16,7,9,414.0
5:00.0,Defensive rebound by M. Plumlee,7-16, ,,1,16,7,9,420.0
4:49.0,R. Westbrook misses 2-pt layup from 1 ft,7-16, ,,1,16,7,9,431.0
4:46.0, ,7-16,Defensive rebound by T. Rozier,,1,16,7,9,434.0
4:44.0, ,7-16,Turnover by T. Rozier (bad pass; steal by J. Harden),,1,16,7,9,436.0
4:41.0,R. Westbrook makes 2-pt layup from 2 ft (assist by J. Harden),9-16, ,,1,16,9,7,439.0
