Time,San Antonio,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: V. Wembanyama vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,B. Adebayo makes 2-pt jump shot from 7 ft (assist by J. Butler),,1,2,0,2,18.0
11:26.0,D. Vassell misses 2-pt jump shot from 16 ft,0-2, ,,1,2,0,2,34.0
11:25.0,Offensive rebound by J. Champagnie,0-2, ,,1,2,0,2,35.0
11:25.0,J. Champagnie misses 2-pt layup at rim,0-2, ,,1,2,0,2,35.0
11:24.0,Offensive rebound by J. Champagnie,0-2, ,,1,2,0,2,36.0
11:18.0,V. Wembanyama makes 3-pt jump shot from 26 ft (assist by J. Champagnie),3-2, ,Lead change,1,2,3,-1,42.0
11:04.0, ,3-4,B. Adebayo makes 2-pt layup from 6 ft (assist by T. Herro),Lead change,1,4,3,1,56.0
10:45.0,D. Vassell misses 2-pt jump shot from 21 ft,3-4, ,,1,4,3,1,75.0
10:41.0, ,3-4,Defensive rebound by J. Butler,,1,4,3,1,79.0
10:31.0, ,3-4,B. Adebayo misses 2-pt layup from 5 ft (block by V. Wembanyama),,1,4,3,1,89.0
10:28.0,Defensive rebound by J. Champagnie,3-4, ,,1,4,3,1,92.0
10:21.0,T. Jones makes 2-pt layup from 6 ft,5-4, ,Lead change,1,4,5,-1,99.0
10:04.0, ,5-7,T. Herro makes 3-pt jump shot from 28 ft (assist by T. Rozier),Lead change,1,7,5,2,116.0
9:56.0,T. Jones makes 2-pt layup from 4 ft (assist by J. Champagnie),7-7, ,Tie,1,7,7,0,124.0
9:29.0, ,7-7,T. Rozier misses 2-pt layup from 8 ft,,1,7,7,0,151.0
9:28.0,Defensive rebound by V. Wembanyama,7-7, ,,1,7,7,0,152.0
9:23.0,Personal foul by T. Rozier (drawn by J. Sochan),7-7, ,,1,7,7,0,157.0
9:14.0,J. Champagnie makes 3-pt jump shot from 24 ft (assist by T. Jones),10-7, ,Lead change,1,7,10,-3,166.0
9:02.0, ,10-7,Turnover by T. Herro (lost ball; steal by J. Champagnie),,1,7,10,-3,178.0
8:53.0,J. Champagnie misses 3-pt jump shot from 25 ft,10-7, ,,1,7,10,-3,187.0
8:50.0, ,10-7,Defensive rebound by B. Adebayo,,1,7,10,-3,190.0
8:33.0, ,10-9,J. Butler makes 2-pt jump shot from 9 ft,,1,9,10,-1,207.0
8:22.0,T. Jones misses 2-pt jump shot from 13 ft,10-9, ,,1,9,10,-1,218.0
8:22.0, ,10-9,Defensive rebound by T. Herro,,1,9,10,-1,218.0
8:15.0, ,10-11,B. Adebayo makes 2-pt layup from 7 ft (assist by T. Herro),Lead change,1,11,10,1,225.0
8:15.0, ,10-11,Shooting foul by J. Champagnie (drawn by B. Adebayo),,1,11,10,1,225.0
8:15.0, ,10-11,B. Adebayo misses free throw 1 of 1,,1,11,10,1,225.0
8:13.0,Defensive rebound by V. Wembanyama,10-11, ,,1,11,10,1,227.0
8:01.0,Personal foul by B. Adebayo (drawn by V. Wembanyama),10-11, ,,1,11,10,1,239.0
7:50.0,D. Vassell makes 2-pt jump shot from 13 ft (assist by V. Wembanyama),12-11, ,Lead change,1,11,12,-1,250.0
