Time,Miami,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Sabonis (D. Robinson gains possession),0-0,,,1,0,0,0,0.0
11:34.0,D. Robinson misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,26.0
11:31.0, ,0-0,Defensive rebound by H. Barnes,,1,0,0,0,29.0
11:24.0, ,0-0,D. Fox misses 2-pt jump shot from 17 ft,,1,0,0,0,36.0
11:23.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,37.0
11:16.0,Turnover by D. Robinson (bad pass; steal by H. Barnes),0-0, ,,1,0,0,0,44.0
11:16.0, ,0-0,Personal foul by D. Robinson (drawn by D. Fox),,1,0,0,0,44.0
11:09.0, ,0-0,Offensive foul by D. Sabonis (drawn by B. Adebayo),,1,0,0,0,51.0
11:09.0, ,0-0,Turnover by D. Sabonis (offensive foul),,1,0,0,0,51.0
10:53.0,B. Adebayo makes 2-pt layup from 7 ft (assist by D. Robinson),2-0, ,,1,2,0,2,67.0
10:41.0, ,2-0,Shooting foul by J. Jaquez (drawn by K. Murray),,1,2,0,2,79.0
10:41.0, ,2-1,K. Murray makes free throw 1 of 2,,1,2,1,1,79.0
10:41.0, ,2-2,K. Murray makes free throw 2 of 2,Tie,1,2,2,0,79.0
10:31.0,C. Martin makes 3-pt jump shot from 28 ft (assist by J. Jaquez),5-2, ,,1,5,2,3,89.0
10:12.0, ,5-5,H. Barnes makes 3-pt jump shot from 27 ft,Tie,1,5,5,0,108.0
9:57.0,J. Jaquez makes 2-pt layup from 5 ft (assist by B. Adebayo),7-5, ,,1,7,5,2,123.0
9:42.0, ,7-5,H. Barnes misses 3-pt jump shot from 25 ft,,1,7,5,2,138.0
9:40.0,Defensive rebound by B. Adebayo,7-5, ,,1,7,5,2,140.0
9:34.0,B. Adebayo misses 2-pt hook shot from 11 ft,7-5, ,,1,7,5,2,146.0
9:31.0, ,7-5,Defensive rebound by K. Murray,,1,7,5,2,149.0
9:22.0, ,7-7,K. Murray makes 2-pt jump shot from 13 ft (assist by D. Sabonis),Tie,1,7,7,0,158.0
9:05.0,C. Martin makes 3-pt jump shot from 25 ft (assist by D. Robinson),10-7, ,,1,10,7,3,175.0
8:54.0, ,10-10,K. Murray makes 3-pt jump shot from 27 ft (assist by D. Sabonis),Tie,1,10,10,0,186.0
8:43.0,B. Adebayo makes 2-pt dunk from 4 ft (assist by C. Martin),12-10, ,,1,12,10,2,197.0
8:31.0, ,12-10,Turnover by K. Huerter (traveling),,1,12,10,2,209.0
