Time,Miami,Score,Denver,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Jokić (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-2,A. Gordon makes 2-pt jump shot from 13 ft (assist by K. Caldwell-Pope),,1,0,2,-2,24.0
11:16.0,B. Adebayo misses 2-pt jump shot from 11 ft,0-2, ,,1,0,2,-2,44.0
11:13.0, ,0-2,Defensive rebound by M. Porter,,1,0,2,-2,47.0
11:00.0, ,0-2,Shooting foul by D. Robinson (drawn by A. Gordon),,1,0,2,-2,60.0
11:00.0, ,0-3,A. Gordon makes free throw 1 of 2,,1,0,3,-3,60.0
11:00.0, ,0-4,A. Gordon makes free throw 2 of 2,,1,0,4,-4,60.0
10:46.0,D. Robinson misses 3-pt jump shot from 26 ft,0-4, ,,1,0,4,-4,74.0
10:44.0, ,0-4,Defensive rebound by J. Murray,,1,0,4,-4,76.0
10:31.0, ,0-7,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,1,0,7,-7,89.0
10:16.0,T. Rozier misses 3-pt jump shot from 24 ft,0-7, ,,1,0,7,-7,104.0
10:13.0, ,0-7,Defensive rebound by M. Porter,,1,0,7,-7,107.0
10:07.0, ,0-9,M. Porter makes 2-pt layup from 1 ft,,1,0,9,-9,113.0
9:48.0,N. Jović makes 3-pt jump shot from 25 ft (assist by J. Butler),3-9, ,,1,3,9,-6,132.0
9:27.0, ,3-9,J. Murray misses 2-pt jump shot from 12 ft,,1,3,9,-6,153.0
9:25.0,Defensive rebound by N. Jović,3-9, ,,1,3,9,-6,155.0
9:17.0,Shooting foul by J. Murray (drawn by T. Rozier),3-9, ,,1,3,9,-6,163.0
9:17.0,T. Rozier makes free throw 1 of 2,4-9, ,,1,4,9,-5,163.0
9:17.0,T. Rozier makes free throw 2 of 2,5-9, ,,1,5,9,-4,163.0
9:02.0, ,5-12,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by J. Murray),,1,5,12,-7,178.0
8:52.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Rozier),7-12, ,,1,7,12,-5,188.0
8:36.0, ,7-12,A. Gordon misses 2-pt jump shot from 18 ft,,1,7,12,-5,204.0
8:33.0,Defensive rebound by D. Robinson,7-12, ,,1,7,12,-5,207.0
8:18.0,N. Jović misses 3-pt jump shot from 25 ft,7-12, ,,1,7,12,-5,222.0
8:14.0, ,7-12,Defensive rebound by N. Jokić,,1,7,12,-5,226.0
8:09.0, ,7-12,Turnover by N. Jokić (bad pass; steal by D. Robinson),,1,7,12,-5,231.0
7:54.0,J. Butler misses 2-pt jump shot from 6 ft,7-12, ,,1,7,12,-5,246.0
7:53.0, ,7-12,Defensive rebound by N. Jokić,,1,7,12,-5,247.0
