Time,Miami,Score,Oklahoma City,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. C. Holmgren (S. Gilgeous-Alexander gains possession),0-0,,,1,0,0,0,0.0
11:48.0, ,0-0,J. Williams misses 2-pt jump shot from 18 ft,,1,0,0,0,12.0
11:44.0,Defensive rebound by N. Jović,0-0, ,,1,0,0,0,16.0
11:29.0,D. Robinson misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,31.0
11:26.0, ,0-0,Defensive rebound by L. Dort,,1,0,0,0,34.0
11:12.0, ,0-0,C. Holmgren misses 2-pt jump shot from 9 ft,,1,0,0,0,48.0
11:08.0,Defensive rebound by D. Robinson,0-0, ,,1,0,0,0,52.0
10:56.0,J. Butler misses 2-pt jump shot from 16 ft,0-0, ,,1,0,0,0,64.0
10:53.0, ,0-0,Defensive rebound by J. Giddey,,1,0,0,0,67.0
10:43.0, ,0-0,C. Holmgren misses 3-pt jump shot from 25 ft,,1,0,0,0,77.0
10:40.0,Defensive rebound by N. Jović,0-0, ,,1,0,0,0,80.0
10:20.0,N. Jović misses 2-pt hook shot from 4 ft,0-0, ,,1,0,0,0,100.0
10:18.0, ,0-0,Defensive rebound by C. Holmgren,,1,0,0,0,102.0
10:11.0, ,0-0,L. Dort misses 3-pt jump shot from 24 ft,,1,0,0,0,109.0
10:06.0,Defensive rebound by J. Butler,0-0, ,,1,0,0,0,114.0
10:03.0,J. Butler makes 2-pt jump shot from 2 ft,2-0, ,,1,2,0,2,117.0
9:46.0, ,2-2,J. Williams makes 2-pt layup from 1 ft (assist by J. Giddey),Tie,1,2,2,0,134.0
9:28.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),4-2, ,,1,4,2,2,152.0
9:17.0, ,4-4,J. Giddey makes 2-pt layup from 5 ft (assist by S. Gilgeous-Alexander),Tie,1,4,4,0,163.0
9:05.0,J. Butler misses 2-pt jump shot from 8 ft,4-4, ,,1,4,4,0,175.0
9:03.0, ,4-4,Defensive rebound by S. Gilgeous-Alexander,,1,4,4,0,177.0
8:53.0, ,4-4,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,1,4,4,0,187.0
8:49.0,Defensive rebound by T. Rozier,4-4, ,,1,4,4,0,191.0
8:47.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. Rozier),6-4, ,,1,6,4,2,193.0
8:39.0, ,6-4,J. Giddey misses 2-pt layup from 1 ft,,1,6,4,2,201.0
8:39.0, ,6-4,Offensive rebound by J. Giddey,,1,6,4,2,201.0
8:25.0, ,6-4,Personal foul by D. Robinson (drawn by L. Dort),,1,6,4,2,215.0
8:23.0, ,6-6,S. Gilgeous-Alexander makes 2-pt dunk at rim (assist by J. Giddey),Tie,1,6,6,0,217.0
8:11.0,T. Rozier makes 2-pt layup from 7 ft,8-6, ,,1,8,6,2,229.0
8:03.0, ,8-6,L. Dort misses 3-pt jump shot from 26 ft,,1,8,6,2,237.0
7:58.0,Defensive rebound by N. Jović,8-6, ,,1,8,6,2,242.0
7:47.0,B. Adebayo misses 2-pt jump shot from 14 ft,8-6, ,,1,8,6,2,253.0
7:45.0, ,8-6,Defensive rebound by S. Gilgeous-Alexander,,1,8,6,2,255.0
7:41.0, ,8-8,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,Tie,1,8,8,0,259.0
7:25.0,T. Rozier makes 2-pt hook shot from 5 ft,10-8, ,,1,10,8,2,275.0
7:11.0, ,10-8,C. Holmgren misses 2-pt layup from 6 ft,,1,10,8,2,289.0
7:09.0,Defensive rebound by N. Jović,10-8, ,,1,10,8,2,291.0
7:06.0,D. Robinson misses 3-pt jump shot from 26 ft,10-8, ,,1,10,8,2,294.0
7:02.0, ,10-8,Defensive rebound by J. Giddey,,1,10,8,2,298.0
6:57.0, ,10-10,S. Gilgeous-Alexander makes 2-pt layup from 5 ft (assist by J. Giddey),Tie,1,10,10,0,303.0
6:29.0,J. Butler misses 3-pt jump shot from 28 ft,10-10, ,,1,10,10,0,331.0
6:29.0, ,10-10,Defensive rebound by Team,,1,10,10,0,331.0
6:29.0, ,10-10,Oklahoma City full timeout,,1,10,10,0,331.0
6:17.0, ,10-12,C. Holmgren makes 2-pt dunk from 1 ft (assist by J. Williams),Lead change,1,10,12,-2,343.0
6:02.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Rozier),12-12, ,Tie,1,12,12,0,358.0
5:44.0, ,12-12,Turnover by J. Williams (traveling),,1,12,12,0,376.0
5:44.0,J. Jaquez enters the game for J. Butler,12-12, ,,1,12,12,0,376.0
5:44.0,C. Martin enters the game for N. Jović,12-12, ,,1,12,12,0,376.0
5:31.0,Shooting foul by C. Holmgren (drawn by J. Jaquez),12-12, ,,1,12,12,0,389.0
5:31.0,J. Jaquez makes free throw 1 of 2,13-12, ,Lead change,1,13,12,1,389.0
5:31.0, ,13-12,G. Hayward enters the game for J. Williams,,1,13,12,1,389.0
5:31.0,J. Jaquez makes free throw 2 of 2,14-12, ,,1,14,12,2,389.0
5:19.0, ,14-12,Personal foul by J. Jaquez (drawn by S. Gilgeous-Alexander),,1,14,12,2,401.0
5:19.0, ,14-12,I. Joe enters the game for J. Giddey,,1,14,12,2,401.0
5:11.0, ,14-15,L. Dort makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),Lead change,1,14,15,-1,409.0
4:56.0,J. Jaquez makes 2-pt hook shot from 3 ft,16-15, ,Lead change,1,16,15,1,424.0
4:47.0, ,16-15,Shooting foul by J. Jaquez (drawn by S. Gilgeous-Alexander),,1,16,15,1,433.0
4:47.0, ,16-16,S. Gilgeous-Alexander makes free throw 1 of 2,Tie,1,16,16,0,433.0
4:47.0, ,16-16,J. Williams enters the game for C. Holmgren,,1,16,16,0,433.0
4:47.0, ,16-16,S. Gilgeous-Alexander misses free throw 2 of 2,,1,16,16,0,433.0
4:45.0,Defensive rebound by B. Adebayo,16-16, ,,1,16,16,0,435.0
4:36.0,B. Adebayo misses 2-pt jump shot from 9 ft (block by L. Dort),16-16, ,,1,16,16,0,444.0
4:33.0, ,16-16,Defensive rebound by J. Williams,,1,16,16,0,447.0
4:26.0, ,16-16,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by C. Martin),,1,16,16,0,454.0
4:26.0, ,16-16,Offensive rebound by Team,,1,16,16,0,454.0
