Time,Denver,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jokić vs. B. Adebayo (J. Murray gains possession),0-0,,,1,0,0,0,0.0
11:46.0,N. Jokić misses 2-pt hook shot from 8 ft,0-0, ,,1,0,0,0,14.0
11:43.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,17.0
11:32.0, ,0-2,T. Rozier makes 2-pt layup from 1 ft (assist by J. Butler),,1,2,0,2,28.0
11:11.0,M. Porter misses 2-pt jump shot from 16 ft,0-2, ,,1,2,0,2,49.0
11:07.0, ,0-2,Defensive rebound by D. Robinson,,1,2,0,2,53.0
10:56.0, ,0-4,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Rozier),,1,4,0,4,64.0
10:37.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokić),2-4, ,,1,4,2,2,83.0
10:22.0, ,2-4,J. Butler misses 2-pt layup from 1 ft,,1,4,2,2,98.0
10:20.0,Defensive rebound by A. Gordon,2-4, ,,1,4,2,2,100.0
10:13.0,A. Gordon makes 2-pt dunk from 1 ft,4-4, ,Tie,1,4,4,0,107.0
10:01.0, ,4-4,B. Adebayo misses 2-pt jump shot from 11 ft,,1,4,4,0,119.0
9:59.0, ,4-4,Offensive rebound by T. Rozier,,1,4,4,0,121.0
9:58.0, ,4-4,T. Rozier misses 2-pt layup at rim,,1,4,4,0,122.0
9:57.0,Defensive rebound by A. Gordon,4-4, ,,1,4,4,0,123.0
9:39.0,N. Jokić makes 2-pt hook shot from 7 ft,6-4, ,Lead change,1,4,6,-2,141.0
9:24.0, ,6-7,J. Butler makes 3-pt jump shot from 23 ft (assist by D. Robinson),Lead change,1,7,6,1,156.0
9:09.0,J. Murray misses 2-pt jump shot from 14 ft (block by B. Adebayo),6-7, ,,1,7,6,1,171.0
9:07.0, ,6-7,Defensive rebound by B. Adebayo,,1,7,6,1,173.0
8:56.0, ,6-7,T. Rozier misses 3-pt jump shot from 24 ft,,1,7,6,1,184.0
8:56.0, ,6-7,Offensive rebound by Team,,1,7,6,1,184.0
8:56.0,Loose ball foul by A. Gordon (drawn by N. Jović),6-7, ,,1,7,6,1,184.0
8:50.0, ,6-7,J. Butler misses 2-pt jump shot from 11 ft,,1,7,6,1,190.0
8:47.0,Defensive rebound by N. Jokić,6-7, ,,1,7,6,1,193.0
8:34.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,6-7, ,,1,7,6,1,206.0
8:30.0, ,6-7,Defensive rebound by J. Butler,,1,7,6,1,210.0
8:22.0, ,6-9,D. Robinson makes 2-pt layup from 2 ft (assist by J. Butler),,1,9,6,3,218.0
8:07.0,Turnover by N. Jokić (bad pass; steal by N. Jović),6-9, ,,1,9,6,3,233.0
8:01.0, ,6-9,Turnover by N. Jović (bad pass; steal by N. Jokić),,1,9,6,3,239.0
7:55.0,M. Porter makes 3-pt jump shot from 26 ft (assist by A. Gordon),9-9, ,Tie,1,9,9,0,245.0
7:37.0, ,9-9,D. Robinson misses 3-pt jump shot from 23 ft,,1,9,9,0,263.0
7:34.0,Defensive rebound by J. Murray,9-9, ,,1,9,9,0,266.0
7:25.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),12-9, ,Lead change,1,9,12,-3,275.0
7:13.0, ,12-9,Turnover by D. Robinson (bad pass; steal by K. Caldwell-Pope),,1,9,12,-3,287.0
7:10.0,K. Caldwell-Pope makes 2-pt dunk from 1 ft,14-9, ,,1,9,14,-5,290.0
6:48.0, ,14-9,T. Rozier misses 2-pt jump shot from 20 ft,,1,9,14,-5,312.0
6:44.0,Defensive rebound by M. Porter,14-9, ,,1,9,14,-5,316.0
6:38.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,14-9, ,,1,9,14,-5,322.0
6:34.0, ,14-9,Defensive rebound by B. Adebayo,,1,9,14,-5,326.0
6:27.0, ,14-9,D. Robinson misses 3-pt jump shot from 26 ft,,1,9,14,-5,333.0
6:21.0,Defensive rebound by M. Porter,14-9, ,,1,9,14,-5,339.0
6:12.0,A. Gordon makes 2-pt jump shot from 12 ft (assist by K. Caldwell-Pope),16-9, ,,1,9,16,-7,348.0
5:51.0, ,16-9,J. Butler misses 2-pt jump shot from 8 ft,,1,9,16,-7,369.0
5:48.0,Defensive rebound by N. Jokić,16-9, ,,1,9,16,-7,372.0
5:43.0,Shooting foul by N. Jović (drawn by A. Gordon),16-9, ,,1,9,16,-7,377.0
5:43.0, ,16-9,Miami full timeout,,1,9,16,-7,377.0
5:43.0,R. Jackson enters the game for J. Murray,16-9, ,,1,9,16,-7,377.0
5:43.0,A. Gordon misses free throw 1 of 2,16-9, ,,1,9,16,-7,377.0
5:43.0,Offensive rebound by Team,16-9, ,,1,9,16,-7,377.0
5:43.0,A. Gordon makes free throw 2 of 2,17-9, ,,1,9,17,-8,377.0
5:36.0, ,17-9,J. Butler misses 2-pt jump shot from 13 ft,,1,9,17,-8,384.0
5:32.0,Defensive rebound by A. Gordon,17-9, ,,1,9,17,-8,388.0
5:29.0,Personal foul by D. Robinson (drawn by K. Caldwell-Pope),17-9, ,,1,9,17,-8,391.0
5:29.0, ,17-9,J. Jaquez enters the game for J. Butler,,1,9,17,-8,391.0
5:29.0, ,17-9,C. Martin enters the game for N. Jović,,1,9,17,-8,391.0
5:19.0,R. Jackson misses 2-pt jump shot from 15 ft,17-9, ,,1,9,17,-8,401.0
5:17.0,Offensive rebound by N. Jokić,17-9, ,,1,9,17,-8,403.0
5:14.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,17-9, ,,1,9,17,-8,406.0
5:09.0,Offensive rebound by M. Porter,17-9, ,,1,9,17,-8,411.0
5:09.0,M. Porter makes 2-pt jump shot from 17 ft,19-9, ,,1,9,19,-10,411.0
4:41.0, ,19-9,D. Robinson misses 3-pt jump shot from 23 ft,,1,9,19,-10,439.0
4:38.0,Defensive rebound by R. Jackson,19-9, ,,1,9,19,-10,442.0
4:35.0,A. Gordon misses 3-pt jump shot from 24 ft,19-9, ,,1,9,19,-10,445.0
4:32.0, ,19-9,Defensive rebound by B. Adebayo,,1,9,19,-10,448.0
4:16.0, ,19-9,Turnover by C. Martin (bad pass; steal by K. Caldwell-Pope),,1,9,19,-10,464.0
