Time,Miami,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Bryant vs. J. Allen (D. Garland gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,1,0,2,-2,19.0
11:21.0,N. Jović makes 3-pt jump shot from 23 ft (assist by J. Butler),3-2, ,Lead change,1,3,2,1,39.0
11:05.0, ,3-2,Personal foul by N. Jović (drawn by J. Allen),,1,3,2,1,55.0
10:52.0, ,3-2,I. Okoro misses 3-pt jump shot from 26 ft,,1,3,2,1,68.0
10:49.0,Defensive rebound by T. Bryant,3-2, ,,1,3,2,1,71.0
10:42.0,Turnover by T. Rozier (lost ball; steal by G. Niang),3-2, ,,1,3,2,1,78.0
10:37.0, ,3-4,I. Okoro makes 2-pt layup at rim (assist by D. Garland),Lead change,1,3,4,-1,83.0
10:26.0,N. Jović misses 3-pt jump shot from 27 ft,3-4, ,,1,3,4,-1,94.0
10:23.0, ,3-4,Defensive rebound by J. Allen,,1,3,4,-1,97.0
10:10.0, ,3-4,J. Allen misses 2-pt hook shot from 5 ft,,1,3,4,-1,110.0
10:08.0,Defensive rebound by T. Bryant,3-4, ,,1,3,4,-1,112.0
10:02.0,Turnover by J. Butler (bad pass; steal by C. LeVert),3-4, ,,1,3,4,-1,118.0
9:55.0, ,3-4,I. Okoro misses 2-pt layup from 1 ft,,1,3,4,-1,125.0
9:54.0, ,3-4,Offensive rebound by J. Allen,,1,3,4,-1,126.0
9:52.0, ,3-6,J. Allen makes 2-pt layup from 1 ft,,1,3,6,-3,128.0
9:31.0,J. Butler makes 3-pt jump shot from 26 ft (assist by P. Mills),6-6, ,Tie,1,6,6,0,149.0
9:12.0, ,6-6,I. Okoro misses 3-pt jump shot from 24 ft,,1,6,6,0,168.0
9:10.0,Defensive rebound by J. Butler,6-6, ,,1,6,6,0,170.0
8:57.0,J. Butler makes 2-pt layup from 1 ft,8-6, ,Lead change,1,8,6,2,183.0
8:47.0, ,8-6,Turnover by C. LeVert (bad pass; steal by P. Mills),,1,8,6,2,193.0
8:38.0,P. Mills misses 3-pt jump shot from 25 ft,8-6, ,,1,8,6,2,202.0
8:38.0,Offensive rebound by Team,8-6, ,,1,8,6,2,202.0
8:38.0, ,8-6,Loose ball foul by D. Garland (drawn by N. Jović),,1,8,6,2,202.0
8:29.0,T. Rozier misses 2-pt jump shot from 22 ft,8-6, ,,1,8,6,2,211.0
