Time,New Orleans,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Valančiūnas vs. B. Adebayo (C. McCollum gains possession),0-0,,,1,0,0,0,0.0
11:39.0,H. Jones misses 2-pt jump shot from 12 ft,0-0, ,,1,0,0,0,21.0
11:35.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,25.0
11:20.0, ,0-0,T. Rozier misses 3-pt jump shot from 25 ft,,1,0,0,0,40.0
11:16.0,Defensive rebound by T. Murphy,0-0, ,,1,0,0,0,44.0
11:09.0,T. Murphy misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,51.0
11:06.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,54.0
10:55.0, ,0-0,P. Mills misses 3-pt jump shot from 26 ft,,1,0,0,0,65.0
10:52.0,Defensive rebound by J. Valančiūnas,0-0, ,,1,0,0,0,68.0
10:41.0,Turnover by T. Murphy (bad pass),0-0, ,,1,0,0,0,79.0
10:23.0, ,0-0,N. Jović misses 3-pt jump shot from 25 ft,,1,0,0,0,97.0
10:20.0, ,0-0,Offensive rebound by P. Mills,,1,0,0,0,100.0
10:19.0, ,0-0,P. Mills misses 2-pt layup from 4 ft,,1,0,0,0,101.0
10:19.0,Defensive rebound by J. Valančiūnas,0-0, ,,1,0,0,0,101.0
10:10.0,H. Jones misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,110.0
10:06.0, ,0-0,Defensive rebound by T. Rozier,,1,0,0,0,114.0
9:58.0, ,0-2,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Rozier),,1,2,0,2,122.0
9:44.0,Turnover by T. Murphy (lost ball; steal by N. Jović),0-2, ,,1,2,0,2,136.0
9:39.0, ,0-4,P. Mills makes 2-pt layup from 3 ft,,1,4,0,4,141.0
9:29.0,C. McCollum misses 3-pt jump shot from 26 ft,0-4, ,,1,4,0,4,151.0
9:26.0, ,0-4,Defensive rebound by J. Butler,,1,4,0,4,154.0
9:15.0, ,0-7,N. Jović makes 3-pt jump shot from 24 ft (assist by P. Mills),,1,7,0,7,165.0
8:52.0,Z. Williamson misses 2-pt hook shot from 7 ft,0-7, ,,1,7,0,7,188.0
8:48.0, ,0-7,Defensive rebound by B. Adebayo,,1,7,0,7,192.0
8:42.0, ,0-7,P. Mills misses 3-pt jump shot from 25 ft,,1,7,0,7,198.0
8:39.0,Defensive rebound by J. Valančiūnas,0-7, ,,1,7,0,7,201.0
8:32.0,H. Jones makes 2-pt layup from 6 ft,2-7, ,,1,7,2,5,208.0
8:16.0, ,2-9,B. Adebayo makes 2-pt jump shot from 12 ft (assist by N. Jović),,1,9,2,7,224.0
8:02.0,Turnover by T. Murphy (bad pass),2-9, ,,1,9,2,7,238.0
8:02.0,L. Nance enters the game for J. Valančiūnas,2-9, ,,1,9,2,7,238.0
7:49.0, ,2-12,N. Jović makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,12,2,10,251.0
7:48.0,New Orleans full timeout,2-12, ,,1,12,2,10,252.0
7:32.0,C. McCollum misses 2-pt jump shot from 17 ft,2-12, ,,1,12,2,10,268.0
7:29.0, ,2-12,Defensive rebound by B. Adebayo,,1,12,2,10,271.0
7:22.0, ,2-12,B. Adebayo misses 2-pt jump shot from 7 ft,,1,12,2,10,278.0
7:19.0,Defensive rebound by L. Nance,2-12, ,,1,12,2,10,281.0
7:12.0,Turnover by Z. Williamson (traveling),2-12, ,,1,12,2,10,288.0
