Time,Miami,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Bagley (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:41.0,N. Jović misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,19.0
11:39.0, ,0-0,Defensive rebound by C. Kispert,,1,0,0,0,21.0
11:22.0, ,0-0,C. Kispert misses 3-pt jump shot from 26 ft,,1,0,0,0,38.0
11:19.0, ,0-0,Offensive rebound by M. Bagley,,1,0,0,0,41.0
11:17.0, ,0-0,Turnover by M. Bagley (bad pass; steal by T. Rozier),,1,0,0,0,43.0
11:04.0,N. Jović misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,56.0
11:00.0, ,0-0,Defensive rebound by P. Baldwin,,1,0,0,0,60.0
10:44.0, ,0-0,D. Avdija misses 2-pt layup from 3 ft,,1,0,0,0,76.0
10:41.0, ,0-0,Offensive rebound by M. Bagley,,1,0,0,0,79.0
10:41.0, ,0-2,M. Bagley makes 2-pt dunk at rim,,1,0,2,-2,79.0
10:32.0,J. Butler makes 2-pt jump shot from 2 ft,2-2, ,Tie,1,2,2,0,88.0
10:13.0, ,2-4,C. Kispert makes 2-pt layup from 4 ft,,1,2,4,-2,107.0
9:59.0,T. Rozier makes 2-pt jump shot from 18 ft,4-4, ,Tie,1,4,4,0,121.0
9:43.0, ,4-4,D. Avdija misses 2-pt layup from 4 ft (block by N. Jović),,1,4,4,0,137.0
9:40.0,Defensive rebound by J. Butler,4-4, ,,1,4,4,0,140.0
9:38.0,D. Robinson misses 3-pt jump shot from 27 ft,4-4, ,,1,4,4,0,142.0
9:34.0,Offensive rebound by D. Robinson,4-4, ,,1,4,4,0,146.0
9:22.0,D. Robinson misses 3-pt jump shot from 26 ft,4-4, ,,1,4,4,0,158.0
9:19.0, ,4-4,Defensive rebound by P. Baldwin,,1,4,4,0,161.0
9:10.0, ,4-7,J. Poole makes 3-pt jump shot from 30 ft,,1,4,7,-3,170.0
8:46.0,B. Adebayo misses 3-pt jump shot from 28 ft,4-7, ,,1,4,7,-3,194.0
8:42.0,Offensive rebound by N. Jović,4-7, ,,1,4,7,-3,198.0
8:41.0,N. Jović makes 2-pt jump shot from 6 ft,6-7, ,,1,6,7,-1,199.0
8:30.0, ,6-7,J. Poole misses 3-pt jump shot from 26 ft,,1,6,7,-1,210.0
8:27.0,Defensive rebound by B. Adebayo,6-7, ,,1,6,7,-1,213.0
8:15.0,T. Rozier makes 2-pt jump shot from 4 ft,8-7, ,Lead change,1,8,7,1,225.0
8:03.0, ,8-10,D. Avdija makes 3-pt jump shot from 25 ft (assist by J. Poole),Lead change,1,8,10,-2,237.0
7:57.0,Shooting foul by P. Baldwin (drawn by N. Jović),8-10, ,,1,8,10,-2,243.0
7:57.0,N. Jović makes free throw 1 of 2,9-10, ,,1,9,10,-1,243.0
7:57.0,N. Jović makes free throw 2 of 2,10-10, ,Tie,1,10,10,0,243.0
7:47.0, ,10-12,M. Bagley makes 2-pt dunk from 1 ft (assist by J. Poole),,1,10,12,-2,253.0
7:36.0,N. Jović misses 3-pt jump shot from 26 ft,10-12, ,,1,10,12,-2,264.0
7:33.0, ,10-12,Defensive rebound by J. Poole,,1,10,12,-2,267.0
7:29.0, ,10-12,C. Kispert misses 3-pt jump shot from 26 ft (block by D. Robinson),,1,10,12,-2,271.0
7:25.0,Defensive rebound by N. Jović,10-12, ,,1,10,12,-2,275.0
7:23.0,T. Rozier misses 3-pt jump shot from 26 ft,10-12, ,,1,10,12,-2,277.0
7:19.0, ,10-12,Defensive rebound by D. Avdija,,1,10,12,-2,281.0
7:09.0, ,10-12,P. Baldwin misses 3-pt jump shot from 26 ft,,1,10,12,-2,291.0
7:06.0,Defensive rebound by T. Rozier,10-12, ,,1,10,12,-2,294.0
7:01.0,T. Rozier makes 2-pt layup from 3 ft,12-12, ,Tie,1,12,12,0,299.0
6:50.0, ,12-12,D. Avdija misses 2-pt layup from 5 ft (block by T. Rozier),,1,12,12,0,310.0
6:50.0, ,12-12,Offensive rebound by Team,,1,12,12,0,310.0
6:50.0, ,12-12,Washington full timeout,,1,12,12,0,310.0
6:50.0, ,12-12,J. Davis enters the game for D. Avdija,,1,12,12,0,310.0
6:50.0, ,12-12,A. Gill enters the game for M. Bagley,,1,12,12,0,310.0
6:40.0, ,12-15,J. Poole makes 3-pt jump shot from 26 ft (assist by C. Kispert),,1,12,15,-3,320.0
6:24.0,Personal foul by J. Poole (drawn by J. Butler),12-15, ,,1,12,15,-3,336.0
6:15.0,T. Rozier misses 2-pt jump shot from 5 ft,12-15, ,,1,12,15,-3,345.0
6:13.0, ,12-15,Defensive rebound by J. Davis,,1,12,15,-3,347.0
6:08.0,Loose ball foul by T. Rozier (drawn by J. Davis),12-15, ,,1,12,15,-3,352.0
6:02.0, ,12-15,J. Poole misses 3-pt jump shot from 26 ft,,1,12,15,-3,358.0
5:58.0,Defensive rebound by B. Adebayo,12-15, ,,1,12,15,-3,362.0
5:52.0,Turnover by B. Adebayo (bad pass; steal by C. Kispert),12-15, ,,1,12,15,-3,368.0
5:48.0, ,12-15,P. Baldwin misses 3-pt jump shot from 26 ft,,1,12,15,-3,372.0
5:45.0,Defensive rebound by D. Robinson,12-15, ,,1,12,15,-3,375.0
5:28.0,J. Butler makes 2-pt layup from 2 ft (assist by N. Jović),14-15, ,,1,14,15,-1,392.0
5:09.0, ,14-15,P. Baldwin misses 3-pt jump shot from 26 ft,,1,14,15,-1,411.0
5:07.0,Defensive rebound by B. Adebayo,14-15, ,,1,14,15,-1,413.0
4:57.0,Personal foul by P. Baldwin (drawn by J. Butler),14-15, ,,1,14,15,-1,423.0
4:57.0,H. Highsmith enters the game for J. Butler,14-15, ,,1,14,15,-1,423.0
4:57.0,J. Jaquez enters the game for D. Robinson,14-15, ,,1,14,15,-1,423.0
4:57.0, ,14-15,D. Avdija enters the game for P. Baldwin,,1,14,15,-1,423.0
4:51.0,H. Highsmith misses 3-pt jump shot from 26 ft,14-15, ,,1,14,15,-1,429.0
4:49.0, ,14-15,Defensive rebound by J. Davis,,1,14,15,-1,431.0
4:36.0, ,14-17,D. Avdija makes 2-pt layup from 2 ft (assist by J. Poole),,1,14,17,-3,444.0
4:22.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Jaquez),16-17, ,,1,16,17,-1,458.0
4:11.0, ,16-17,C. Kispert misses 2-pt layup from 3 ft,,1,16,17,-1,469.0
4:11.0,Defensive rebound by H. Highsmith,16-17, ,,1,16,17,-1,469.0
4:01.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by N. Jović),19-17, ,Lead change,1,19,17,2,479.0
3:48.0, ,19-17,Turnover by J. Poole (bad pass; steal by T. Rozier),,1,19,17,2,492.0
3:42.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by B. Adebayo),22-17, ,,1,22,17,5,498.0
3:40.0, ,22-17,Washington full timeout,,1,22,17,5,500.0
3:40.0,D. Wright enters the game for N. Jović,22-17, ,,1,22,17,5,500.0
3:40.0, ,22-17,J. Butler enters the game for J. Poole,,1,22,17,5,500.0
3:25.0, ,22-17,C. Kispert misses 3-pt jump shot from 28 ft,,1,22,17,5,515.0
3:21.0,Defensive rebound by B. Adebayo,22-17, ,,1,22,17,5,519.0
3:11.0,H. Highsmith misses 2-pt layup from 5 ft (block by D. Avdija),22-17, ,,1,22,17,5,529.0
