Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Hartenstein vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Shooting foul by J. Brunson (drawn by N. Jović),,1,0,0,0,15.0
11:45.0, ,0-1,N. Jović makes free throw 1 of 2,,1,1,0,1,15.0
11:45.0, ,0-2,N. Jović makes free throw 2 of 2,,1,2,0,2,15.0
11:23.0,D. DiVincenzo misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,37.0
11:19.0, ,0-2,Defensive rebound by N. Jović,,1,2,0,2,41.0
11:11.0, ,0-2,T. Rozier misses 3-pt jump shot from 22 ft,,1,2,0,2,49.0
11:07.0,Defensive rebound by D. DiVincenzo,0-2, ,,1,2,0,2,53.0
10:57.0,J. Brunson makes 2-pt jump shot from 9 ft,2-2, ,Tie,1,2,2,0,63.0
10:40.0, ,2-2,J. Butler misses 3-pt jump shot from 24 ft,,1,2,2,0,80.0
10:33.0, ,2-2,Offensive rebound by B. Adebayo,,1,2,2,0,87.0
10:22.0, ,2-5,J. Butler makes 3-pt jump shot from 24 ft (assist by N. Jović),,1,5,2,3,98.0
9:58.0,D. DiVincenzo makes 2-pt jump shot from 8 ft (assist by J. Hart),4-5, ,,1,5,4,1,122.0
9:48.0, ,4-7,T. Rozier makes 2-pt layup from 1 ft,,1,7,4,3,132.0
9:28.0,J. Brunson makes 3-pt jump shot from 25 ft (assist by I. Hartenstein),7-7, ,Tie,1,7,7,0,152.0
9:04.0, ,7-10,T. Rozier makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,10,7,3,176.0
8:47.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Hart),10-10, ,Tie,1,10,10,0,193.0
8:23.0, ,10-10,Turnover by J. Butler (bad pass; steal by D. DiVincenzo),,1,10,10,0,217.0
8:20.0,Shooting foul by D. Robinson (drawn by J. Brunson),10-10, ,,1,10,10,0,220.0
8:20.0,J. Brunson makes free throw 1 of 2,11-10, ,Lead change,1,10,11,-1,220.0
8:20.0,J. Brunson misses free throw 2 of 2,11-10, ,,1,10,11,-1,220.0
8:18.0, ,11-10,Defensive rebound by T. Rozier,,1,10,11,-1,222.0
8:05.0, ,11-13,N. Jović makes 3-pt jump shot from 24 ft (assist by J. Butler),Lead change,1,13,11,2,235.0
7:46.0,M. McBride misses 3-pt jump shot from 26 ft,11-13, ,,1,13,11,2,254.0
7:43.0, ,11-13,Defensive rebound by D. Robinson,,1,13,11,2,257.0
7:32.0, ,11-13,D. Robinson misses 3-pt jump shot from 27 ft,,1,13,11,2,268.0
7:30.0, ,11-13,Offensive rebound by J. Butler,,1,13,11,2,270.0
7:22.0, ,11-13,Shooting foul by J. Hart (drawn by J. Butler),,1,13,11,2,278.0
7:22.0, ,11-14,J. Butler makes free throw 1 of 2,,1,14,11,3,278.0
7:22.0, ,11-15,J. Butler makes free throw 2 of 2,,1,15,11,4,278.0
7:09.0,M. McBride makes 3-pt jump shot from 24 ft (assist by J. Brunson),14-15, ,,1,15,14,1,291.0
6:55.0, ,14-15,Personal foul by J. Hart (drawn by J. Butler),,1,15,14,1,305.0
6:55.0, ,14-15,Miami full timeout,,1,15,14,1,305.0
6:41.0, ,14-15,T. Rozier misses 2-pt jump shot from 4 ft,,1,15,14,1,319.0
6:39.0,Defensive rebound by J. Hart,14-15, ,,1,15,14,1,321.0
6:32.0,Turnover by M. McBride (bad pass; steal by D. Robinson),14-15, ,,1,15,14,1,328.0
6:28.0, ,14-15,Turnover by D. Robinson (bad pass; steal by I. Hartenstein),,1,15,14,1,332.0
6:24.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,14-15, ,,1,15,14,1,336.0
6:18.0, ,14-15,Defensive rebound by N. Jović,,1,15,14,1,342.0
6:07.0, ,14-18,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,18,14,4,353.0
5:48.0,J. Brunson misses 3-pt jump shot from 24 ft,14-18, ,,1,18,14,4,372.0
5:46.0, ,14-18,Defensive rebound by N. Jović,,1,18,14,4,374.0
5:33.0, ,14-18,B. Adebayo misses 2-pt layup from 2 ft,,1,18,14,4,387.0
5:31.0,Defensive rebound by M. McBride,14-18, ,,1,18,14,4,389.0
5:23.0,Shooting foul by J. Butler (drawn by D. DiVincenzo),14-18, ,,1,18,14,4,397.0
5:23.0,D. DiVincenzo makes free throw 1 of 2,15-18, ,,1,18,15,3,397.0
5:23.0,M. Robinson enters the game for I. Hartenstein,15-18, ,,1,18,15,3,397.0
5:23.0, ,15-18,C. Martin enters the game for J. Butler,,1,18,15,3,397.0
5:23.0,D. DiVincenzo makes free throw 2 of 2,16-18, ,,1,18,16,2,397.0
5:05.0, ,16-18,C. Martin misses 3-pt jump shot from 27 ft,,1,18,16,2,415.0
5:02.0,Defensive rebound by J. Brunson,16-18, ,,1,18,16,2,418.0
4:50.0,J. Brunson misses 2-pt jump shot from 4 ft,16-18, ,,1,18,16,2,430.0
4:46.0, ,16-18,Defensive rebound by B. Adebayo,,1,18,16,2,434.0
4:37.0, ,16-18,Shooting foul by M. Robinson (drawn by B. Adebayo),,1,18,16,2,443.0
4:37.0, ,16-18,B. Adebayo misses free throw 1 of 2,,1,18,16,2,443.0
4:37.0, ,16-18,Offensive rebound by Team,,1,18,16,2,443.0
4:37.0,P. Achiuwa enters the game for J. Hart,16-18, ,,1,18,16,2,443.0
4:37.0, ,16-19,B. Adebayo makes free throw 2 of 2,,1,19,16,3,443.0
4:20.0,Shooting foul by D. Robinson (drawn by M. McBride),16-19, ,,1,19,16,3,460.0
4:20.0,M. McBride makes free throw 1 of 2,17-19, ,,1,19,17,2,460.0
4:20.0, ,17-19,J. Jaquez enters the game for D. Robinson,,1,19,17,2,460.0
4:20.0,M. McBride makes free throw 2 of 2,18-19, ,,1,19,18,1,460.0
4:14.0, ,18-19,Turnover by J. Jaquez (bad pass),,1,19,18,1,466.0
4:00.0,D. DiVincenzo misses 3-pt jump shot from 24 ft,18-19, ,,1,19,18,1,480.0
3:58.0,Offensive rebound by M. Robinson,18-19, ,,1,19,18,1,482.0
3:55.0,M. Robinson misses 2-pt layup from 2 ft,18-19, ,,1,19,18,1,485.0
3:55.0, ,18-19,Defensive rebound by B. Adebayo,,1,19,18,1,485.0
3:50.0, ,18-22,T. Rozier makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,22,18,4,490.0
3:24.0,M. McBride makes 2-pt jump shot from 5 ft (assist by J. Brunson),20-22, ,,1,22,20,2,516.0
3:13.0, ,20-22,Turnover by C. Martin (lost ball; steal by M. Robinson),,1,22,20,2,527.0
3:09.0,Turnover by D. DiVincenzo (lost ball; steal by N. Jović),20-22, ,,1,22,20,2,531.0
3:02.0, ,20-25,T. Rozier makes 3-pt jump shot from 23 ft (assist by C. Martin),,1,25,20,5,538.0
3:02.0, ,20-25,Shooting foul by M. McBride (drawn by T. Rozier),,1,25,20,5,538.0
3:02.0, ,20-25,K. Love enters the game for B. Adebayo,,1,25,20,5,538.0
3:02.0, ,20-26,T. Rozier makes free throw 1 of 1,,1,26,20,6,538.0
2:37.0,M. McBride misses 3-pt jump shot from 25 ft,20-26, ,,1,26,20,6,563.0
2:33.0, ,20-26,Defensive rebound by J. Jaquez,,1,26,20,6,567.0
2:26.0, ,20-26,Turnover by J. Jaquez (lost ball; steal by D. DiVincenzo),,1,26,20,6,574.0
2:23.0,J. Brunson misses 2-pt layup from 2 ft (block by T. Rozier),20-26, ,,1,26,20,6,577.0
2:22.0, ,20-26,Defensive rebound by Team,,1,26,20,6,578.0
2:21.0,New York full timeout,20-26, ,,1,26,20,6,579.0
2:21.0,B. Bogdanović enters the game for J. Brunson,20-26, ,,1,26,20,6,579.0
2:12.0, ,20-28,J. Jaquez makes 2-pt layup from 2 ft (assist by N. Jović),,1,28,20,8,588.0
2:12.0, ,20-28,Shooting foul by P. Achiuwa (drawn by J. Jaquez),,1,28,20,8,588.0
2:12.0,J. Hart enters the game for P. Achiuwa,20-28, ,,1,28,20,8,588.0
2:12.0, ,20-28,J. Butler enters the game for T. Rozier,,1,28,20,8,588.0
2:12.0, ,20-29,J. Jaquez makes free throw 1 of 1,,1,29,20,9,588.0
1:48.0,B. Bogdanović makes 2-pt layup from 1 ft,22-29, ,,1,29,22,7,612.0
1:35.0, ,22-29,N. Jović misses 3-pt jump shot from 26 ft,,1,29,22,7,625.0
1:29.0,Defensive rebound by D. DiVincenzo,22-29, ,,1,29,22,7,631.0
1:25.0,B. Bogdanović misses 3-pt jump shot from 27 ft,22-29, ,,1,29,22,7,635.0
1:24.0, ,22-29,Defensive rebound by K. Love,,1,29,22,7,636.0
1:07.0, ,22-32,K. Love makes 3-pt jump shot from 26 ft (assist by C. Martin),,1,32,22,10,653.0
0:37.0,B. Bogdanović misses 3-pt jump shot from 26 ft,22-32, ,,1,32,22,10,683.0
0:32.0,Offensive rebound by J. Hart,22-32, ,,1,32,22,10,688.0
0:32.0,J. Hart misses 2-pt layup at rim,22-32, ,,1,32,22,10,688.0
0:31.0, ,22-32,Defensive rebound by J. Butler,,1,32,22,10,689.0
0:31.0, ,22-32,Personal foul by D. DiVincenzo (drawn by J. Butler),,1,32,22,10,689.0
0:31.0, ,22-33,J. Butler makes free throw 1 of 2,,1,33,22,11,689.0
0:31.0,P. Achiuwa enters the game for M. Robinson,22-33, ,,1,33,22,11,689.0
0:31.0, ,22-33,H. Highsmith enters the game for N. Jović,,1,33,22,11,689.0
0:31.0, ,22-34,J. Butler makes free throw 2 of 2,,1,34,22,12,689.0
0:18.0,Turnover by D. DiVincenzo (bad pass),22-34, ,,1,34,22,12,702.0
0:18.0, ,22-34,D. Robinson enters the game for J. Jaquez,,1,34,22,12,702.0
0:01.0, ,22-34,J. Butler misses 3-pt jump shot from 23 ft,,1,34,22,12,719.0
0:00.0, ,22-34,Offensive rebound by Team,,1,34,22,12,720.0
0:00.0,End of 1st quarter,22-34,,,1,34,22,12,720.0
12:00.0,Start of 2nd quarter,22-34,,,2,34,22,12,720.0
11:35.0,J. Hart misses 2-pt jump shot from 5 ft,22-34, ,,2,34,22,12,745.0
11:30.0,Offensive rebound by P. Achiuwa,22-34, ,,2,34,22,12,750.0
11:30.0,P. Achiuwa misses 2-pt layup at rim,22-34, ,,2,34,22,12,750.0
11:29.0,Offensive rebound by B. Bogdanović,22-34, ,,2,34,22,12,751.0
11:26.0,B. Bogdanović makes 2-pt jump shot from 16 ft,24-34, ,,2,34,24,10,754.0
11:11.0, ,24-36,J. Butler makes 2-pt jump shot from 14 ft (assist by K. Love),,2,36,24,12,769.0
10:58.0,Shooting foul by J. Jaquez (drawn by B. Bogdanović),24-36, ,,2,36,24,12,782.0
10:58.0,B. Bogdanović makes free throw 1 of 2,25-36, ,,2,36,25,11,782.0
10:58.0,B. Bogdanović makes free throw 2 of 2,26-36, ,,2,36,26,10,782.0
10:49.0, ,26-36,Turnover by C. Martin (bad pass),,2,36,26,10,791.0
10:49.0,New York full timeout,26-36, ,,2,36,26,10,791.0
10:49.0,Instant Replay (Challenge: Ruling Stands),26-36, ,,2,36,26,10,791.0
10:49.0, ,26-36,D. Robinson enters the game for J. Jaquez,,2,36,26,10,791.0
10:34.0,Personal foul by H. Highsmith (drawn by B. Bogdanović),26-36, ,,2,36,26,10,806.0
10:28.0,I. Hartenstein makes 2-pt layup from 3 ft,28-36, ,,2,36,28,8,812.0
10:04.0, ,28-36,K. Love misses 2-pt layup from 3 ft,,2,36,28,8,836.0
10:03.0, ,28-36,Offensive rebound by H. Highsmith,,2,36,28,8,837.0
10:02.0, ,28-36,H. Highsmith misses 2-pt layup at rim,,2,36,28,8,838.0
10:01.0,Defensive rebound by P. Achiuwa,28-36, ,,2,36,28,8,839.0
9:52.0,M. McBride misses 2-pt layup from 1 ft (block by K. Love),28-36, ,,2,36,28,8,848.0
9:51.0, ,28-36,Defensive rebound by D. Robinson,,2,36,28,8,849.0
9:48.0, ,28-36,D. Robinson misses 3-pt jump shot from 27 ft,,2,36,28,8,852.0
9:45.0,Defensive rebound by J. Hart,28-36, ,,2,36,28,8,855.0
9:37.0,M. McBride makes 3-pt jump shot from 27 ft (assist by J. Hart),31-36, ,,2,36,31,5,863.0
9:23.0, ,31-39,H. Highsmith makes 3-pt jump shot from 25 ft (assist by J. Butler),,2,39,31,8,877.0
8:59.0,M. McBride misses 3-pt jump shot from 27 ft,31-39, ,,2,39,31,8,901.0
8:56.0, ,31-39,Defensive rebound by C. Martin,,2,39,31,8,904.0
8:52.0, ,31-39,C. Martin misses 2-pt layup from 2 ft (block by I. Hartenstein),,2,39,31,8,908.0
8:48.0,Defensive rebound by B. Bogdanović,31-39, ,,2,39,31,8,912.0
8:30.0,M. McBride misses 2-pt jump shot from 10 ft,31-39, ,,2,39,31,8,930.0
8:29.0,Offensive rebound by P. Achiuwa,31-39, ,,2,39,31,8,931.0
8:28.0,P. Achiuwa misses 2-pt layup at rim,31-39, ,,2,39,31,8,932.0
8:27.0, ,31-39,Defensive rebound by H. Highsmith,,2,39,31,8,933.0
8:12.0, ,31-39,C. Martin misses 3-pt jump shot from 25 ft,,2,39,31,8,948.0
8:10.0,Defensive rebound by J. Hart,31-39, ,,2,39,31,8,950.0
8:00.0,P. Achiuwa misses 2-pt layup from 2 ft (block by C. Martin),31-39, ,,2,39,31,8,960.0
7:59.0, ,31-39,Defensive rebound by K. Love,,2,39,31,8,961.0
7:59.0, ,31-39,Turnover by K. Love (bad pass; steal by J. Hart),,2,39,31,8,961.0
7:58.0,J. Hart makes 2-pt layup from 2 ft,33-39, ,,2,39,33,6,962.0
7:36.0, ,33-42,K. Love makes 3-pt jump shot from 24 ft (assist by J. Butler),,2,42,33,9,984.0
7:21.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Hart),36-42, ,,2,42,36,6,999.0
7:04.0, ,36-42,K. Love misses 3-pt jump shot from 26 ft,,2,42,36,6,1016.0
7:02.0,Defensive rebound by B. Bogdanović,36-42, ,,2,42,36,6,1018.0
7:00.0,Offensive foul by B. Bogdanović (drawn by D. Robinson),36-42, ,,2,42,36,6,1020.0
7:00.0,Turnover by B. Bogdanović (offensive foul),36-42, ,,2,42,36,6,1020.0
7:00.0,J. Brunson enters the game for I. Hartenstein,36-42, ,,2,42,36,6,1020.0
7:00.0,A. Burks enters the game for M. McBride,36-42, ,,2,42,36,6,1020.0
7:00.0, ,36-42,B. Adebayo enters the game for K. Love,,2,42,36,6,1020.0
7:00.0, ,36-42,T. Rozier enters the game for C. Martin,,2,42,36,6,1020.0
6:38.0, ,36-42,J. Butler misses 2-pt layup from 4 ft,,2,42,36,6,1042.0
6:37.0,Defensive rebound by Team,36-42, ,,2,42,36,6,1043.0
6:17.0,J. Brunson misses 2-pt jump shot from 2 ft,36-42, ,,2,42,36,6,1063.0
6:15.0, ,36-42,Defensive rebound by J. Butler,,2,42,36,6,1065.0
6:09.0, ,36-44,J. Butler makes 2-pt jump shot from 6 ft,,2,44,36,8,1071.0
5:54.0,B. Bogdanović misses 2-pt jump shot from 13 ft,36-44, ,,2,44,36,8,1086.0
5:52.0, ,36-44,Defensive rebound by B. Adebayo,,2,44,36,8,1088.0
5:43.0, ,36-44,H. Highsmith misses 3-pt jump shot from 22 ft,,2,44,36,8,1097.0
5:40.0,Defensive rebound by A. Burks,36-44, ,,2,44,36,8,1100.0
5:33.0,A. Burks misses 3-pt jump shot from 23 ft,36-44, ,,2,44,36,8,1107.0
5:29.0, ,36-44,Defensive rebound by B. Adebayo,,2,44,36,8,1111.0
5:19.0, ,36-44,J. Butler misses 2-pt jump shot from 21 ft,,2,44,36,8,1121.0
5:17.0,Defensive rebound by A. Burks,36-44, ,,2,44,36,8,1123.0
4:56.0,Turnover by J. Brunson (lost ball; steal by H. Highsmith),36-44, ,,2,44,36,8,1144.0
4:48.0, ,36-46,J. Butler makes 2-pt layup from 4 ft (assist by H. Highsmith),,2,46,36,10,1152.0
4:45.0,New York full timeout,36-46, ,,2,46,36,10,1155.0
4:45.0,D. DiVincenzo enters the game for B. Bogdanović,36-46, ,,2,46,36,10,1155.0
4:45.0, ,36-46,N. Jović enters the game for J. Butler,,2,46,36,10,1155.0
4:29.0,Personal foul by H. Highsmith (drawn by J. Brunson),36-46, ,,2,46,36,10,1171.0
4:18.0,J. Brunson misses 2-pt jump shot from 17 ft,36-46, ,,2,46,36,10,1182.0
4:16.0, ,36-46,Defensive rebound by H. Highsmith,,2,46,36,10,1184.0
4:04.0, ,36-48,B. Adebayo makes 2-pt dunk from 2 ft (assist by N. Jović),,2,48,36,12,1196.0
3:45.0,Turnover by J. Brunson (back court),36-48, ,,2,48,36,12,1215.0
3:45.0,M. McBride enters the game for A. Burks,36-48, ,,2,48,36,12,1215.0
3:37.0, ,36-48,D. Robinson misses 3-pt jump shot from 23 ft,,2,48,36,12,1223.0
3:30.0,Defensive rebound by M. McBride,36-48, ,,2,48,36,12,1230.0
3:21.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by M. McBride),39-48, ,,2,48,39,9,1239.0
3:12.0, ,39-48,Turnover by T. Rozier (bad pass; steal by P. Achiuwa),,2,48,39,9,1248.0
3:06.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,39-48, ,,2,48,39,9,1254.0
3:04.0, ,39-48,Defensive rebound by Team,,2,48,39,9,1256.0
2:51.0, ,39-48,D. Robinson misses 3-pt jump shot from 26 ft,,2,48,39,9,1269.0
2:50.0,Defensive rebound by Team,39-48, ,,2,48,39,9,1270.0
2:33.0,D. DiVincenzo makes 2-pt dunk from 1 ft (assist by J. Brunson),41-48, ,,2,48,41,7,1287.0
2:20.0, ,41-48,Shooting foul by M. McBride (drawn by T. Rozier),,2,48,41,7,1300.0
2:20.0, ,41-49,T. Rozier makes free throw 1 of 2,,2,49,41,8,1300.0
2:20.0, ,41-49,J. Butler enters the game for D. Robinson,,2,49,41,8,1300.0
2:20.0, ,41-50,T. Rozier makes free throw 2 of 2,,2,50,41,9,1300.0
2:00.0,Turnover by D. DiVincenzo (traveling),41-50, ,,2,50,41,9,1320.0
1:40.0, ,41-50,Turnover by J. Butler (3 sec),,2,50,41,9,1340.0
1:25.0,J. Brunson misses 3-pt jump shot from 23 ft,41-50, ,,2,50,41,9,1355.0
1:22.0, ,41-50,Defensive rebound by T. Rozier,,2,50,41,9,1358.0
1:12.0, ,41-53,T. Rozier makes 3-pt jump shot from 27 ft (assist by N. Jović),,2,53,41,12,1368.0
1:06.0,Turnover by J. Brunson (bad pass),41-53, ,,2,53,41,12,1374.0
0:53.0, ,41-53,Turnover by J. Butler (lost ball; steal by D. DiVincenzo),,2,53,41,12,1387.0
0:48.0,M. McBride makes 2-pt jump shot from 22 ft (assist by D. DiVincenzo),43-53, ,,2,53,43,10,1392.0
0:38.0, ,43-56,T. Rozier makes 3-pt jump shot from 24 ft,,2,56,43,13,1402.0
0:30.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,43-56, ,,2,56,43,13,1410.0
0:27.0, ,43-56,Defensive rebound by T. Rozier,,2,56,43,13,1413.0
0:04.0, ,43-56,J. Butler misses 2-pt jump shot from 16 ft,,2,56,43,13,1436.0
0:04.0, ,43-56,Offensive rebound by H. Highsmith,,2,56,43,13,1436.0
0:03.0, ,43-56,H. Highsmith misses 2-pt layup from 3 ft,,2,56,43,13,1437.0
0:03.0, ,43-56,Offensive rebound by H. Highsmith,,2,56,43,13,1437.0
0:01.0, ,43-58,H. Highsmith makes 2-pt layup at rim,,2,58,43,15,1439.0
0:00.0,End of 2nd quarter,43-58,,,2,58,43,15,1440.0
12:00.0,Start of 3rd quarter,43-58,,,3,58,43,15,1440.0
11:34.0,I. Hartenstein makes 2-pt jump shot from 11 ft (assist by D. DiVincenzo),45-58, ,,3,58,45,13,1466.0
11:15.0, ,45-58,Turnover by T. Rozier (bad pass; steal by I. Hartenstein),,3,58,45,13,1485.0
10:59.0,Shooting foul by J. Butler (drawn by J. Brunson),45-58, ,,3,58,45,13,1501.0
10:59.0,J. Brunson makes free throw 1 of 2,46-58, ,,3,58,46,12,1501.0
10:59.0,J. Brunson makes free throw 2 of 2,47-58, ,,3,58,47,11,1501.0
10:34.0, ,47-61,T. Rozier makes 3-pt jump shot from 26 ft (assist by D. Robinson),,3,61,47,14,1526.0
10:07.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,47-61, ,,3,61,47,14,1553.0
10:05.0, ,47-61,Defensive rebound by B. Adebayo,,3,61,47,14,1555.0
9:53.0, ,47-63,B. Adebayo makes 2-pt jump shot from 7 ft,,3,63,47,16,1567.0
9:39.0,M. McBride makes 2-pt layup from 2 ft (assist by I. Hartenstein),49-63, ,,3,63,49,14,1581.0
9:25.0, ,49-65,T. Rozier makes 2-pt jump shot from 18 ft,,3,65,49,16,1595.0
9:14.0,Shooting foul by D. Robinson (drawn by J. Brunson),49-65, ,,3,65,49,16,1606.0
9:14.0,J. Brunson makes free throw 1 of 2,50-65, ,,3,65,50,15,1606.0
9:14.0,J. Brunson makes free throw 2 of 2,51-65, ,,3,65,51,14,1606.0
8:56.0,Jump ball: I. Hartenstein vs. T. Rozier (J. Hart gains possession),51-65,,,3,65,51,14,1624.0
8:56.0, ,51-65,Turnover by T. Rozier (lost ball; steal by I. Hartenstein),,3,65,51,14,1624.0
8:44.0,J. Brunson makes 2-pt jump shot from 12 ft,53-65, ,,3,65,53,12,1636.0
8:25.0, ,53-65,B. Adebayo misses 2-pt jump shot from 6 ft,,3,65,53,12,1655.0
8:23.0,Defensive rebound by I. Hartenstein,53-65, ,,3,65,53,12,1657.0
8:10.0,J. Brunson misses 3-pt jump shot from 24 ft,53-65, ,,3,65,53,12,1670.0
8:05.0, ,53-65,Defensive rebound by T. Rozier,,3,65,53,12,1675.0
8:01.0, ,53-68,D. Robinson makes 3-pt jump shot from 24 ft (assist by N. Jović),,3,68,53,15,1679.0
7:33.0,M. McBride makes 2-pt layup from 2 ft (assist by J. Brunson),55-68, ,,3,68,55,13,1707.0
7:12.0, ,55-68,J. Butler misses 2-pt jump shot from 10 ft,,3,68,55,13,1728.0
7:09.0,Defensive rebound by D. DiVincenzo,55-68, ,,3,68,55,13,1731.0
7:01.0,D. DiVincenzo makes 3-pt jump shot from 24 ft (assist by J. Brunson),58-68, ,,3,68,58,10,1739.0
6:47.0, ,58-68,Shooting foul by I. Hartenstein (drawn by B. Adebayo),,3,68,58,10,1753.0
6:47.0, ,58-68,Miami full timeout,,3,68,58,10,1753.0
6:47.0, ,58-69,B. Adebayo makes free throw 1 of 2,,3,69,58,11,1753.0
6:47.0, ,58-70,B. Adebayo makes free throw 2 of 2,,3,70,58,12,1753.0
6:32.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,58-70, ,,3,70,58,12,1768.0
6:31.0, ,58-70,Defensive rebound by Team,,3,70,58,12,1769.0
6:09.0, ,58-70,Turnover by J. Butler (out of bounds lost ball),,3,70,58,12,1791.0
5:58.0,Turnover by J. Hart (bad pass; steal by B. Adebayo),58-70, ,,3,70,58,12,1802.0
5:54.0, ,58-72,B. Adebayo makes 2-pt dunk from 1 ft,,3,72,58,14,1806.0
5:24.0,J. Brunson misses 3-pt jump shot from 27 ft,58-72, ,,3,72,58,14,1836.0
5:22.0, ,58-72,Defensive rebound by B. Adebayo,,3,72,58,14,1838.0
5:17.0, ,58-72,Personal foul by M. McBride (drawn by J. Butler),,3,72,58,14,1843.0
5:17.0,M. Robinson enters the game for I. Hartenstein,58-72, ,,3,72,58,14,1843.0
5:17.0, ,58-72,C. Martin enters the game for J. Butler,,3,72,58,14,1843.0
5:11.0, ,58-74,B. Adebayo makes 2-pt jump shot from 6 ft (assist by N. Jović),,3,74,58,16,1849.0
4:56.0,Turnover by J. Brunson (bad pass),58-74, ,,3,74,58,16,1864.0
