Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Green (J. Smith gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-3,J. Smith makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,1,0,3,-3,18.0
11:14.0,T. Rozier makes 2-pt jump shot from 16 ft (assist by B. Adebayo),2-3, ,,1,2,3,-1,46.0
11:03.0, ,2-3,Shooting foul by D. Robinson (drawn by J. Green),,1,2,3,-1,57.0
11:03.0, ,2-3,J. Green misses free throw 1 of 2,,1,2,3,-1,57.0
11:03.0, ,2-3,Offensive rebound by Team,,1,2,3,-1,57.0
11:03.0, ,2-4,J. Green makes free throw 2 of 2,,1,2,4,-2,57.0
10:48.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),5-4, ,Lead change,1,5,4,1,72.0
10:27.0, ,5-4,Turnover by J. Smith (lost ball; steal by B. Adebayo),,1,5,4,1,93.0
10:17.0,B. Adebayo makes 2-pt jump shot from 19 ft (assist by T. Rozier),7-4, ,,1,7,4,3,103.0
10:02.0, ,7-4,F. VanVleet misses 2-pt layup from 3 ft,,1,7,4,3,118.0
9:59.0, ,7-4,Offensive rebound by F. VanVleet,,1,7,4,3,121.0
9:59.0, ,7-6,J. Green makes 2-pt jump shot from 3 ft (assist by F. VanVleet),,1,7,6,1,121.0
9:59.0, ,7-6,Shooting foul by N. Jović (drawn by J. Green),,1,7,6,1,121.0
9:59.0, ,7-7,J. Green makes free throw 1 of 1,Tie,1,7,7,0,121.0
9:46.0,Turnover by J. Butler (bad pass; steal by J. Green),7-7, ,,1,7,7,0,134.0
9:40.0, ,7-9,D. Brooks makes 2-pt dunk from 3 ft (assist by J. Green),Lead change,1,7,9,-2,140.0
9:26.0,Turnover by N. Jović (bad pass; steal by J. Smith),7-9, ,,1,7,9,-2,154.0
9:18.0, ,7-9,Turnover by F. VanVleet (lost ball; steal by J. Butler),,1,7,9,-2,162.0
9:10.0,Turnover by J. Butler (out of bounds lost ball),7-9, ,,1,7,9,-2,170.0
8:58.0, ,7-11,J. Green makes 2-pt layup from 3 ft (assist by J. Green),,1,7,11,-4,182.0
8:45.0,J. Butler makes 2-pt jump shot from 6 ft,9-11, ,,1,9,11,-2,195.0
8:33.0, ,9-14,D. Brooks makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,1,9,14,-5,207.0
8:13.0,N. Jović misses 3-pt jump shot from 27 ft,9-14, ,,1,9,14,-5,227.0
8:11.0, ,9-14,Defensive rebound by J. Green,,1,9,14,-5,229.0
8:01.0, ,9-14,D. Brooks misses 2-pt layup from 2 ft,,1,9,14,-5,239.0
7:59.0,Defensive rebound by N. Jović,9-14, ,,1,9,14,-5,241.0
7:54.0,J. Butler misses 3-pt jump shot from 27 ft,9-14, ,,1,9,14,-5,246.0
7:51.0, ,9-14,Defensive rebound by J. Smith,,1,9,14,-5,249.0
7:35.0, ,9-14,Personal foul by J. Butler (drawn by J. Green),,1,9,14,-5,265.0
7:28.0, ,9-14,J. Smith misses 3-pt jump shot from 25 ft,,1,9,14,-5,272.0
7:26.0,Defensive rebound by N. Jović,9-14, ,,1,9,14,-5,274.0
7:18.0,B. Adebayo misses 2-pt hook shot from 6 ft,9-14, ,,1,9,14,-5,282.0
7:17.0, ,9-14,Defensive rebound by J. Green,,1,9,14,-5,283.0
7:07.0, ,9-14,J. Green misses 2-pt layup from 4 ft,,1,9,14,-5,293.0
7:07.0,Defensive rebound by B. Adebayo,9-14, ,,1,9,14,-5,293.0
6:45.0,N. Jović makes 2-pt layup from 4 ft (assist by B. Adebayo),11-14, ,,1,11,14,-3,315.0
6:28.0, ,11-14,Shooting foul by T. Rozier (drawn by D. Brooks),,1,11,14,-3,332.0
6:28.0, ,11-14,Houston full timeout,,1,11,14,-3,332.0
6:28.0, ,11-14,J. Landale enters the game for J. Green,,1,11,14,-3,332.0
6:28.0, ,11-14,C. Whitmore enters the game for J. Green,,1,11,14,-3,332.0
6:28.0, ,11-15,D. Brooks makes free throw 1 of 2,,1,11,15,-4,332.0
6:28.0, ,11-15,D. Brooks misses free throw 2 of 2,,1,11,15,-4,332.0
6:28.0,Defensive rebound by B. Adebayo,11-15, ,,1,11,15,-4,332.0
6:14.0,N. Jović misses 3-pt jump shot from 26 ft,11-15, ,,1,11,15,-4,346.0
6:13.0, ,11-15,Defensive rebound by C. Whitmore,,1,11,15,-4,347.0
6:03.0, ,11-15,F. VanVleet misses 3-pt jump shot from 25 ft,,1,11,15,-4,357.0
6:02.0,Defensive rebound by N. Jović,11-15, ,,1,11,15,-4,358.0
5:50.0,D. Robinson misses 3-pt jump shot from 25 ft,11-15, ,,1,11,15,-4,370.0
5:49.0, ,11-15,Defensive rebound by D. Brooks,,1,11,15,-4,371.0
5:33.0, ,11-18,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Smith),,1,11,18,-7,387.0
5:19.0,Shooting foul by C. Whitmore (drawn by J. Butler),11-18, ,,1,11,18,-7,401.0
5:19.0,J. Butler makes free throw 1 of 2,12-18, ,,1,12,18,-6,401.0
5:19.0,C. Martin enters the game for N. Jović,12-18, ,,1,12,18,-6,401.0
5:19.0,J. Butler makes free throw 2 of 2,13-18, ,,1,13,18,-5,401.0
5:06.0, ,13-18,Turnover by C. Whitmore (back court),,1,13,18,-5,414.0
4:55.0,J. Butler makes 2-pt layup from 3 ft,15-18, ,,1,15,18,-3,425.0
4:45.0, ,15-18,F. VanVleet misses 3-pt jump shot from 25 ft,,1,15,18,-3,435.0
4:44.0,Defensive rebound by B. Adebayo,15-18, ,,1,15,18,-3,436.0
4:36.0,Shooting foul by J. Smith (drawn by J. Butler),15-18, ,,1,15,18,-3,444.0
4:36.0,J. Butler makes free throw 1 of 2,16-18, ,,1,16,18,-2,444.0
4:36.0,K. Love enters the game for B. Adebayo,16-18, ,,1,16,18,-2,444.0
4:36.0,J. Butler makes free throw 2 of 2,17-18, ,,1,17,18,-1,444.0
4:19.0, ,17-21,D. Brooks makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,1,17,21,-4,461.0
4:02.0,C. Martin makes 2-pt layup from 6 ft (assist by D. Robinson),19-21, ,,1,19,21,-2,478.0
3:44.0, ,19-21,J. Landale misses 3-pt jump shot from 25 ft,,1,19,21,-2,496.0
3:42.0,Defensive rebound by Team,19-21, ,,1,19,21,-2,498.0
3:42.0,T. Herro enters the game for T. Rozier,19-21, ,,1,19,21,-2,498.0
3:29.0,J. Butler misses 3-pt jump shot from 25 ft,19-21, ,,1,19,21,-2,511.0
