Time,Dallas,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. B. Adebayo (D. Jones gains possession),0-0,,,1,0,0,0,0.0
11:37.0,K. Irving misses 2-pt jump shot from 9 ft,0-0, ,,1,0,0,0,23.0
11:34.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,26.0
11:34.0, ,0-0,Personal foul by K. Irving (drawn by B. Adebayo),,1,0,0,0,26.0
11:25.0, ,0-0,Shooting foul by L. Dončić (drawn by T. Herro),,1,0,0,0,35.0
11:25.0, ,0-1,T. Herro makes free throw 1 of 2,,1,1,0,1,35.0
11:25.0, ,0-2,T. Herro makes free throw 2 of 2,,1,2,0,2,35.0
11:05.0,D. Jones misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,55.0
11:03.0, ,0-2,Defensive rebound by N. Jović,,1,2,0,2,57.0
10:54.0, ,0-2,N. Jović misses 2-pt jump shot from 6 ft,,1,2,0,2,66.0
10:52.0,Defensive rebound by D. Gafford,0-2, ,,1,2,0,2,68.0
10:47.0,Turnover by K. Irving (bad pass),0-2, ,,1,2,0,2,73.0
10:30.0, ,0-4,B. Adebayo makes 2-pt jump shot from 7 ft (assist by C. Martin),,1,4,0,4,90.0
10:17.0,L. Dončić makes 3-pt jump shot from 26 ft,3-4, ,,1,4,3,1,103.0
9:53.0, ,3-6,N. Jović makes 2-pt layup from 4 ft (assist by J. Butler),,1,6,3,3,127.0
9:40.0,L. Dončić makes 3-pt jump shot from 29 ft (assist by D. Gafford),6-6, ,Tie,1,6,6,0,140.0
9:27.0, ,6-8,T. Herro makes 2-pt layup from 4 ft,,1,8,6,2,153.0
9:13.0,L. Dončić misses 3-pt jump shot from 27 ft,6-8, ,,1,8,6,2,167.0
9:11.0,Offensive rebound by L. Dončić,6-8, ,,1,8,6,2,169.0
9:10.0,L. Dončić makes 2-pt layup from 3 ft,8-8, ,Tie,1,8,8,0,170.0
8:59.0, ,8-8,B. Adebayo misses 3-pt jump shot from 26 ft,,1,8,8,0,181.0
8:56.0,Defensive rebound by K. Irving,8-8, ,,1,8,8,0,184.0
8:51.0,Personal foul by B. Adebayo (drawn by L. Dončić),8-8, ,,1,8,8,0,189.0
8:40.0,K. Irving misses 2-pt jump shot from 7 ft (block by C. Martin),8-8, ,,1,8,8,0,200.0
8:38.0, ,8-8,Defensive rebound by Team,,1,8,8,0,202.0
8:21.0, ,8-11,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,11,8,3,219.0
8:02.0,D. Jones makes 2-pt jump shot from 8 ft (assist by D. Gafford),10-11, ,,1,11,10,1,238.0
7:48.0, ,10-11,C. Martin misses 2-pt layup from 5 ft,,1,11,10,1,252.0
7:47.0, ,10-11,Offensive rebound by C. Martin,,1,11,10,1,253.0
7:47.0, ,10-13,C. Martin makes 2-pt layup at rim,,1,13,10,3,253.0
7:34.0,Turnover by L. Dončić (bad pass; steal by J. Butler),10-13, ,,1,13,10,3,266.0
7:28.0, ,10-13,C. Martin misses 3-pt jump shot from 25 ft,,1,13,10,3,272.0
7:24.0, ,10-13,Offensive rebound by C. Martin,,1,13,10,3,276.0
7:24.0,M. Kleber enters the game for D. Gafford,10-13, ,,1,13,10,3,276.0
7:12.0, ,10-13,N. Jović misses 3-pt jump shot from 26 ft,,1,13,10,3,288.0
7:09.0,Defensive rebound by L. Dončić,10-13, ,,1,13,10,3,291.0
