Time,Toronto,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Olynyk vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-3,N. Jović makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,3,0,3,22.0
11:22.0,J. Freeman-Liberty misses 3-pt jump shot from 25 ft,0-3, ,,1,3,0,3,38.0
11:20.0, ,0-3,Defensive rebound by C. Martin,,1,3,0,3,40.0
11:12.0, ,0-3,B. Adebayo misses 2-pt jump shot from 18 ft,,1,3,0,3,48.0
11:11.0,Defensive rebound by K. Olynyk,0-3, ,,1,3,0,3,49.0
10:52.0,G. Trent misses 3-pt jump shot from 26 ft,0-3, ,,1,3,0,3,68.0
10:50.0, ,0-3,Defensive rebound by J. Butler,,1,3,0,3,70.0
10:45.0, ,0-3,Turnover by B. Adebayo (bad pass; steal by G. Dick),,1,3,0,3,75.0
10:34.0,O. Agbaji makes 2-pt layup from 3 ft (assist by K. Olynyk),2-3, ,,1,3,2,1,86.0
10:20.0, ,2-3,N. Jović misses 3-pt jump shot from 26 ft,,1,3,2,1,100.0
10:17.0,Defensive rebound by K. Olynyk,2-3, ,,1,3,2,1,103.0
10:08.0,G. Dick makes 2-pt layup from 3 ft (assist by J. Freeman-Liberty),4-3, ,Lead change,1,3,4,-1,112.0
10:08.0,Shooting foul by N. Jović (drawn by G. Dick),4-3, ,,1,3,4,-1,112.0
10:08.0,G. Dick makes free throw 1 of 1,5-3, ,,1,3,5,-2,112.0
9:49.0, ,5-6,T. Herro makes 3-pt jump shot from 28 ft (assist by J. Butler),Lead change,1,6,5,1,131.0
9:37.0,K. Olynyk misses 3-pt jump shot from 25 ft,5-6, ,,1,6,5,1,143.0
9:35.0, ,5-6,Defensive rebound by B. Adebayo,,1,6,5,1,145.0
9:32.0, ,5-6,Shooting foul by G. Trent (drawn by J. Butler),,1,6,5,1,148.0
9:32.0, ,5-7,J. Butler makes free throw 1 of 2,,1,7,5,2,148.0
9:32.0, ,5-8,J. Butler makes free throw 2 of 2,,1,8,5,3,148.0
9:13.0,Shooting foul by B. Adebayo (drawn by G. Trent),5-8, ,,1,8,5,3,167.0
9:13.0,G. Trent makes free throw 1 of 3,6-8, ,,1,8,6,2,167.0
9:13.0,G. Trent makes free throw 2 of 3,7-8, ,,1,8,7,1,167.0
9:13.0,G. Trent makes free throw 3 of 3,8-8, ,Tie,1,8,8,0,167.0
9:03.0, ,8-8,Turnover by B. Adebayo (bad pass),,1,8,8,0,177.0
8:50.0,Turnover by J. Freeman-Liberty (bad pass; steal by B. Adebayo),8-8, ,,1,8,8,0,190.0
8:40.0, ,8-8,Turnover by T. Herro (bad pass; steal by O. Agbaji),,1,8,8,0,200.0
8:35.0,O. Agbaji makes 2-pt dunk from 2 ft,10-8, ,Lead change,1,8,10,-2,205.0
8:19.0, ,10-8,T. Herro misses 2-pt layup from 5 ft,,1,8,10,-2,221.0
8:17.0,Defensive rebound by G. Trent,10-8, ,,1,8,10,-2,223.0
8:09.0,Turnover by K. Olynyk (bad pass; steal by N. Jović),10-8, ,,1,8,10,-2,231.0
8:04.0, ,10-8,C. Martin misses 2-pt layup from 4 ft,,1,8,10,-2,236.0
8:00.0,Defensive rebound by K. Olynyk,10-8, ,,1,8,10,-2,240.0
7:51.0,K. Olynyk makes 2-pt jump shot from 4 ft (assist by O. Agbaji),12-8, ,,1,8,12,-4,249.0
7:34.0, ,12-8,N. Jović misses 3-pt jump shot from 25 ft,,1,8,12,-4,266.0
7:31.0,Defensive rebound by K. Olynyk,12-8, ,,1,8,12,-4,269.0
7:26.0,G. Trent misses 3-pt jump shot from 26 ft,12-8, ,,1,8,12,-4,274.0
7:23.0, ,12-8,Defensive rebound by B. Adebayo,,1,8,12,-4,277.0
7:16.0, ,12-8,Personal foul by O. Agbaji (drawn by B. Adebayo),,1,8,12,-4,284.0
7:06.0, ,12-8,T. Herro misses 2-pt layup from 3 ft,,1,8,12,-4,294.0
