Time,Miami,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Embiid (T. Maxey gains possession),0-0,,,1,0,0,0,0.0
11:32.0, ,0-2,T. Harris makes 2-pt jump shot from 17 ft,,1,0,2,-2,28.0
11:07.0,B. Adebayo misses 3-pt jump shot from 28 ft,0-2, ,,1,0,2,-2,53.0
11:04.0, ,0-2,Defensive rebound by J. Embiid,,1,0,2,-2,56.0
10:59.0, ,0-2,J. Embiid misses 2-pt jump shot from 15 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by C. Martin,0-2, ,,1,0,2,-2,64.0
10:53.0,Personal foul by T. Harris (drawn by C. Martin),0-2, ,,1,0,2,-2,67.0
10:47.0,J. Butler misses 2-pt jump shot from 8 ft,0-2, ,,1,0,2,-2,73.0
10:44.0, ,0-2,Defensive rebound by T. Maxey,,1,0,2,-2,76.0
10:40.0, ,0-2,T. Maxey misses 3-pt jump shot from 29 ft,,1,0,2,-2,80.0
10:35.0,Defensive rebound by N. Jović,0-2, ,,1,0,2,-2,85.0
10:31.0,T. Herro misses 3-pt jump shot from 27 ft,0-2, ,,1,0,2,-2,89.0
10:26.0, ,0-2,Defensive rebound by J. Embiid,,1,0,2,-2,94.0
10:20.0, ,0-2,Philadelphia full timeout,,1,0,2,-2,100.0
10:11.0, ,0-2,Turnover by T. Harris (off goaltending),,1,0,2,-2,109.0
9:51.0,Turnover by T. Herro (lost ball; steal by K. Lowry),0-2, ,,1,0,2,-2,129.0
9:48.0, ,0-4,T. Maxey makes 2-pt layup from 2 ft,,1,0,4,-4,132.0
9:39.0,N. Jović makes 2-pt layup from 3 ft,2-4, ,,1,2,4,-2,141.0
9:21.0, ,2-4,T. Harris misses 3-pt jump shot from 24 ft,,1,2,4,-2,159.0
9:19.0,Defensive rebound by J. Butler,2-4, ,,1,2,4,-2,161.0
9:11.0,Turnover by T. Herro (traveling),2-4, ,,1,2,4,-2,169.0
8:57.0, ,2-4,K. Lowry misses 3-pt jump shot from 27 ft,,1,2,4,-2,183.0
8:52.0,Defensive rebound by N. Jović,2-4, ,,1,2,4,-2,188.0
8:49.0, ,2-4,Violation by Team (kicked ball),,1,2,4,-2,191.0
8:44.0,Turnover by N. Jović (bad pass),2-4, ,,1,2,4,-2,196.0
8:35.0, ,2-4,T. Maxey misses 3-pt jump shot from 27 ft,,1,2,4,-2,205.0
8:32.0,Defensive rebound by B. Adebayo,2-4, ,,1,2,4,-2,208.0
8:15.0,J. Butler misses 2-pt jump shot from 17 ft,2-4, ,,1,2,4,-2,225.0
8:11.0, ,2-4,Defensive rebound by K. Oubre,,1,2,4,-2,229.0
7:59.0, ,2-4,K. Oubre misses 2-pt layup from 6 ft (block by B. Adebayo),,1,2,4,-2,241.0
7:59.0, ,2-4,Offensive rebound by Team,,1,2,4,-2,241.0
7:51.0, ,2-4,Shooting foul by B. Adebayo (drawn by J. Embiid),,1,2,4,-2,249.0
7:51.0, ,2-5,J. Embiid makes free throw 1 of 2,,1,2,5,-3,249.0
7:51.0, ,2-5,J. Embiid misses free throw 2 of 2,,1,2,5,-3,249.0
7:49.0,Defensive rebound by N. Jović,2-5, ,,1,2,5,-3,251.0
7:35.0,T. Herro misses 3-pt jump shot from 26 ft,2-5, ,,1,2,5,-3,265.0
7:32.0, ,2-5,Defensive rebound by K. Lowry,,1,2,5,-3,268.0
7:25.0, ,2-7,J. Embiid makes 2-pt jump shot from 5 ft (assist by T. Harris),,1,2,7,-5,275.0
7:15.0,B. Adebayo misses 3-pt jump shot from 26 ft,2-7, ,,1,2,7,-5,285.0
7:12.0, ,2-7,Defensive rebound by K. Oubre,,1,2,7,-5,288.0
7:02.0, ,2-7,K. Oubre misses 2-pt jump shot from 12 ft,,1,2,7,-5,298.0
6:57.0, ,2-7,Offensive rebound by K. Lowry,,1,2,7,-5,303.0
6:55.0, ,2-7,Shooting foul by B. Adebayo (drawn by J. Embiid),,1,2,7,-5,305.0
6:55.0, ,2-8,J. Embiid makes free throw 1 of 2,,1,2,8,-6,305.0
6:55.0,K. Love enters the game for B. Adebayo,2-8, ,,1,2,8,-6,305.0
6:55.0, ,2-9,J. Embiid makes free throw 2 of 2,,1,2,9,-7,305.0
6:39.0,Personal foul by J. Embiid (drawn by J. Butler),2-9, ,,1,2,9,-7,321.0
6:28.0,T. Herro makes 2-pt jump shot from 7 ft,4-9, ,,1,4,9,-5,332.0
6:07.0, ,4-12,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Maxey),,1,4,12,-8,353.0
5:56.0,Shooting foul by K. Lowry (drawn by J. Butler),4-12, ,,1,4,12,-8,364.0
5:56.0,J. Butler makes free throw 1 of 2,5-12, ,,1,5,12,-7,364.0
5:56.0,J. Butler makes free throw 2 of 2,6-12, ,,1,6,12,-6,364.0
5:38.0, ,6-12,Def 3 sec tech foul by Team,,1,6,12,-6,382.0
5:38.0, ,6-13,J. Embiid makes technical free throw,,1,6,13,-7,382.0
5:24.0, ,6-13,J. Embiid misses 2-pt jump shot from 7 ft,,1,6,13,-7,396.0
5:24.0,Defensive rebound by N. Jović,6-13, ,,1,6,13,-7,396.0
5:17.0,T. Herro misses 3-pt jump shot from 24 ft,6-13, ,,1,6,13,-7,403.0
5:14.0, ,6-13,Defensive rebound by K. Oubre,,1,6,13,-7,406.0
5:09.0, ,6-13,Turnover by K. Lowry (bad pass; steal by J. Butler),,1,6,13,-7,411.0
5:06.0,J. Butler makes 2-pt dunk from 1 ft,8-13, ,,1,8,13,-5,414.0
4:39.0, ,8-16,T. Maxey makes 3-pt jump shot from 26 ft (assist by J. Embiid),,1,8,16,-8,441.0
4:20.0,T. Herro makes 2-pt jump shot from 6 ft (assist by J. Butler),10-16, ,,1,10,16,-6,460.0
3:59.0, ,10-16,Turnover by J. Embiid (lost ball; steal by J. Butler),,1,10,16,-6,481.0
3:56.0,J. Butler makes 2-pt dunk from 1 ft,12-16, ,,1,12,16,-4,484.0
3:36.0, ,12-16,Personal foul by T. Herro (drawn by T. Maxey),,1,12,16,-4,504.0
3:36.0,H. Highsmith enters the game for J. Butler,12-16, ,,1,12,16,-4,504.0
3:36.0,J. Jaquez enters the game for N. Jović,12-16, ,,1,12,16,-4,504.0
3:36.0, ,12-16,N. Batum enters the game for J. Embiid,,1,12,16,-4,504.0
3:36.0, ,12-16,P. Reed enters the game for K. Oubre,,1,12,16,-4,504.0
3:21.0, ,12-18,T. Harris makes 2-pt jump shot from 14 ft,,1,12,18,-6,519.0
3:09.0,C. Martin makes 2-pt layup from 2 ft (assist by T. Herro),14-18, ,,1,14,18,-4,531.0
2:59.0, ,14-18,T. Maxey misses 3-pt jump shot from 27 ft,,1,14,18,-4,541.0
2:59.0, ,14-18,Offensive rebound by Team,,1,14,18,-4,541.0
2:59.0,Miami full timeout,14-18, ,,1,14,18,-4,541.0
2:57.0, ,14-18,Turnover by N. Batum (bad pass; steal by H. Highsmith),,1,14,18,-4,543.0
2:53.0,C. Martin misses 2-pt layup from 3 ft,14-18, ,,1,14,18,-4,547.0
2:49.0, ,14-18,Defensive rebound by T. Maxey,,1,14,18,-4,551.0
2:49.0, ,14-20,K. Lowry makes 2-pt layup from 3 ft (assist by T. Maxey),,1,14,20,-6,551.0
2:49.0,Violation by Team (def goaltending),14-20, ,,1,14,20,-6,551.0
2:27.0,K. Love misses 3-pt jump shot from 25 ft,14-20, ,,1,14,20,-6,573.0
2:27.0,Offensive rebound by H. Highsmith,14-20, ,,1,14,20,-6,573.0
2:27.0,Shooting foul by K. Lowry (drawn by H. Highsmith),14-20, ,,1,14,20,-6,573.0
2:27.0,H. Highsmith misses free throw 1 of 2,14-20, ,,1,14,20,-6,573.0
2:27.0,Offensive rebound by Team,14-20, ,,1,14,20,-6,573.0
2:27.0,D. Wright enters the game for C. Martin,14-20, ,,1,14,20,-6,573.0
2:27.0, ,14-20,B. Hield enters the game for T. Harris,,1,14,20,-6,573.0
2:27.0, ,14-20,K. Oubre enters the game for K. Lowry,,1,14,20,-6,573.0
2:27.0,H. Highsmith makes free throw 2 of 2,15-20, ,,1,15,20,-5,573.0
2:03.0, ,15-20,Turnover by T. Maxey (bad pass; steal by J. Jaquez),,1,15,20,-5,597.0
1:58.0,T. Herro misses 2-pt layup from 1 ft (block by K. Oubre),15-20, ,,1,15,20,-5,602.0
1:55.0, ,15-20,Defensive rebound by Team,,1,15,20,-5,605.0
1:55.0,Loose ball foul by J. Jaquez (drawn by K. Oubre),15-20, ,,1,15,20,-5,605.0
1:55.0, ,15-20,J. Embiid enters the game for P. Reed,,1,15,20,-5,605.0
1:43.0, ,15-20,Turnover by T. Maxey (bad pass; steal by D. Wright),,1,15,20,-5,617.0
1:33.0,T. Herro makes 2-pt jump shot from 7 ft (assist by D. Wright),17-20, ,,1,17,20,-3,627.0
1:11.0, ,17-20,Turnover by B. Hield (bad pass),,1,17,20,-3,649.0
1:11.0,J. Butler enters the game for T. Herro,17-20, ,,1,17,20,-3,649.0
0:57.0,J. Jaquez makes 3-pt jump shot from 27 ft (assist by J. Butler),20-20, ,Tie,1,20,20,0,663.0
0:37.0, ,20-20,B. Hield misses 3-pt jump shot from 27 ft,,1,20,20,0,683.0
0:33.0,Defensive rebound by K. Love,20-20, ,,1,20,20,0,687.0
0:28.0,Personal foul by K. Oubre (drawn by K. Love),20-20, ,,1,20,20,0,692.0
0:28.0,K. Love makes free throw 1 of 2,21-20, ,Lead change,1,21,20,1,692.0
0:28.0,K. Love makes free throw 2 of 2,22-20, ,,1,22,20,2,692.0
0:04.0, ,22-22,T. Maxey makes 2-pt jump shot from 9 ft (assist by B. Hield),Tie,1,22,22,0,716.0
0:01.0,Shooting foul by K. Oubre (drawn by J. Butler),22-22, ,,1,22,22,0,719.0
0:01.0,Instant Replay (Request: Stands),22-22, ,,1,22,22,0,719.0
0:01.0,Miami full timeout,22-22, ,,1,22,22,0,719.0
0:01.0,J. Butler makes free throw 1 of 2,23-22, ,,1,23,22,1,719.0
0:01.0, ,23-22,T. Harris enters the game for K. Oubre,,1,23,22,1,719.0
0:01.0,J. Butler misses free throw 2 of 2,23-22, ,,1,23,22,1,719.0
0:01.0, ,23-22,Defensive rebound by J. Embiid,,1,23,22,1,719.0
0:00.0, ,23-22,J. Embiid misses 3-pt jump shot from 71 ft,,1,23,22,1,720.0
0:00.0, ,23-22,Offensive rebound by Team,,1,23,22,1,720.0
0:00.0,End of 1st quarter,23-22,,,1,23,22,1,720.0
12:00.0,Start of 2nd quarter,23-22,,,2,23,22,1,720.0
11:44.0,Def 3 sec tech foul by Team,23-22, ,,2,23,22,1,736.0
11:44.0,J. Butler makes technical free throw,24-22, ,,2,24,22,2,736.0
11:34.0,Shooting foul by J. Embiid (drawn by J. Butler),24-22, ,,2,24,22,2,746.0
11:34.0,J. Butler makes free throw 1 of 2,25-22, ,,2,25,22,3,746.0
11:34.0,J. Butler makes free throw 2 of 2,26-22, ,,2,26,22,4,746.0
11:15.0, ,26-22,Turnover by N. Batum (bad pass; steal by J. Butler),,2,26,22,4,765.0
11:12.0,Turnover by J. Jaquez (dbl dribble),26-22, ,,2,26,22,4,768.0
10:57.0, ,26-22,Turnover by J. Embiid (lost ball; steal by K. Love),,2,26,22,4,783.0
10:40.0,J. Jaquez makes 2-pt hook shot from 5 ft,28-22, ,,2,28,22,6,800.0
10:23.0, ,28-22,B. Hield misses 3-pt jump shot from 27 ft,,2,28,22,6,817.0
10:22.0, ,28-22,Offensive rebound by N. Batum,,2,28,22,6,818.0
10:21.0, ,28-22,T. Harris misses 3-pt jump shot from 26 ft,,2,28,22,6,819.0
10:19.0,Defensive rebound by Team,28-22, ,,2,28,22,6,821.0
10:19.0, ,28-22,T. Maxey enters the game for B. Hield,,2,28,22,6,821.0
9:56.0,J. Butler misses 2-pt jump shot from 10 ft,28-22, ,,2,28,22,6,844.0
9:53.0, ,28-22,Defensive rebound by J. Embiid,,2,28,22,6,847.0
9:51.0, ,28-22,Shooting foul by J. Jaquez (drawn by T. Maxey),,2,28,22,6,849.0
9:51.0, ,28-23,T. Maxey makes free throw 1 of 2,,2,28,23,5,849.0
9:51.0, ,28-24,T. Maxey makes free throw 2 of 2,,2,28,24,4,849.0
9:41.0,J. Butler misses 3-pt jump shot from 27 ft,28-24, ,,2,28,24,4,859.0
9:37.0, ,28-24,Defensive rebound by J. Embiid,,2,28,24,4,863.0
9:26.0, ,28-26,J. Embiid makes 2-pt layup from 3 ft,,2,28,26,2,874.0
9:07.0,J. Jaquez misses 3-pt jump shot from 24 ft,28-26, ,,2,28,26,2,893.0
9:05.0, ,28-26,Defensive rebound by T. Harris,,2,28,26,2,895.0
8:55.0, ,28-26,Turnover by T. Maxey (bad pass; steal by D. Wright),,2,28,26,2,905.0
8:51.0,J. Butler misses 2-pt layup from 5 ft,28-26, ,,2,28,26,2,909.0
8:48.0,Offensive rebound by J. Jaquez,28-26, ,,2,28,26,2,912.0
8:48.0,J. Jaquez makes 2-pt layup at rim,30-26, ,,2,30,26,4,912.0
8:24.0, ,30-26,J. Embiid misses 2-pt layup from 3 ft,,2,30,26,4,936.0
8:21.0, ,30-26,Offensive rebound by J. Embiid,,2,30,26,4,939.0
8:21.0, ,30-26,J. Embiid misses 2-pt layup at rim,,2,30,26,4,939.0
8:20.0,Defensive rebound by H. Highsmith,30-26, ,,2,30,26,4,940.0
8:15.0,K. Love makes 3-pt jump shot from 28 ft (assist by D. Wright),33-26, ,,2,33,26,7,945.0
8:06.0, ,33-26,Philadelphia full timeout,,2,33,26,7,954.0
8:06.0,B. Adebayo enters the game for J. Jaquez,33-26, ,,2,33,26,7,954.0
8:06.0,T. Herro enters the game for K. Love,33-26, ,,2,33,26,7,954.0
8:06.0, ,33-26,K. Oubre enters the game for N. Batum,,2,33,26,7,954.0
8:06.0, ,33-26,P. Reed enters the game for J. Embiid,,2,33,26,7,954.0
7:52.0, ,33-26,T. Maxey misses 3-pt jump shot from 23 ft,,2,33,26,7,968.0
7:49.0, ,33-26,Offensive rebound by K. Oubre,,2,33,26,7,971.0
7:47.0, ,33-26,K. Lowry misses 3-pt jump shot from 28 ft,,2,33,26,7,973.0
7:45.0,Defensive rebound by Team,33-26, ,,2,33,26,7,975.0
7:45.0, ,33-26,Loose ball foul by P. Reed (drawn by J. Butler),,2,33,26,7,975.0
7:30.0,H. Highsmith misses 3-pt jump shot from 27 ft,33-26, ,,2,33,26,7,990.0
7:27.0, ,33-26,Defensive rebound by K. Lowry,,2,33,26,7,993.0
7:16.0, ,33-26,T. Maxey misses 2-pt layup from 1 ft,,2,33,26,7,1004.0
7:14.0, ,33-26,Offensive rebound by T. Harris,,2,33,26,7,1006.0
7:12.0, ,33-26,T. Harris misses 2-pt layup from 3 ft,,2,33,26,7,1008.0
7:12.0, ,33-26,Offensive rebound by T. Harris,,2,33,26,7,1008.0
7:09.0, ,33-26,T. Harris misses 2-pt layup at rim (block by H. Highsmith),,2,33,26,7,1011.0
7:09.0, ,33-26,Offensive rebound by T. Harris,,2,33,26,7,1011.0
7:07.0, ,33-26,T. Harris misses 2-pt layup from 4 ft,,2,33,26,7,1013.0
7:04.0,Defensive rebound by H. Highsmith,33-26, ,,2,33,26,7,1016.0
6:58.0,H. Highsmith misses 3-pt jump shot from 24 ft,33-26, ,,2,33,26,7,1022.0
6:56.0, ,33-26,Defensive rebound by K. Oubre,,2,33,26,7,1024.0
6:44.0, ,33-26,K. Oubre misses 2-pt jump shot from 18 ft,,2,33,26,7,1036.0
6:41.0,Defensive rebound by B. Adebayo,33-26, ,,2,33,26,7,1039.0
6:33.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Herro),35-26, ,,2,35,26,9,1047.0
6:26.0, ,35-26,Turnover by K. Lowry (bad pass; steal by J. Butler),,2,35,26,9,1054.0
6:22.0,H. Highsmith makes 2-pt layup from 1 ft (assist by J. Butler),37-26, ,,2,37,26,11,1058.0
6:04.0, ,37-26,K. Oubre misses 3-pt jump shot from 23 ft,,2,37,26,11,1076.0
