Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: G. Antetokounmpo vs. B. Adebayo (G. Hill gains possession),Milwaukee,202110210MIA
12:00.0,17-40,,2,40,17,23,720.0,Start of 2nd quarter,Milwaukee,202110210MIA
12:00.0,43-72,,3,72,43,29,1440.0,Start of 3rd quarter,Milwaukee,202110210MIA
12:00.0,69-105,,4,105,69,36,2160.0,Start of 4th quarter,Milwaukee,202110210MIA
0:00.0,95-137,,4,137,95,42,2880.0,End of 4th quarter,Milwaukee,202110210MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. M. Turner (P. Tucker gains possession),Indiana,202110230IND
12:00.0,24-28,,2,24,28,-4,720.0,Start of 2nd quarter,Indiana,202110230IND
12:00.0,46-56,,3,46,56,-10,1440.0,Start of 3rd quarter,Indiana,202110230IND
12:00.0,63-64,,4,63,64,-1,2160.0,Start of 4th quarter,Indiana,202110230IND
0:00.0,91-102,,5,91,102,-11,3600.0,End of 1st overtime,Indiana,202110230IND
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bamba vs. B. Adebayo (K. Lowry gains possession),Orlando,202110250MIA
12:00.0,15-27,,2,27,15,12,720.0,Start of 2nd quarter,Orlando,202110250MIA
12:00.0,44-57,,3,57,44,13,1440.0,Start of 3rd quarter,Orlando,202110250MIA
12:00.0,70-81,,4,81,70,11,2160.0,Start of 4th quarter,Orlando,202110250MIA
0:00.0,90-107,,4,107,90,17,2880.0,End of 4th quarter,Orlando,202110250MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. K. Durant (K. Lowry gains possession),Brooklyn,202110270BRK
12:00.0,29-22,,2,29,22,7,720.0,Start of 2nd quarter,Brooklyn,202110270BRK
12:00.0,49-51,,3,49,51,-2,1440.0,Start of 3rd quarter,Brooklyn,202110270BRK
12:00.0,81-74,,4,81,74,7,2160.0,Start of 4th quarter,Brooklyn,202110270BRK
0:00.0,106-93,,4,106,93,13,2880.0,End of 4th quarter,Brooklyn,202110270BRK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Plumlee vs. B. Adebayo (M. Bridges gains possession),Charlotte,202110290MIA
