id,OpponentName,Q1,Q2,Q3,Q4
202210190MIA,Chicago,5.0,0.0,-10.0,-8.0
202210210MIA,Boston,-8.0,-8.0,-12.0,-7.0
202210220MIA,Toronto,5.0,21.0,9.0,3.0
202210240MIA,Toronto,-4.0,-5.0,5.0,-8.0
202210260POR,Portland,-3.0,5.0,13.0,21.0
202210270GSW,Golden State,-1.0,-4.0,-5.0,-13.0
202210290SAC,Sacramento,-9.0,-22.0,-8.0,-6.0
202211010MIA,Golden State,9.0,2.0,-8.0,7.0
202211020MIA,Sacramento,1.0,2.0,1.0,3.0
202211040IND,Indiana,1.0,-12.0,-3.0,-2.0
202211070MIA,Portland,0.0,7.0,8.0,-3.0
202211100MIA,Charlotte,5.0,8.0,12.0,
202211120MIA,Charlotte,1.0,-2.0,18.0,17.0
202211140MIA,Phoenix,4.0,1.0,-7.0,1.0
202211160TOR,Toronto,4.0,6.0,-5.0,-8.0
202211180WAS,Washington,-2.0,12.0,7.0,
202211200CLE,Cleveland,-1.0,-17.0,-31.0,-26.0
202211210MIN,Minnesota,3.0,13.0,-5.0,-4.0
202211230MIA,Washington,2.0,17.0,3.0,8.0
202211250MIA,Washington,-10.0,-3.0,0.0,3.0
202211270ATL,Atlanta,-8.0,-9.0,4.0,8.0
202211300BOS,Boston,-3.0,-8.0,-6.0,-13.0
202212020BOS,Boston,0.0,-3.0,-6.0,
202212050MEM,Memphis,5.0,-7.0,-5.0,-8.0
202212060MIA,Detroit,5.0,3.0,-5.0,-20.0
202212080MIA,LA Clippers,-8.0,2.0,-3.0,5.0
202212100MIA,San Antonio,4.0,-2.0,-2.0,-4.0
202212120IND,Indiana,7.0,5.0,3.0,5.0
202212140OKC,Oklahoma City,0.0,12.0,2.0,2.0
202212150HOU,Houston,0.0,14.0,1.0,3.0
202212170SAS,San Antonio,-3.0,-3.0,-4.0,10.0
202212200MIA,Chicago,-10.0,5.0,-11.0,-10.0
202212230MIA,Indiana,-3.0,2.0,-2.0,-3.0
202212260MIA,Minnesota,2.0,3.0,7.0,3.0
202212280MIA,LA Lakers,8.0,9.0,17.0,14.0
202212300DEN,Denver,-4.0,-3.0,5.0,-5.0
202212310UTA,Utah,1.0,6.0,-2.0,3.0
202301020LAC,LA Clippers,6.0,18.0,-2.0,10.0
202301040LAL,LA Lakers,-9.0,-4.0,-1.0,-3.0
202301060PHO,Phoenix,7.0,5.0,5.0,8.0
202301080MIA,Brooklyn,-1.0,-2.0,3.0,-1.0
202301100MIA,Oklahoma City,5.0,7.0,1.0,1.0
202301120MIA,Milwaukee,-9.0,0.0,5.0,6.0
202301140MIA,Milwaukee,8.0,8.0,6.0,16.0
202301160ATL,Atlanta,-12.0,-20.0,-11.0,-8.0
202301180NOP,New Orleans,13.0,19.0,22.0,26.0
202301200DAL,Dallas,-12.0,-9.0,-25.0,-25.0
202301220MIA,New Orleans,-9.0,-6.0,-3.0,4.0
202301240MIA,Boston,2.0,-8.0,-7.0,3.0
202301270MIA,Orlando,-5.0,-9.0,-6.0,5.0
202301290CHO,Charlotte,2.0,4.0,-5.0,-5.0
202301310CLE,Cleveland,-2.0,3.0,0.0,3.0
202302020NYK,New York,-6.0,-3.0,-5.0,-2.0
202302040MIL,Milwaukee,-8.0,0.0,-2.0,-8.0
202302080MIA,Indiana,9.0,-3.0,6.0,5.0
202302100MIA,Houston,-1.0,2.0,2.0,2.0
202302110ORL,Orlando,-10.0,-8.0,-7.0,
202302130MIA,Denver,9.0,-3.0,-6.0,-4.0
202302150BRK,Brooklyn,-1.0,4.0,-3.0,-11.0
202302240MIL,Milwaukee,-10.0,-17.0,-21.0,-29.0
202302250CHO,Charlotte,-13.0,-3.0,-10.0,-5.0
202302270PHI,Philadelphia,6.0,8.0,4.0,2.0
202303010MIA,Philadelphia,4.0,-18.0,-19.0,-23.0
202303030MIA,New York,-6.0,-15.0,-8.0,-2.0
202303040MIA,Atlanta,3.0,17.0,12.0,8.0
202303080MIA,Cleveland,4.0,-4.0,-5.0,-4.0
202303100MIA,Cleveland,1.0,-9.0,-7.0,4.0
202303110ORL,Orlando,-10.0,-3.0,-3.0,
202303130MIA,Utah,7.0,-1.0,0.0,4.0
202303150MIA,Memphis,2.0,12.0,28.0,19.0
202303180CHI,Chicago,-14.0,-25.0,-13.0,-14.0
202303190DET,Detroit,-3.0,5.0,-7.0,12.0
202303220MIA,New York,-1.0,3.0,6.0,7.0
202303250MIA,Brooklyn,8.0,4.0,-17.0,-29.0
202303280TOR,Toronto,-1.0,-6.0,-17.0,-14.0
202303290NYK,New York,4.0,-2.0,0.0,-9.0
202304010MIA,Dallas,13.0,12.0,6.0,7.0
202304040DET,Detroit,4.0,7.0,1.0,13.0
202304060PHI,Philadelphia,10.0,21.0,18.0,28.0
202304070WAS,Washington,-3.0,-2.0,-18.0,-6.0
202304090MIA,Orlando,-1.0,2.0,-1.0,13.0
202304110MIA,Atlanta,-9.0,-15.0,-13.0,-11.0
202304140MIA,Chicago,8.0,5.0,-1.0,11.0
