Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:03.0,14-17,,1,14,17,-3,357.0,D. Hunter makes 2-pt layup from 3 ft (assist by J. Johnson),Charlotte,202310250CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. M. Williams (P. Washington gains possession),Charlotte,202310250CHO
6:14.0,44-33,,2,44,33,11,1066.0,B. Bogdanović makes 2-pt layup from 2 ft,Charlotte,202310250CHO
12:00.0,29-25,,2,29,25,4,720.0,Start of 2nd quarter,Charlotte,202310250CHO
6:14.0,63-67,,3,63,67,-4,1786.0, ,Charlotte,202310250CHO
12:00.0,52-51,,3,52,51,1,1440.0,Start of 3rd quarter,Charlotte,202310250CHO
6:10.0,94-93,,4,94,93,1,2510.0, ,Charlotte,202310250CHO
12:00.0,73-78,,4,73,78,-5,2160.0,Start of 4th quarter,Charlotte,202310250CHO
0:00.0,110-116,,4,110,116,-6,2880.0,End of 4th quarter,Charlotte,202310250CHO
6:19.0,13-8,,1,8,13,-5,341.0, ,New York,202310270ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Robinson vs. C. Capela (J. Brunson gains possession),New York,202310270ATL
6:08.0,50-49,,2,49,50,-1,1072.0,D. Hunter makes 2-pt layup from 1 ft (assist by C. Capela),New York,202310270ATL
12:00.0,35-31,,2,31,35,-4,720.0,Start of 2nd quarter,New York,202310270ATL
6:02.0,81-78,,3,78,81,-3,1798.0, ,New York,202310270ATL
12:00.0,69-61,,3,61,69,-8,1440.0,Start of 3rd quarter,New York,202310270ATL
6:03.0,109-108,,4,108,109,-1,2517.0,D. Hunter misses 3-pt jump shot from 22 ft,New York,202310270ATL
12:00.0,100-92,,4,92,100,-8,2160.0,Start of 4th quarter,New York,202310270ATL
0:00.0,126-120,,4,120,126,-6,2880.0,J. Johnson misses 3-pt jump shot from 38 ft,New York,202310270ATL
6:01.0,16-7,,1,16,7,9,359.0,C. Capela makes 2-pt layup from 5 ft (assist by D. Murray),Milwaukee,202310290MIL
