Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:06.0,11-8,,1,11,8,3,354.0, ,New York,202310250NYK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. M. Robinson (D. White gains possession),New York,202310250NYK
6:06.0,40-33,,2,40,33,7,1074.0, ,New York,202310250NYK
12:00.0,30-18,,2,30,18,12,720.0,Start of 2nd quarter,New York,202310250NYK
6:03.0,64-60,,3,64,60,4,1797.0, ,New York,202310250NYK
12:00.0,51-46,,3,51,46,5,1440.0,Start of 3rd quarter,New York,202310250NYK
6:12.0,88-90,,4,88,90,-2,2508.0, ,New York,202310250NYK
12:00.0,82-73,,4,82,73,9,2160.0,Start of 4th quarter,New York,202310250NYK
0:00.0,108-104,,4,108,104,4,2880.0, ,New York,202310250NYK
6:03.0,19-13,,1,13,19,-6,357.0, ,Miami,202310270BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. K. Porziņģis (D. White gains possession),Miami,202310270BOS
6:18.0,44-43,,2,43,44,-1,1062.0,J. Holiday makes 2-pt layup from 3 ft,Miami,202310270BOS
12:00.0,28-25,,2,25,28,-3,720.0,Start of 2nd quarter,Miami,202310270BOS
6:10.0,76-76,Tie,3,76,76,0,1790.0, ,Miami,202310270BOS
12:00.0,55-60,,3,60,55,5,1440.0,Start of 3rd quarter,Miami,202310270BOS
6:10.0,96-102,,4,102,96,6,2510.0, ,Miami,202310270BOS
12:00.0,88-87,,4,87,88,-1,2160.0,Start of 4th quarter,Miami,202310270BOS
0:00.0,111-119,,4,119,111,8,2880.0,End of 4th quarter,Miami,202310270BOS
6:14.0,20-9,,1,20,9,11,346.0, ,Washington,202310300WAS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. D. Avdija (D. White gains possession),Washington,202310300WAS
6:15.0,57-30,,2,57,30,27,1065.0,D. White makes 3-pt jump shot from 27 ft,Washington,202310300WAS
12:00.0,42-19,,2,42,19,23,720.0,Start of 2nd quarter,Washington,202310300WAS
6:16.0,90-59,,3,90,59,31,1784.0,J. Brown makes 2-pt jump shot from 16 ft,Washington,202310300WAS
12:00.0,77-51,,3,77,51,26,1440.0,Start of 3rd quarter,Washington,202310300WAS
6:16.0,112-87,,4,112,87,25,2504.0, ,Washington,202310300WAS
12:00.0,108-75,,4,108,75,33,2160.0,Start of 4th quarter,Washington,202310300WAS
0:00.0,126-107,,4,126,107,19,2880.0,End of 4th quarter,Washington,202310300WAS
6:18.0,14-23,,1,23,14,9,342.0, ,Indiana,202311010BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. K. Porziņģis (J. Brown gains possession),Indiana,202311010BOS
6:15.0,40-60,,2,60,40,20,1065.0,J. Holiday makes 2-pt jump shot from 11 ft,Indiana,202311010BOS
12:00.0,27-44,,2,44,27,17,720.0,Start of 2nd quarter,Indiana,202311010BOS
6:03.0,63-94,,3,94,63,31,1797.0,J. Holiday misses 3-pt jump shot from 24 ft,Indiana,202311010BOS
12:00.0,54-75,,3,75,54,21,1440.0,Start of 3rd quarter,Indiana,202311010BOS
6:02.0,87-129,,4,129,87,42,2518.0, ,Indiana,202311010BOS
12:00.0,71-109,,4,109,71,38,2160.0,Start of 4th quarter,Indiana,202311010BOS
0:00.0,104-155,,4,155,104,51,2880.0,End of 4th quarter,Indiana,202311010BOS
6:00.0,20-13,,1,20,13,7,360.0,Defensive rebound by K. Porziņģis,Brooklyn,202311040BRK
