id,OpponentName,Q1,Q2,Q3,Q4
202310250NYK,New York,12.0,5.0,9.0,4.0
202310270BOS,Miami,-3.0,5.0,-1.0,8.0
202310300WAS,Washington,23.0,26.0,33.0,19.0
202311010BOS,Indiana,17.0,21.0,38.0,51.0
202311040BRK,Brooklyn,0.0,12.0,3.0,10.0
202311060MIN,Minnesota,-3.0,3.0,-5.0,
202311080PHI,Philadelphia,5.0,-7.0,-10.0,-3.0
202311100BOS,Brooklyn,5.0,12.0,9.0,14.0
202311110BOS,Toronto,4.0,9.0,17.0,23.0
202311130BOS,New York,1.0,-1.0,8.0,16.0
202311150PHI,Philadelphia,15.0,-1.0,8.0,10.0
202311170TOR,Toronto,-6.0,16.0,3.0,3.0
202311190MEM,Memphis,-1.0,3.0,3.0,2.0
202311200CHO,Charlotte,6.0,11.0,6.0,
202311220BOS,Milwaukee,12.0,14.0,15.0,3.0
202311240ORL,Orlando,11.0,8.0,-3.0,-17.0
202311260BOS,Atlanta,7.0,16.0,8.0,10.0
202311280BOS,Chicago,11.0,19.0,29.0,27.0
202312010BOS,Philadelphia,8.0,-3.0,-2.0,6.0
202312040IND,Indiana,2.0,7.0,-7.0,-10.0
202312080BOS,New York,1.0,9.0,14.0,10.0
202312120BOS,Cleveland,-10.0,-1.0,2.0,7.0
202312140BOS,Cleveland,9.0,11.0,3.0,9.0
202312150BOS,Orlando,6.0,13.0,23.0,17.0
202312170BOS,Orlando,-4.0,11.0,9.0,17.0
202312190GSW,Golden State,10.0,3.0,11.0,
202312200SAC,Sacramento,-3.0,8.0,23.0,25.0
202312230LAC,LA Clippers,7.0,17.0,25.0,37.0
202312250LAL,LA Lakers,9.0,1.0,9.0,11.0
202312280BOS,Detroit,-3.0,-19.0,0.0,
202312290BOS,Toronto,15.0,15.0,13.0,2.0
202312310SAS,San Antonio,8.0,12.0,29.0,33.0
202401020OKC,Oklahoma City,-2.0,3.0,-12.0,-4.0
202401050BOS,Utah,15.0,31.0,32.0,29.0
202401060IND,Indiana,12.0,9.0,3.0,17.0
202401080IND,Indiana,1.0,9.0,-2.0,0.0
202401100BOS,Minnesota,5.0,1.0,-6.0,
202401110MIL,Milwaukee,-18.0,-37.0,-41.0,-33.0
202401130BOS,Houston,4.0,11.0,26.0,32.0
202401150TOR,Toronto,4.0,6.0,9.0,9.0
202401170BOS,San Antonio,5.0,25.0,16.0,19.0
202401190BOS,Denver,1.0,6.0,1.0,-2.0
202401210HOU,Houston,10.0,15.0,10.0,9.0
202401220DAL,Dallas,-2.0,6.0,11.0,9.0
202401250MIA,Miami,13.0,13.0,23.0,33.0
202401270BOS,LA Clippers,-5.0,-16.0,-31.0,-19.0
202401290BOS,New Orleans,-11.0,-10.0,-6.0,6.0
202401300BOS,Indiana,10.0,15.0,3.0,5.0
202402010BOS,LA Lakers,-3.0,-14.0,-10.0,-9.0
202402040BOS,Memphis,9.0,20.0,23.0,40.0
202402070BOS,Atlanta,-2.0,4.0,5.0,8.0
202402090BOS,Washington,-4.0,-7.0,13.0,4.0
202402110MIA,Miami,4.0,9.0,7.0,4.0
202402130BRK,Brooklyn,6.0,15.0,16.0,8.0
202402140BOS,Brooklyn,15.0,36.0,46.0,50.0
202402220CHI,Chicago,8.0,-3.0,13.0,17.0
202402240NYK,New York,4.0,4.0,13.0,14.0
202402270BOS,Philadelphia,0.0,2.0,11.0,18.0
202403010BOS,Dallas,6.0,7.0,12.0,28.0
202403030BOS,Golden State,22.0,44.0,53.0,52.0
202403050CLE,Cleveland,8.0,10.0,16.0,-1.0
202403070DEN,Denver,-2.0,-8.0,-10.0,-6.0
202403090PHO,Phoenix,5.0,12.0,9.0,10.0
202403110POR,Portland,9.0,14.0,13.0,22.0
202403120UTA,Utah,11.0,15.0,7.0,16.0
202403140BOS,Phoenix,3.0,5.0,17.0,15.0
202403170WAS,Washington,18.0,28.0,30.0,26.0
202403180BOS,Detroit,3.0,13.0,26.0,25.0
202403200BOS,Milwaukee,5.0,13.0,18.0,3.0
202403220DET,Detroit,-2.0,16.0,21.0,27.0
202403230CHI,Chicago,0.0,6.0,3.0,11.0
202403250ATL,Atlanta,22.0,18.0,6.0,-2.0
202403280ATL,Atlanta,1.0,4.0,1.0,
202403300NOP,New Orleans,-9.0,2.0,15.0,12.0
202404010CHO,Charlotte,-2.0,6.0,16.0,14.0
202404030BOS,Oklahoma City,7.0,14.0,10.0,35.0
202404050BOS,Sacramento,12.0,4.0,12.0,1.0
202404070BOS,Portland,6.0,7.0,8.0,17.0
202404090MIL,Milwaukee,-16.0,-20.0,-11.0,-13.0
202404110BOS,New York,-3.0,-21.0,-29.0,-9.0
202404120BOS,Charlotte,6.0,26.0,18.0,33.0
202404140BOS,Washington,4.0,10.0,18.0,10.0
