event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,0,0,0,0.0,NYK,202310250NYK
,2,0,2,78.0,NYK,202310250NYK
,4,0,4,115.0,NYK,202310250NYK
,4,2,2,175.0,NYK,202310250NYK
T,4,4,0,220.0,NYK,202310250NYK
,6,4,2,233.0,NYK,202310250NYK
,9,4,5,281.0,NYK,202310250NYK
,9,5,4,303.0,NYK,202310250NYK
,9,6,3,303.0,NYK,202310250NYK
,11,6,5,323.0,NYK,202310250NYK
,11,8,3,342.0,NYK,202310250NYK
,14,8,6,362.0,NYK,202310250NYK
,14,11,3,388.0,NYK,202310250NYK
,16,11,5,415.0,NYK,202310250NYK
,19,11,8,483.0,NYK,202310250NYK
,19,13,6,501.0,NYK,202310250NYK
,20,13,7,521.0,NYK,202310250NYK
,21,13,8,521.0,NYK,202310250NYK
,24,13,11,540.0,NYK,202310250NYK
,24,15,9,583.0,NYK,202310250NYK
,27,15,12,609.0,NYK,202310250NYK
,27,18,9,621.0,NYK,202310250NYK
,30,18,12,638.0,NYK,202310250NYK
,30,21,9,734.0,NYK,202310250NYK
,33,21,12,751.0,NYK,202310250NYK
,33,23,10,764.0,NYK,202310250NYK
,33,24,9,764.0,NYK,202310250NYK
,35,24,11,788.0,NYK,202310250NYK
,35,26,9,804.0,NYK,202310250NYK
,37,26,11,924.0,NYK,202310250NYK
,37,27,10,946.0,NYK,202310250NYK
,37,28,9,946.0,NYK,202310250NYK
,40,28,12,1015.0,NYK,202310250NYK
,40,31,9,1038.0,NYK,202310250NYK
,40,33,7,1074.0,NYK,202310250NYK
,40,36,4,1093.0,NYK,202310250NYK
,42,36,6,1115.0,NYK,202310250NYK
,43,36,7,1206.0,NYK,202310250NYK
,45,36,9,1239.0,NYK,202310250NYK
,45,39,6,1304.0,NYK,202310250NYK
,47,39,8,1323.0,NYK,202310250NYK
,49,39,10,1342.0,NYK,202310250NYK
,49,42,7,1360.0,NYK,202310250NYK
,49,44,5,1404.0,NYK,202310250NYK
,51,44,7,1416.0,NYK,202310250NYK
,51,46,5,1439.0,NYK,202310250NYK
,53,46,7,1476.0,NYK,202310250NYK
