id,OpponentName,Diffs
202310250MIA,Miami,"0,-2,3,-8,-11,-13,-8,-6,-1"
202310270CHO,Charlotte,"0,3,11,5,7,6,8,3,12"
202310280DET,Chicago,"0,2,3,5,13,3,7,10,16"
202310300OKC,Oklahoma City,"0,-8,-12,-10,-12,-18,-12,-17,-12"
202311010DET,Portland,"0,2,6,12,12,15,1,-3,-9"
202311020NOP,New Orleans,"0,-5,-6,-13,-23,-19,-11,-16,-9"
202311050DET,Phoenix,"0,1,-1,-13,-9,-17,-12,-18,-14"
202311060DET,Golden State,"0,5,-5,-7,-8,-4,-1,-4,-11"
202311080MIL,Milwaukee,"0,1,-1,-10,-10,-8,5,7,-2"
202311100DET,Philadelphia,"0,8,12,16,8,3,-6,-15,-8"
202311120CHI,Chicago,"0,1,9,3,-5,-4,-3,-6,-11"
202311140DET,Atlanta,"0,-10,-9,-4,-4,3,-6,-5,-6"
202311170CLE,Cleveland,"0,0,-9,-9,-14,-8,-7,-10,-8"
202311190TOR,Toronto,"0,-2,-12,-17,-24,-32,-32,-39,-29"
202311200DET,Denver,"0,6,-4,-3,-1,-3,-2,-1,-4"
202311240IND,Indiana,"0,3,-7,-10,2,-4,-1,-7,-23"
202311270DET,Washington,"0,2,-4,-2,-3,-6,-11,-15,-19"
202311290DET,LA Lakers,"0,-7,-14,-13,-17,-20,-25,-31,-26"
202311300NYK,New York,"0,-2,-14,-6,0,-2,2,-5,-6"
202312020DET,Cleveland,"0,3,5,-1,-6,4,-3,-4,-9"
202312060DET,Memphis,"0,1,-2,-1,4,1,2,-8,-14"
202312080ORL,Orlando,"0,3,-5,-12,-14,-24,-25,-31,-32"
202312110DET,Indiana,"0,-3,3,-1,-5,-5,-5,-7,-8"
202312130DET,Philadelphia,"0,-2,-13,-13,-14,-16,-24,-29,-18"
202312150PHI,Philadelphia,"0,-10,-4,-9,-22,-30,-32,-38,-32"
202312160MIL,Milwaukee,"0,-12,-23,-30,-25,-21,-31,-32,-32"
202312180ATL,Atlanta,"0,-10,-13,-8,-9,-13,-12,-8,-6"
202312210DET,Utah,"0,3,-2,-6,-6,-2,-2,-7,-8"
202312230BRK,Brooklyn,"0,3,-11,-7,-9,-4,-16,-16,-11"
202312260DET,Brooklyn,"0,12,6,-1,-7,0,-3,-3,-6"
202312280BOS,Boston,"0,3,3,9,19,7,0,1,-6,-6"
202312300DET,Toronto,"0,-2,1,4,8,4,4,8,2"
202401010HOU,Houston,"0,-5,-2,-7,-4,-14,-26,-33,-23"
202401030UTA,Utah,"0,5,7,4,2,4,5,6,-6,-6"
202401050GSW,Golden State,"0,-3,-2,-1,-4,-5,-4,-9,-4"
202401070DEN,Denver,"0,-2,-2,0,-8,-15,-23,-18,-17"
202401090DET,Sacramento,"0,9,18,15,-3,-7,-3,-8,-21"
202401100DET,San Antonio,"0,-4,-12,-11,-12,-15,-18,-22,-22"
202401120DET,Houston,"0,-4,7,10,0,9,3,2,-2"
202401150WAS,Washington,"0,4,7,-1,1,0,7,9,12"
202401170DET,Minnesota,"0,1,1,2,-8,-8,-8,-13,-7"
202401200DET,Milwaukee,"0,-1,4,6,-3,-4,-5,-1,-6"
202401220DET,Milwaukee,"0,-3,0,6,-2,-7,-4,0,-9"
202401240DET,Charlotte,"0,-1,-3,1,0,5,-3,1,7"
202401270DET,Washington,"0,8,-3,6,2,-2,-2,-6,-14"
202401280DET,Oklahoma City,"-9,-7,2,9,9,14,14,16"
202401310CLE,Cleveland,"0,-3,-7,-1,-7,-7,-5,5,-7"
202402020DET,LA Clippers,"0,14,6,7,-6,-7,-11,-14,-11"
202402040DET,Orlando,"0,2,5,4,-3,-6,-3,-8,-12"
202402070SAC,Sacramento,"0,-5,-5,-4,7,14,-2,2,13"
202402080POR,Portland,"0,-2,-5,-10,-15,-20,-13,-8,6,6"
202402100LAC,LA Clippers,"0,-5,-1,3,9,6,5,-2,-6"
202402130LAL,LA Lakers,"0,-8,-10,-11,-23,-18,-20,-16,-14"
202402140PHO,Phoenix,"0,-1,-12,-17,-29,-32,-30,-24,-16"
202402220IND,Indiana,"0,0,-17,-18,-29,-25,-14,-19,-14"
202402240DET,Orlando,"0,-3,-2,-4,-10,4,-5,-4,-2"
202402260NYK,New York,"0,4,-2,-10,-4,-11,-8,-5,-2"
202402270CHI,Chicago,"0,4,-7,-10,-5,6,2,4,10"
202403010DET,Cleveland,"0,-3,-8,-21,-15,-21,-21,-13,-10"
202403030ORL,Orlando,"0,-7,-4,-2,-9,-26,-18,-20,-22"
202403050MIA,Miami,"0,-6,-10,-7,-1,-8,-5,-5,-8"
202403070DET,Brooklyn,"0,7,10,4,-3,0,4,2,6"
202403090DET,Dallas,"0,-5,-2,-5,-4,-14,-16,-25,-18"
202403110DET,Charlotte,"0,2,11,15,7,16,19,13,17"
202403130DET,Toronto,"0,4,5,-7,-5,-1,4,8,9"
202403150DET,Miami,"0,-3,1,-6,-2,-3,-12,-19,-13"
202403170DET,Miami,"0,-4,2,2,-10,-16,-3,-2,-3"
202403180BOS,Boston,"0,-1,-3,-10,-13,-16,-26,-27,-25"
202403200DET,Indiana,"0,7,-5,-4,-11,-21,-20,-26,-19"
202403220DET,Boston,"0,3,2,-5,-16,-26,-21,-18,-27"
202403240DET,New Orleans,"0,-8,-19,-16,-16,-16,-17,-17,-13"
202403250NYK,New York,"0,-14,-19,-22,-17,-24,-29,-30,-25"
202403270MIN,Minnesota,"0,-2,-5,-6,-2,3,-12,-14,-15"
202403290WAS,Washington,"0,6,3,9,19,11,5,1,9"
202404010DET,Memphis,"0,2,7,2,13,3,5,-5,-2"
202404030ATL,Atlanta,"0,-9,-5,-2,-9,-19,-13,-10,-8"
202404050MEM,Memphis,"0,0,-10,-12,-19,-25,-19,-20,-18"
202404060BRK,Brooklyn,"0,10,12,15,11,16,8,10,-10"
202404090PHI,Philadelphia,"0,-8,-8,-9,-12,-1,-12,-18,-18"
202404110DET,Chicago,"0,0,-1,-6,-9,-10,-19,-19,-22"
202404120DAL,Dallas,"0,2,6,1,7,14,12,9,18"
202404140SAS,San Antonio,"0,-1,-6,-17,-23,-31,-30,-27,-28"
