Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:09.0,16-18,,1,16,18,-2,351.0,C. Cunningham makes 2-pt jump shot from 15 ft,Miami,202310250MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. B. Adebayo (A. Thompson gains possession),Miami,202310250MIA
6:07.0,35-43,,2,35,43,-8,1073.0, ,Miami,202310250MIA
12:00.0,29-26,,2,29,26,3,720.0,Start of 2nd quarter,Miami,202310250MIA
6:07.0,57-70,,3,57,70,-13,1793.0, ,Miami,202310250MIA
12:00.0,47-58,,3,47,58,-11,1440.0,Start of 3rd quarter,Miami,202310250MIA
6:01.0,89-95,,4,89,95,-6,2519.0,Defensive rebound by I. Stewart,Miami,202310250MIA
12:00.0,75-83,,4,75,83,-8,2160.0,Start of 4th quarter,Miami,202310250MIA
0:00.0,102-103,,4,102,103,-1,2880.0,C. Cunningham misses 3-pt jump shot from 30 ft,Miami,202310250MIA
6:00.0,12-9,,1,12,9,3,360.0,Defensive rebound by A. Thompson,Charlotte,202310270CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. M. Williams (P. Washington gains possession),Charlotte,202310270CHO
6:05.0,36-31,,2,36,31,5,1075.0, ,Charlotte,202310270CHO
12:00.0,32-21,,2,32,21,11,720.0,Start of 2nd quarter,Charlotte,202310270CHO
6:00.0,67-61,,3,67,61,6,1800.0,J. Ivey misses 3-pt jump shot from 22 ft,Charlotte,202310270CHO
12:00.0,54-47,,3,54,47,7,1440.0,Start of 3rd quarter,Charlotte,202310270CHO
6:15.0,94-91,,4,94,91,3,2505.0,I. Stewart enters the game for M. Bagley,Charlotte,202310270CHO
12:00.0,83-75,,4,83,75,8,2160.0,Start of 4th quarter,Charlotte,202310270CHO
0:00.0,111-99,,4,111,99,12,2880.0,End of 4th quarter,Charlotte,202310270CHO
6:03.0,14-16,,1,16,14,2,357.0,Defensive rebound by J. Duren,Chicago,202310280DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. J. Duren (A. Thompson gains possession),Chicago,202310280DET
6:00.0,36-41,,2,41,36,5,1080.0, ,Chicago,202310280DET
12:00.0,26-29,,2,29,26,3,720.0,Start of 2nd quarter,Chicago,202310280DET
6:12.0,66-69,,3,69,66,3,1788.0, ,Chicago,202310280DET
12:00.0,44-57,,3,57,44,13,1440.0,Start of 3rd quarter,Chicago,202310280DET
6:05.0,91-101,,4,101,91,10,2515.0,K. Hayes enters the game for A. Burks,Chicago,202310280DET
12:00.0,77-84,,4,84,77,7,2160.0,Start of 4th quarter,Chicago,202310280DET
0:00.0,102-118,,4,118,102,16,2880.0,End of 4th quarter,Chicago,202310280DET
6:16.0,8-16,,1,8,16,-8,344.0,A. Burks enters the game for K. Hayes,Oklahoma City,202310300OKC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. C. Holmgren (K. Hayes gains possession),Oklahoma City,202310300OKC
6:01.0,36-46,,2,36,46,-10,1079.0,K. Hayes misses 2-pt jump shot from 5 ft,Oklahoma City,202310300OKC
12:00.0,21-33,,2,21,33,-12,720.0,Start of 2nd quarter,Oklahoma City,202310300OKC
6:13.0,60-78,,3,60,78,-18,1787.0, ,Oklahoma City,202310300OKC
12:00.0,47-59,,3,47,59,-12,1440.0,Start of 3rd quarter,Oklahoma City,202310300OKC
6:05.0,94-111,,4,94,111,-17,2515.0,A. Burks makes 2-pt layup from 2 ft (assist by K. Hayes),Oklahoma City,202310300OKC
12:00.0,79-91,,4,79,91,-12,2160.0,Start of 4th quarter,Oklahoma City,202310300OKC
0:00.0,112-124,,4,112,124,-12,2880.0,End of 4th quarter,Oklahoma City,202310300OKC
6:01.0,14-16,,1,16,14,2,359.0, ,Portland,202311010DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Ayton vs. M. Bagley (J. Grant gains possession),Portland,202311010DET
6:12.0,34-46,,2,46,34,12,1068.0,A. Thompson makes 2-pt dunk from 4 ft (assist by C. Cunningham),Portland,202311010DET
12:00.0,26-32,,2,32,26,6,720.0,Start of 2nd quarter,Portland,202311010DET
6:17.0,60-75,,3,75,60,15,1783.0,C. Cunningham makes 3-pt jump shot from 25 ft (assist by M. Bagley),Portland,202311010DET
12:00.0,47-59,,3,59,47,12,1440.0,Start of 3rd quarter,Portland,202311010DET
6:16.0,96-93,,4,93,96,-3,2504.0, ,Portland,202311010DET
