id,OpponentName,Q1,Q2,Q3,Q4
202310250MIA,Miami,3.0,-11.0,-8.0,-1.0
202310270CHO,Charlotte,11.0,7.0,8.0,12.0
202310280DET,Chicago,3.0,13.0,7.0,16.0
202310300OKC,Oklahoma City,-12.0,-12.0,-12.0,-12.0
202311010DET,Portland,6.0,12.0,1.0,-9.0
202311020NOP,New Orleans,-6.0,-23.0,-11.0,-9.0
202311050DET,Phoenix,-1.0,-9.0,-12.0,-14.0
202311060DET,Golden State,-5.0,-8.0,-1.0,-11.0
202311080MIL,Milwaukee,-1.0,-10.0,5.0,-2.0
202311100DET,Philadelphia,12.0,8.0,-6.0,-8.0
202311120CHI,Chicago,9.0,-5.0,-3.0,-11.0
202311140DET,Atlanta,-9.0,-4.0,-6.0,-6.0
202311170CLE,Cleveland,-9.0,-14.0,-7.0,-8.0
202311190TOR,Toronto,-12.0,-24.0,-32.0,-29.0
202311200DET,Denver,-4.0,-1.0,-2.0,-4.0
202311240IND,Indiana,-7.0,2.0,-1.0,-23.0
202311270DET,Washington,-4.0,-3.0,-11.0,-19.0
202311290DET,LA Lakers,-14.0,-17.0,-25.0,-26.0
202311300NYK,New York,-14.0,0.0,2.0,-6.0
202312020DET,Cleveland,5.0,-6.0,-3.0,-9.0
202312060DET,Memphis,-2.0,4.0,2.0,-14.0
202312080ORL,Orlando,-5.0,-14.0,-25.0,-32.0
202312110DET,Indiana,3.0,-5.0,-5.0,-8.0
202312130DET,Philadelphia,-13.0,-14.0,-24.0,-18.0
202312150PHI,Philadelphia,-4.0,-22.0,-32.0,-32.0
202312160MIL,Milwaukee,-23.0,-25.0,-31.0,-32.0
202312180ATL,Atlanta,-13.0,-9.0,-12.0,-6.0
202312210DET,Utah,-2.0,-6.0,-2.0,-8.0
202312230BRK,Brooklyn,-11.0,-9.0,-16.0,-11.0
202312260DET,Brooklyn,6.0,-7.0,-3.0,-6.0
202312280BOS,Boston,3.0,19.0,0.0,
202312300DET,Toronto,1.0,8.0,4.0,2.0
202401010HOU,Houston,-2.0,-4.0,-26.0,-23.0
202401030UTA,Utah,7.0,2.0,5.0,
202401050GSW,Golden State,-2.0,-4.0,-4.0,-4.0
202401070DEN,Denver,-2.0,-8.0,-23.0,-17.0
202401090DET,Sacramento,18.0,-3.0,-3.0,-21.0
202401100DET,San Antonio,-12.0,-12.0,-18.0,-22.0
202401120DET,Houston,7.0,0.0,3.0,-2.0
202401150WAS,Washington,7.0,1.0,7.0,12.0
202401170DET,Minnesota,1.0,-8.0,-8.0,-7.0
202401200DET,Milwaukee,4.0,-3.0,-5.0,-6.0
202401220DET,Milwaukee,0.0,-2.0,-4.0,-9.0
202401240DET,Charlotte,-3.0,0.0,-3.0,7.0
202401270DET,Washington,-3.0,2.0,-2.0,-14.0
202401280DET,Oklahoma City,-7.0,9.0,14.0,16.0
202401310CLE,Cleveland,-7.0,-7.0,-5.0,-7.0
202402020DET,LA Clippers,6.0,-6.0,-11.0,-11.0
202402040DET,Orlando,5.0,-3.0,-3.0,-12.0
202402070SAC,Sacramento,-5.0,7.0,-2.0,13.0
202402080POR,Portland,-5.0,-15.0,-13.0,
202402100LAC,LA Clippers,-1.0,9.0,5.0,-6.0
202402130LAL,LA Lakers,-10.0,-23.0,-20.0,-14.0
202402140PHO,Phoenix,-12.0,-29.0,-30.0,-16.0
202402220IND,Indiana,-17.0,-29.0,-14.0,-14.0
202402240DET,Orlando,-2.0,-10.0,-5.0,-2.0
202402260NYK,New York,-2.0,-4.0,-8.0,-2.0
202402270CHI,Chicago,-7.0,-5.0,2.0,10.0
202403010DET,Cleveland,-8.0,-15.0,-21.0,-10.0
202403030ORL,Orlando,-4.0,-9.0,-18.0,-22.0
202403050MIA,Miami,-10.0,-1.0,-5.0,-8.0
202403070DET,Brooklyn,10.0,-3.0,4.0,6.0
202403090DET,Dallas,-2.0,-4.0,-16.0,-18.0
202403110DET,Charlotte,11.0,7.0,19.0,17.0
202403130DET,Toronto,5.0,-5.0,4.0,9.0
202403150DET,Miami,1.0,-2.0,-12.0,-13.0
202403170DET,Miami,2.0,-10.0,-3.0,-3.0
202403180BOS,Boston,-3.0,-13.0,-26.0,-25.0
202403200DET,Indiana,-5.0,-11.0,-20.0,-19.0
202403220DET,Boston,2.0,-16.0,-21.0,-27.0
202403240DET,New Orleans,-19.0,-16.0,-17.0,-13.0
202403250NYK,New York,-19.0,-17.0,-29.0,-25.0
202403270MIN,Minnesota,-5.0,-2.0,-12.0,-15.0
202403290WAS,Washington,3.0,19.0,5.0,9.0
202404010DET,Memphis,7.0,13.0,5.0,-2.0
202404030ATL,Atlanta,-5.0,-9.0,-13.0,-8.0
202404050MEM,Memphis,-10.0,-19.0,-19.0,-18.0
202404060BRK,Brooklyn,12.0,11.0,8.0,-10.0
202404090PHI,Philadelphia,-8.0,-12.0,-12.0,-18.0
202404110DET,Chicago,-1.0,-9.0,-19.0,-22.0
202404120DAL,Dallas,6.0,7.0,12.0,18.0
202404140SAS,San Antonio,-6.0,-23.0,-30.0,-28.0
