Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. B. Adebayo (A. Thompson gains possession),Miami,202310250MIA
12:00.0,29-26,,2,29,26,3,720.0,Start of 2nd quarter,Miami,202310250MIA
12:00.0,47-58,,3,47,58,-11,1440.0,Start of 3rd quarter,Miami,202310250MIA
12:00.0,75-83,,4,75,83,-8,2160.0,Start of 4th quarter,Miami,202310250MIA
0:00.0,102-103,,4,102,103,-1,2880.0,C. Cunningham misses 3-pt jump shot from 30 ft,Miami,202310250MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. M. Williams (P. Washington gains possession),Charlotte,202310270CHO
12:00.0,32-21,,2,32,21,11,720.0,Start of 2nd quarter,Charlotte,202310270CHO
12:00.0,54-47,,3,54,47,7,1440.0,Start of 3rd quarter,Charlotte,202310270CHO
12:00.0,83-75,,4,83,75,8,2160.0,Start of 4th quarter,Charlotte,202310270CHO
0:00.0,111-99,,4,111,99,12,2880.0,End of 4th quarter,Charlotte,202310270CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. J. Duren (A. Thompson gains possession),Chicago,202310280DET
12:00.0,26-29,,2,29,26,3,720.0,Start of 2nd quarter,Chicago,202310280DET
12:00.0,44-57,,3,57,44,13,1440.0,Start of 3rd quarter,Chicago,202310280DET
12:00.0,77-84,,4,84,77,7,2160.0,Start of 4th quarter,Chicago,202310280DET
0:00.0,102-118,,4,118,102,16,2880.0,End of 4th quarter,Chicago,202310280DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. C. Holmgren (K. Hayes gains possession),Oklahoma City,202310300OKC
12:00.0,21-33,,2,21,33,-12,720.0,Start of 2nd quarter,Oklahoma City,202310300OKC
12:00.0,47-59,,3,47,59,-12,1440.0,Start of 3rd quarter,Oklahoma City,202310300OKC
12:00.0,79-91,,4,79,91,-12,2160.0,Start of 4th quarter,Oklahoma City,202310300OKC
0:00.0,112-124,,4,112,124,-12,2880.0,End of 4th quarter,Oklahoma City,202310300OKC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Ayton vs. M. Bagley (J. Grant gains possession),Portland,202311010DET
12:00.0,26-32,,2,32,26,6,720.0,Start of 2nd quarter,Portland,202311010DET
12:00.0,47-59,,3,59,47,12,1440.0,Start of 3rd quarter,Portland,202311010DET
12:00.0,83-84,,4,84,83,1,2160.0,Start of 4th quarter,Portland,202311010DET
0:00.0,110-101,,4,101,110,-9,2880.0,End of 4th quarter,Portland,202311010DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. J. Valančiūnas (J. Valančiūnas gains possession),New Orleans,202311020NOP
12:00.0,29-35,,2,29,35,-6,720.0,Start of 2nd quarter,New Orleans,202311020NOP
12:00.0,49-72,,3,49,72,-23,1440.0,Start of 3rd quarter,New Orleans,202311020NOP
12:00.0,83-94,,4,83,94,-11,2160.0,Start of 4th quarter,New Orleans,202311020NOP
0:00.0,116-125,,4,116,125,-9,2880.0,End of 4th quarter,New Orleans,202311020NOP
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Nurkić vs. J. Duren (C. Cunningham gains possession),Phoenix,202311050DET
12:00.0,28-27,,2,27,28,-1,720.0,Start of 2nd quarter,Phoenix,202311050DET
12:00.0,58-49,,3,49,58,-9,1440.0,Start of 3rd quarter,Phoenix,202311050DET
12:00.0,92-80,,4,80,92,-12,2160.0,Start of 4th quarter,Phoenix,202311050DET
0:00.0,120-106,,4,106,120,-14,2880.0,End of 4th quarter,Phoenix,202311050DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Looney vs. M. Bagley (K. Hayes gains possession),Golden State,202311060DET
12:00.0,31-26,,2,26,31,-5,720.0,Start of 2nd quarter,Golden State,202311060DET
12:00.0,56-48,,3,48,56,-8,1440.0,Start of 3rd quarter,Golden State,202311060DET
12:00.0,83-82,,4,82,83,-1,2160.0,Start of 4th quarter,Golden State,202311060DET
0:00.0,120-109,,4,109,120,-11,2880.0,End of 4th quarter,Golden State,202311060DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. B. Lopez (C. Cunningham gains possession),Milwaukee,202311080MIL
12:00.0,23-24,,2,23,24,-1,720.0,Start of 2nd quarter,Milwaukee,202311080MIL
12:00.0,52-62,,3,52,62,-10,1440.0,Start of 3rd quarter,Milwaukee,202311080MIL
12:00.0,95-90,,4,95,90,5,2160.0,Start of 4th quarter,Milwaukee,202311080MIL
0:00.0,118-120,,4,118,120,-2,2880.0,C. Cunningham misses 3-pt jump shot from 52 ft,Milwaukee,202311080MIL
