id,OpponentName,Diffs
202310250MIA,Detroit,"0,2,-3,8,11,13,8,6,1"
202310270BOS,Boston,"0,6,3,1,-5,0,1,-6,-8"
202310280MIN,Minnesota,"0,0,2,5,4,-2,0,-7,-13,-16"
202310300MIL,Milwaukee,"0,0,0,-12,-10,-16,-24,-14,-8"
202311010MIA,Brooklyn,"0,6,3,7,10,12,8,-4,-4"
202311030MIA,Washington,"0,-3,0,3,6,14,20,22,7"
202311060MIA,LA Lakers,"0,-3,0,2,3,1,11,6,1"
202311080MEM,Memphis,"0,7,7,5,8,7,1,8,6"
202311110ATL,Atlanta,"0,9,17,21,11,7,11,12,8"
202311120SAS,San Antonio,"0,-6,-14,-8,-3,-10,-2,-7,5"
202311140CHO,Charlotte,"0,-6,-8,0,9,10,7,4,6"
202311160MIA,Brooklyn,"0,-4,3,-4,8,9,12,14,7"
202311180CHI,Chicago,"0,19,12,7,10,9,8,6,-5"
202311200CHI,Chicago,"0,4,6,3,12,6,12,16,18"
202311220CLE,Cleveland,"0,8,11,13,14,23,22,27,33"
202311240NYK,New York,"0,2,3,2,-1,13,16,11,-2"
202311250BRK,Brooklyn,"0,-11,-4,-5,-10,-14,-14,-16,-15"
202311280MIA,Milwaukee,"0,-8,-9,3,3,-2,4,-2,-7"
202311300MIA,Indiana,"0,-8,-5,-3,-9,-8,-3,9,10"
202312020MIA,Indiana,"0,4,6,6,0,-7,-8,-12,-15"
202312060TOR,Toronto,"0,13,5,3,-2,12,3,8,9"
202312080MIA,Cleveland,"0,-2,8,5,-1,-15,-13,-10,-12"
202312110CHO,Charlotte,"0,9,5,7,9,12,12,1,2"
202312130MIA,Charlotte,"0,-4,-1,0,11,15,21,16,11"
202312140MIA,Chicago,"0,-16,-14,-15,-4,-6,-5,-9,-8"
202312160MIA,Chicago,"0,3,12,6,1,-5,11,0,2"
202312180MIA,Minnesota,"0,5,11,13,12,9,6,-2,-4"
202312200ORL,Orlando,"0,1,1,3,18,20,17,23,9"
202312220MIA,Atlanta,"0,9,7,3,2,-3,2,6,9"
202312250MIA,Philadelphia,"0,-8,4,12,14,10,0,0,6"
202312280GSW,Golden State,"0,8,-3,4,7,10,15,20,12"
202312300UTA,Utah,"0,-2,1,4,-1,6,0,-3,-8"
202401010LAC,LA Clippers,"0,-1,12,8,-1,-7,-10,-16,-17"
202401030LAL,LA Lakers,"0,3,7,10,8,9,5,11,14"
202401050PHO,Phoenix,"0,-4,-4,-4,-3,-7,-18,-19,-16,-16"
202401080MIA,Houston,"0,1,7,9,0,4,9,13,7"
202401100MIA,Oklahoma City,"0,8,6,3,4,-7,-3,-9,-8"
202401120MIA,Orlando,"0,1,8,8,1,9,2,2,3"
202401140MIA,Charlotte,"0,5,10,15,21,15,16,23,17"
202401150BRK,Brooklyn,"0,3,-6,-14,-14,-2,-1,5,1"
202401170TOR,Toronto,"0,-11,-23,-32,-35,-21,-21,-18,-24"
202401190MIA,Atlanta,"0,-4,-8,-2,-1,7,2,1,-1"
202401210ORL,Orlando,"0,0,-3,-7,-2,-8,-12,-22,-18"
202401240MIA,Memphis,"0,3,1,0,-7,-8,-14,-7,-9"
202401250MIA,Boston,"0,-8,-13,-14,-13,-19,-23,-30,-33"
202401270NYK,New York,"0,6,3,-1,-10,-3,-3,-16,-16"
202401290MIA,Phoenix,"0,1,-8,-9,-13,-18,-26,-16,-13"
202401310MIA,Sacramento,"0,-2,6,18,4,2,6,9,9"
202402020WAS,Washington,"0,-3,-2,-8,-3,-3,13,13,16,8"
202402040MIA,LA Clippers,"0,9,3,-2,0,-5,-2,-7,-8"
202402060MIA,Orlando,"0,9,7,15,7,13,21,18,26"
202402070MIA,San Antonio,"0,2,1,-4,2,1,1,9,12"
202402110MIA,Boston,"0,-1,-4,-6,-9,-10,-7,-5,-4"
202402130MIL,Milwaukee,"0,7,12,15,17,12,22,30,26"
202402140PHI,Philadelphia,"0,-5,0,-2,-2,-5,1,1,5"
202402230NOP,New Orleans,"0,10,7,15,0,6,4,3,11"
202402260SAC,Sacramento,"0,2,-1,-10,3,8,20,8,11"
202402270POR,Portland,"0,-10,-13,-9,-10,0,4,7,10"
202402290DEN,Denver,"0,-10,-16,-9,-5,-4,-13,-11,-6"
202403020MIA,Utah,"0,2,-4,3,-4,-4,0,4,6"
202403050MIA,Detroit,"0,6,10,10,9,7,1,8,5,5,8"
202403070DAL,Dallas,"0,12,8,4,4,2,-8,1,-6"
202403080OKC,Oklahoma City,"0,0,2,12,10,3,-4,-5,-7"
202403100MIA,Washington,"0,-1,2,8,6,4,1,-5,-2"
202403130MIA,Denver,"0,-7,-7,-6,-6,-3,-1,-5,-12"
202403150DET,Detroit,"0,3,-1,6,2,3,12,19,13"
202403170DET,Detroit,"0,4,-2,-2,10,16,3,2,3"
202403180PHI,Philadelphia,"0,0,-8,3,-2,-14,-14,-3,-7"
202403200CLE,Cleveland,"0,8,1,10,4,6,8,4,3"
202403220MIA,New Orleans,"0,11,-1,-9,-4,-11,-10,-20,-23"
202403240MIA,Cleveland,"0,5,10,15,21,34,33,38,37"
202403260MIA,Golden State,"0,-8,2,-4,2,-6,-10,-12,-21"
202403290MIA,Portland,"0,5,10,26,34,43,44,49,60"
202403310WAS,Washington,"0,-3,0,-3,7,9,15,15,12"
202404020MIA,New York,"0,4,12,8,15,12,10,7,10"
