Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:09.0,16-18,,1,18,16,2,351.0, ,Detroit,202310250MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. B. Adebayo (A. Thompson gains possession),Detroit,202310250MIA
6:07.0,35-43,,2,43,35,8,1073.0,J. Butler makes free throw 2 of 2,Detroit,202310250MIA
12:00.0,29-26,,2,26,29,-3,720.0,Start of 2nd quarter,Detroit,202310250MIA
6:07.0,57-70,,3,70,57,13,1793.0,C. Martin enters the game for T. Herro,Detroit,202310250MIA
12:00.0,47-58,,3,58,47,11,1440.0,Start of 3rd quarter,Detroit,202310250MIA
6:01.0,89-95,,4,95,89,6,2519.0, ,Detroit,202310250MIA
12:00.0,75-83,,4,83,75,8,2160.0,Start of 4th quarter,Detroit,202310250MIA
0:00.0,102-103,,4,103,102,1,2880.0, ,Detroit,202310250MIA
6:03.0,19-13,,1,19,13,6,357.0,T. Herro makes 3-pt jump shot from 30 ft (assist by K. Love),Boston,202310270BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. K. Porziņģis (D. White gains possession),Boston,202310270BOS
6:18.0,44-43,,2,44,43,1,1062.0, ,Boston,202310270BOS
12:00.0,28-25,,2,28,25,3,720.0,Start of 2nd quarter,Boston,202310270BOS
6:10.0,76-76,Tie,3,76,76,0,1790.0,B. Adebayo makes free throw 1 of 1,Boston,202310270BOS
12:00.0,55-60,,3,55,60,-5,1440.0,Start of 3rd quarter,Boston,202310270BOS
6:10.0,96-102,,4,96,102,-6,2510.0,Defensive rebound by J. Butler,Boston,202310270BOS
12:00.0,88-87,,4,88,87,1,2160.0,Start of 4th quarter,Boston,202310270BOS
0:00.0,111-119,,4,111,119,-8,2880.0,End of 4th quarter,Boston,202310270BOS
6:16.0,16-14,,1,16,14,2,344.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by K. Lowry),Minnesota,202310280MIN
